id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G2-NO-001,G2,K2,NO,distribusjon og handel,Rådet for matvareberedskap er NFDs rådgivende organ og kriseorganisasjon for matvaresektoren.,fakta,,,2003,https://www.regjeringen.no/no/dep/nfd/org/etater-og-virksomheter-under-narings--og-fiskeridepartementet/styrer-rad-og-utvalg/permanente-styrer-rad-og-utvalg/radet-for-matvareberedskap/id2577746/,Nærings- og fiskeridepartementet,oppdatert 2025,Hovedpunkt i mandatet,Rådet for matvareberedskap er et rådgivende organ for NFD ved beredskapsplanlegging og ved kriser.,primær,lest_i_kilde,aktørkart,Opprettet 2003
G2-NO-002,G2,K2,NO,hele kjeden,NOU 2023:17 anbefaler å utrede kompetansebehov i samfunnssikkerhet i et 20-års perspektiv.,policy_mål,,,2023,https://www.regjeringen.no/no/dokumenter/nou-2023-17/id2982767/?ch=2,Totalberedskapskommisjonen / JD,2023-06-05,§2.2.1 Beredskapskompetanse,Kommisjonen anbefaler å utrede hvilke behov samfunnet har for kompetanse innenfor samfunnssikkerhet og beredskap i et 20-års perspektiv.,primær,lest_i_kilde,hvitbok_kap10,Anbefaling
G2-NO-003,G2,K2,NO,hele kjeden,NOU anbefaler regionale kurs om totalforsvar for lokale/regionale beredskapsressurser.,policy_mål,,,2023,https://www.regjeringen.no/no/dokumenter/nou-2023-17/id2982767/?ch=2,Totalberedskapskommisjonen,2023-06-05,§2.2.1,"regionale kurs om totalforsvar, samfunnssikkerhet og beredskap må tilbys for sentrale beredskapsressurser på lokalt og regionalt nivå",primær,lest_i_kilde,søknad,
G2-NO-004,G2,K2,NO,hele kjeden,"NOU anbefaler nasjonalt beredskapskurs for ledere i frivillighet, næringsliv og myndigheter.",policy_mål,,,2023,https://www.regjeringen.no/no/dokumenter/nou-2023-17/id2982767/?ch=2,Totalberedskapskommisjonen,2023-06-05,§2.2.1,"det utvikles et nasjonalt kurs om totalforsvar, samfunnssikkerhet og beredskap for ledere i frivillige organisasjoner, næringslivet og myndigheter",primær,lest_i_kilde,søknad,
G2-NO-005,G2,K2,NO,hele kjeden,NOU mener næringslivet må tettere inn i nasjonal beredskapsstruktur som likeverdig partner.,policy_mål,,,2023,https://www.regjeringen.no/no/dokumenter/nou-2023-17/id2982767/?ch=2,Totalberedskapskommisjonen,2023-06-05,§2.2.4,helt nødvendig å integrere næringslivet i nasjonal beredskap på en grunnleggende annerledes måte enn i dag,primær,lest_i_kilde,hvitbok_kap10,
G2-NO-006,G2,K2,NO,import og innsatsvarer,Meld. St. 9 gir NFD koordineringsansvar for forsyningssikkerhet på tvers av sektorer.,vedtak,,,2025,https://www.regjeringen.no/no/dokumenter/meld.-st.-9-20242025/id3082364/?ch=4,Regjeringen / JD,2025-01,§11.1,Regjeringen har besluttet å gi Nærings- og fiskeridepartementet ansvar for å koordinere arbeidet med forsyningssikkerhet,primær,lest_i_kilde,aktørkart,Innen næringsberedskapsloven
G2-NO-007,G2,K2,NO,primærproduksjon,Meld. St. 9 vil gjennomføre ROS-/beredskapsanalyse av norsk matforsyning.,policy_mål,,,2025,https://www.regjeringen.no/no/dokumenter/meld.-st.-9-20242025/id3082364/?ch=4,Regjeringen,2025-01,§11 Regjeringen vil,"gjennomføre en risiko-, sårbarhets- og beredskapsanalyse av norsk matforsyning",primær,lest_i_kilde,hvitbok_kap7,
G2-NO-008,G2,K2,NO,foredling,"Meld. St. 9 beskriver matkjeder som avhengige av kompetanse, teknologi, organisasjon og logistikk.",fakta,,,2025,https://www.regjeringen.no/no/dokumenter/meld.-st.-9-20242025/id3082364/?ch=4,Regjeringen,2025-01,Boks 11.1,"Matkjedene er komplekse systemer med en lang rekke helt nødvendige funksjoner i form av kompetanse, teknologi, organisasjon, logistikk",primær,lest_i_kilde,hvitbok_kap10,
G2-NO-009,G2,K2,NO,"forbruk, storhusholdning og kjøkken",Kommunal beredskapsplan skal øves minst hvert annet år (forskrift/veileder).,implementert,2,år,2011+,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/veileder/veileder_til_forskrift_om_kommunal_beredskapsplikt.pdf,DSB,veileder (gjeldende),§7 s.31,Kommunens beredskapsplan skal øves hvert annet år.,primær,lest_i_kilde,indikator,Sivilbeskyttelsesloven §15
G2-NO-010,G2,K2,NO,hele kjeden,Kommunen skal ha system for opplæring av alle med rolle i krisehåndtering.,implementert,,,,https://www.dsb.no/siteassets/rapporter-og-publikasjoner/veileder/veileder_til_forskrift_om_kommunal_beredskapsplikt.pdf,DSB,veileder,§7 s.31,Kommunen skal ha et system for opplæring som sikrer at alle som er tiltenkt en rolle i kommunens krisehåndtering har tilstrekkelige kvalifikasjoner.,primær,lest_i_kilde,indikator,
G2-NO-011,G2,K2,NO,hele kjeden,Meld. St. 9: lovverket skal legge til rette for sivil arbeidskraftberedskap i krise/krig.,policy_mål,,,2025,https://www.regjeringen.no/no/dokumenter/meld.-st.-9-20242025/id3082364/?ch=4,Regjeringen,2025-01,§10.5.2,at lovverket skal legge til rette for sivil arbeidskraftberedskap i sikkerhetspolitisk krise og krig,primær,lest_i_kilde,søknad,Prop. 11 L omtalt
G2-NO-012,G2,K2,NO,primærproduksjon,Meld. St. 11 setter mål om 50 % selvforsyning korrigert for fôrimport.,policy_mål,50,prosent,2030,https://www.regjeringen.no/no/dokumenter/meld.-st.-11-20232024/id3028626/,LMD,2024,Hurdalsplattform/mål,mål for sjølvforsyningsgrad … på 50 pst.,primær,lest_i_kilde,bakgrunn,Ikke kompetansefokus
G2-SE-001,G2,K2,SE,foredling,Livsmedelsverket er sektorsansvarlig beredskapsmyndighet for livsmedelsförsörjning efter primärproduktion.,fakta,,,2022+,https://www.livsmedelsverket.se/om-oss/livsmedelsverkets-beredskap,Livsmedelsverket,u.å. (lest 2026-09-14),Ansvarspunkt,nationell samordning av kris- och beredskapsplanering för livsmedelsförsörjning i leden efter primärproduktion,primær,lest_i_kilde,aktørkart,
G2-SE-002,G2,K2,SE,hele kjeden,Livsmedelsverket gjennomfører egne øvelser og deltar i felles samfunnsøvelser.,implementert,,,,https://www.livsmedelsverket.se/om-oss/livsmedelsverkets-beredskap,Livsmedelsverket,u.å.,Utbildning och övning,Livsmedelsverket genomför egna övningar för myndighetens egen beredskap och vi deltar också i övningar där flera av samhällets aktörer övar tillsammans,primær,lest_i_kilde,indikator,
G2-SE-003,G2,K2,SE,hele kjeden,Beredskapssektorn Livsmedelsförsörjning och dricksvatten omfatter fem beredskapsmyndigheter.,fakta,,,2022,https://www.livsmedelsverket.se/beredskap/livsmedelsberedskap--vad-ar-det/beredskapssektorn-livsmedelsforsorjning-och-dricksvatten,Livsmedelsverket,u.å.,sektormedlemmer,"Livsmedelsverket, Länsstyrelserna, Naturvårdsverket, Statens jordbruksverk, Statens veterinärmedicinska anstalt",primær,lest_i_kilde,aktørkart,Beredskapsförordningen
G2-SE-004,G2,K2,SE,"forbruk, storhusholdning og kjøkken",Sektorens samfunnsfunksjoner inkluderer måltidsverksamhet.,fakta,,,,https://www.livsmedelsverket.se/beredskap/livsmedelsberedskap--vad-ar-det/beredskapssektorn-livsmedelsforsorjning-och-dricksvatten,Livsmedelsverket,u.å.,viktiga samhällsfunktioner,måltidsverksamhet,primær,lest_i_kilde,hvitbok_kap10,
G2-SE-005,G2,K2,SE,"forbruk, storhusholdning og kjøkken",SOU 2024:8 foreslår lovfestet kommunansvar for lokal livsmedelsberedskap.,anbefaling,,,2024,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/statens-offentliga-utredningar/livsmedelsberedskap-for-en-ny-tid_hcb38/html/,SOU 2024:8,2024-01,Sammanfattning,Kommuner ska få ett lagstadgat ansvar för vissa uppgifter inom livsmedelsberedskapen.,primær,lest_i_kilde,hvitbok_kap10,Status: forslag
G2-SE-006,G2,K2,SE,"forbruk, storhusholdning og kjøkken",SOU: ca tre millioner offentlige måltider serveres hver hverdag.,tall,3000000,måltider/dag,2024,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/statens-offentliga-utredningar/livsmedelsberedskap-for-en-ny-tid_hcb38/html/,SOU 2024:8,2024-01,Sammanfattning,"Varje vardag serveras cirka tre miljoner måltider i skola, vård och omsorg.",primær,lest_i_kilde,indikator,
G2-SE-007,G2,K2,SE,"forbruk, storhusholdning og kjøkken",Beredskapshandbok anbefaler å teste måltidsberedskap med øvelser.,implementert,,,2022,https://www.livsmedelsverket.se/globalassets/publikationsdatabas/handbocker-verktyg/beredskapshandbok-for-offentliga-maltider-2022/beredskapshandbok_for_offentliga_maltider_2022_webb.pdf,Livsmedelsverket,2022,s.9 kap.8,hur du kan testa att din beredskap verkligen fungerar med hjälp av övningar,primær,lest_i_kilde,hvitbok_kap10,
G2-SE-008,G2,K2,SE,"forbruk, storhusholdning og kjøkken",Livsmedelsverket har utgitt övningskort for offentlige måltidsvirksomheter (2023).,implementert,,,2023,https://www.livsmedelsverket.se/om-oss/publikationer/handbocker-och-verktyg/ovningskort-for-okad-beredskap-inom-maltidsverksamheter/,Livsmedelsverket,2023,publikasjonsinfo,En övningskortlek för de offentliga måltidsverksamheterna,primær,lest_i_kilde,søknad,
G2-SE-009,G2,K2,SE,"forbruk, storhusholdning og kjøkken",Totalförsvarsutgångspunkter 2025–2030: offentlig måltid bør ha mat for minst to uker.,policy_mål,2,uker,2025-2030,https://www.livsmedelsverket.se/beredskap/livsmedelsberedskap-for-offentliga-aktorer/planering-av-livsmedelsberedskap/,Livsmedelsverket (omtaler MCF/FM),u.å.,Utgångspunkter,det i offentlig måltidsverksamhet behöver finnas mat för åtminstone två veckor,primær,lest_i_kilde,indikator,Sekundær omtale av MCF-dokument
G2-SE-010,G2,K2,SE,hele kjeden,SOU foreslår nasjonalt Livsmedelsberedskapsråd knyttet til Livsmedelsverket.,anbefaling,,,2024,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/statens-offentliga-utredningar/livsmedelsberedskap-for-en-ny-tid_hcb38/html/,SOU 2024:8,2024-01,Sammanfattning,ett nationellt livsmedelsberedskapsråd inrättas; Livsmedelsberedskapsrådet,primær,lest_i_kilde,aktørkart,
G2-FI-001,G2,K2,FI,hele kjeden,"HVK-poolene skal arrangere informasjon-, utdanning- og øvelsesarrangementer for branchen.",implementert,,,,https://www.huoltovarmuuskeskus.fi/huoltovarmuusorganisaatio/sektorit-ja-poolit,Huoltovarmuuskeskus,u.å.,Poolien tehtävät,"Järjestää alan valmiuden ylläpitämiseksi tarpeellisia tiedotus-, koulutus- ja harjoitustilaisuuksia.",primær,lest_i_kilde,søknad,Offentlig–privat
G2-FI-002,G2,K2,FI,hele kjeden,Bedrifter deltar i poolens opplæring og planlegging etter poolens veiledning.,implementert,,,,https://www.huoltovarmuuskeskus.fi/huoltovarmuusorganisaatio/sektorit-ja-poolit,Huoltovarmuuskeskus,u.å.,Alan yritykset,Alan yritykset osallistuvat poolin järjestämään koulutukseen ja suunnittelutyöhön,primær,lest_i_kilde,aktørkart,
G2-FI-003,G2,K2,FI,primærproduksjon,Alkutuotantopooli utvikler gårdenes egenberedskap og utdanner produsenter.,implementert,,,,https://www.huoltovarmuuskeskus.fi/toimialat/elintarvikehuolto/elintarvikehuoltosektori,Huoltovarmuuskeskus,u.å.,Alkutuotantopooli,kehittää tilojen omatoimista varautumista ja kouluttaa alkutuottajia varautumisessa,primær,lest_i_kilde,hvitbok_kap10,
G2-FI-004,G2,K2,FI,foredling,Elintarviketeollisuuspooli arrangerer koulutus- og harjoitustilaisuuksia.,implementert,,,,https://www.huoltovarmuuskeskus.fi/toimialat/elintarvikehuolto/elintarvikehuoltosektori,Huoltovarmuuskeskus,u.å.,Elintarviketeollisuuspooli,järjestää koulutus- ja harjoitustilaisuuksia,primær,lest_i_kilde,indikator,
G2-FI-005,G2,K2,FI,distribusjon og handel,Kauppa- ja jakelupooli dekker handel/distribusjon og food service-aktører.,fakta,,,,https://www.huoltovarmuuskeskus.fi/toimialat/elintarvikehuolto/elintarvikehuoltosektori,Huoltovarmuuskeskus,u.å.,Kauppa- ja jakelupooli,kauppa ja jakelu sekä ravintola- ja suurkeittiötoimijat (Food Service),primær,lest_i_kilde,aktørkart,
G2-FI-006,G2,K2,FI,"forbruk, storhusholdning og kjøkken",Ruokapalvelupooli sikrer food service-kontinuitet for kritiske aktører.,implementert,,,2024,https://www.huoltovarmuuskeskus.fi/toimialat/elintarvikehuolto/elintarvikehuoltosektori,Huoltovarmuuskeskus,u.å.,Ruokapalvelupooli,varmistaa food service -toimialan jatkuvuuden vakavissa häiriötilanteissa,primær,lest_i_kilde,hvitbok_kap10,Pool etablert 2024 ifølge sekundærkilder
G2-FI-007,G2,K2,FI,primærproduksjon,YTS: food supply skal sikre tilstrekkelig trygg næring og skilled workforce i verdikjeden.,policy_mål,,,2017,https://turvallisuuskomitea.fi/wp-content/uploads/2018/04/YTS_2017_english.pdf,Turvallisuuskomitea / Statsrådet,2017,Economy/security of supply,"The supply of production inputs and skilled workforce required in the primary production, processing of foodstuffs, logistics, households, mass catering and water services is ensured.",primær,lest_i_kilde,hvitbok_kap10,Engelsk PDF av YTS
