node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
aga-sideri,Aga sideri,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Siderprodusenter, Drikke, Gård, Gårdsbutikk, Leiligheter, Smakinger. På Aga i Ullensvang ligg Aga Sideri idyllisk til. Garden har vore i familien i generasjonar med lang tradisjon for fruktdyrking. I 2018 tok Joar Aga over garden og etablerte Aga Sideri samme året. Garden ligg tett på fjord og fjell, omringa av kulturminne, bratte bakkar og store epleteigar. Her i Sørfjorden finnes eit ypperleg klima for fruktdyrking, samt ei",,2026,933780929,https://www.hanen.no/bedrift/aga-sideri/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 919; Brreg org.nr 933780929 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
aimees-farm,Aimees Farm,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Kjøttprodusenter, Grønnsaker, frukt og bær, Gård, Antall sitteplasser servering 30+, Gårdsbutikk, Kjøtt og spekemat. Hjertelig velkommen til Aimees Farm! En liten familiegård der regenerativ drift, utegang og målrettet beiting står i sentrum for alt vi gjør. Vi tar imot grupper på gården og selger produkter direkte fra vårt utsalg, på Bondens Marked og reko-ringen.",,2026,,https://www.hanen.no/bedrift/aimees-farm/,public_member_list,machine_verified,middels,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 1405; org.nr ikke eksponert i HANEN-feed og ikke trygt Brreg-matchet; ingen Company-rad funnet i lokal DB ved pre-dedup; flagges for etterkontroll av juridisk enhet/org.nr.
aker-gardsbutikk,Aker gårdsbutikk,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Egg, Urter, honning og snacks, Gård, Annet serveringsted, Antall sitteplasser servering 1-10, Gårdsbutikk. Aker gårdsbutikk - Ekte gårdsglede i den gamle smia i Råde Besøk Aker gårdsbutikk i Råde for en sjarmerende handel i historiske omgivelser. Her finner du lokalmat, unikt håndverk, treleker, interiør og gaveartikler.",,2026,,https://www.hanen.no/bedrift/aker-gaardsbutikk/,public_member_list,machine_verified,middels,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 1440; org.nr ikke eksponert i HANEN-feed og ikke trygt Brreg-matchet; ingen Company-rad funnet i lokal DB ved pre-dedup; flagges for etterkontroll av juridisk enhet/org.nr.
akerhaugen-gard,Akerhaugen Gård,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Gårdsbesøk, Eplemost og mosterier, Grønnsaker, frukt og bær, Brød og bakervarer, Drikke, Urter, honning og snacks, Gård, Antall sitteplasser servering 1-10. Akerhaugen Gård er en destinasjon i Fruktbygda som ønsker å tilby en morsom og minneverdig dag ute for hele familien! Vår gård ligger idyllisk til i vakre Telemark, og tilbyr et bredt spekter av aktiviteter og opplevelser for alle aldre. Kaféen er i en koselig låvelokale, og har også uteservering. Vi har egenproduserte og nyplukket jordbær, honningbær, epler",,2026,927979888,https://www.hanen.no/bedrift/akerhaugen-gaard/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 2562; Brreg org.nr 927979888 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
alde-sider,Alde Sider,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Siderprodusenter, Drikke, Gårdsbutikk, Smakinger. Alde er eit gamalt namn for eple i Hardanger og her på garden har ein dyrka eple sidan frukta kom til fjorden. Pressing til eplemost har og gjenge føre seg langt attende i tid. Men mosten var då ei ferskvare som berre gardsfolket fekk drikke i nokre dagar, før det gjekk over til sider. I dag pasteruriserer eg den ferske mosten ved 78°C og kjøler den raskt ne",,2026,921110502,https://www.hanen.no/bedrift/alde-sider/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 811; Brreg org.nr 921110502 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
alm-gard,Alm Gard,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Ost, Melk og smør, Fisk, Antall rom/boenheter, 1-9, Drikke, Urter, honning og snacks, Fotturer - Guidede turer, Fotturer - På egenhånd, Gård i drift med dyr -Smådyr (klappedyr). ​Alm Gard er en økologisk gardsdrift som ligg i den lille bygda Feios. På garden produserast bl.a. iskrem, ost og honning. På garden er det 4 Lyngshester. Almgard har overnattingsmuligheitar i et koseleg gammelt skulehus og på et Småbruk like ved med utsikt på Brekkefossen. I tillegg tilbyr Almgard eit nyare leiligheit i gardstunet. Hestane er veldig villige",,2026,987560339,https://www.hanen.no/bedrift/alm-gard/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 288; Brreg org.nr 987560339 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
alv-rn-gard,Alværn Gard,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Båtutleie, Annet serveringsted, Antall sitteplasser servering 11-30, Fotturer - På egenhånd, Hytter, Leiligheter, Sykkelutleie, Sjøfiske. Ta med familien, del kanskje leien med en vennefamilie, og opplev en ekte gårdsferie i vakre omgivelser og storslått natur ved Sognefjorden på vestlandet. Vi har helårs-utleie, men hovedvekten av gjester kommer vår, sommer og høst.",,2026,985045690,https://www.hanen.no/bedrift/alvaern-gard/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 1254; Brreg org.nr 985045690 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-salt,Arctic Salt,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Gårdsbesøk, Gårdsbutikk, Små møter, 1-10 personer, Teknisk utstyr (standard konferanseutstyr), Mellomstore møter, 25-30 personer, Trådløst nett (alle rom), Private arrangementer, 20-50 personer i matsal, Brylluper - folkelig. Arctic Salt er Norges eneste saltprodusent og verdens nordligste saltfabrikk. Her produseres håndlaget havsalt i Saltstraumen av rent arktisk sjøvann. Saltet høstes ved verdens sterkeste tidevannsstrøm og er tildelt Nyt Norge-merket. På Saltbrygga kan du kjøpe vårt håndlagde havsalt, samt et utvalg andre lokale kvalitetsprodukter. Produktene er også tilgjeng",,2026,913355059,https://www.hanen.no/bedrift/arctic-salt-as/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 3109; Brreg org.nr 913355059 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
arv-lokalmat,Arv Lokalmat,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Ost, Melk og smør, Grønnsaker, frukt og bær, Fisk, Brød og bakervarer, Egg, Drikke, Urter, honning og snacks, Gårdsbutikk. Smaken av Trøndelag hos Arv Lokalmat i Snåsa Arv Lokalmat er en unik dagligvarebutikk med et rikt utvalg av mat og drikke fra Trøndelag, og det beste fra Norge. Rett og slett en kompakt hyllest til bonden, dyrkeren, jegeren og foredleren som tar seg bryet med å lage mat og drikke til meg og deg.",,2026,927074737,https://www.hanen.no/bedrift/arv-lokalmat-as/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 2904; Brreg org.nr 927074737 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
askim-frukt-og-b-rpresseri-as-922,Askim Frukt- og Bærpresseri AS,organisasjon,horeca-offentlig,reiseliv-gardsmat,NO,"HANEN-oppfort aktor i horeca-offentlig/reiseliv-gardsmat med kategorier: Eplemost og mosterier, Grønnsaker, frukt og bær, Drikke, Urter, honning og snacks, Annet serveringsted, Gårdsbutikk, Annet museum. Butikk, kafé og opplevelser! Velkommen til vår flotte helårsåpne fabrikkbutikk. Her finner du et komplett utvalg av våre egenproduserte varer basert på frukt og bær, samt at vi tilbyr våre besøkende en rekke spennende matvarer fra andre småskalaprodusenter. I den ene delen av butikken kan du vandre igjennom historien vår, lære om produksjon og produkter fra ",,2026,986450491,https://www.hanen.no/bedrift/askim-frukt-og-baerpresseri-as/,public_member_list,machine_verified,hoy,2026-07-01,HANEN kart-API validert offentlig medlems-/kartoppforing 2026-07-01; HANEN id 922; Brreg org.nr 986450491 matchet paa navn; ingen Company-rad funnet i lokal DB ved pre-dedup.
