country,organization,role,source_status,local_source,coverage_depth,what_we_now_know,remaining_gap
NO,Debio,official control/certification body for organic regulation in Norway,downloaded_analyzed,downloads/no-debio-statistikk-2024.pdf,deep_quantitative_control_and_area,"Operators, agricultural holdings, certified area, conversion area, processing/import/trade growth and control role.",Need noncompliance detail and full category tables if certification-risk analysis becomes central.
NO,Landbruksdirektoratet,authority for annual organic agricultural goods report and subsidies/market statistics,downloaded_analyzed,downloads/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.pdf; downloads/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025-press.html,deep_2025_market_production_policy,"2025 retail value/growth, non-grocery growth, grain, milk, meat, eggs, fruit/veg, subsidy and organic area target headline figures.",Detailed product sub-tables can be extracted if needed for runtime views; press page is no longer the primary evidence row source.
NO,Okologisk Norge,organic sector NGO and advocacy actor,queued_not_downloaded,research/norden/okologisk-source-queue-2026-04-29.csv,thin,Identified as P2 source for policy positions and communication; not yet analyzed.,Download latest annual report/strategy/policy notes and code claims separately from official statistics.
NO,NORSOK,Norwegian organic agriculture knowledge/research network,queued_not_downloaded,research/norden/okologisk-source-queue-2026-04-29.csv,thin,"Identified as research-depth source for practices, soil, climate and circularity.",Need targeted research publication download and synthesis.
DK,Landbrugsstyrelsen / SGAV,official organic farm/area statistics and certification administration,downloaded_analyzed,downloads/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.pdf,deep_official_area_farm_crop_region,"2024 organic area, share, farms, area trend, conversion status, regions and bedriftstyper.",Reconcile minor area/farm-share discrepancies before database import.
DK,Organic Denmark,market intelligence and export/retail/foodservice sector organization,downloaded_analyzed,downloads/dk-organic-denmark-market-report-2025.pdf,deep_market,"Retail value/share, volume trend, foodservice value/share, exports/imports and consumer/channel context.",Need machine-table extraction if detailed product-category import is required.
DK,Okologisk Landsforening,organic farmers/sector association and advocacy organization,downloaded_mapped,downloads/dk-okologisk-landsforening-arsrapport-2025.pdf,medium_actor_strategy,"Annual report is available and searchable; contains association priorities, events and project/finance material.","Needs thematic coding for policy priorities, campaigns and project portfolio."
DK,Fodevarestyrelsen / Det Okologiske Spisemaerke,public kitchen organic label,queued_not_downloaded,research/norden/okologisk-source-queue-2026-04-29.csv,thin,Identified as needed public procurement/public meals source.,Find exact current data on bronze/silver/gold labels and kitchen counts.
SE,Jordbruksverket,official statistics for organic crop/area and animal production,downloaded_analyzed,downloads/se-jordbruksverket-ekologisk-vaxtodling-2024.html; downloads/se-jordbruksverket-ekologisk-animalieproduktion-2024.html,deep_official_area_animal,"2024 area decline, enterprises, arable/pasture/cereal areas, milk/egg/slaughter production and method caveats.",Could import official table series from Statistics database for long time-series depth.
SE,Organic Sweden / Ekologiska Lantbrukarna / KRAV / Ekomatcentrum,joint sector market synthesis,downloaded_analyzed,downloads/se-ekologiska-arsrapporten-2024.pdf,medium_market_context,2024 Swedish organic food sales value declined 1.5 percent and organic share fell across channels; farm premiums/area decline are linked.,Need full channel values and category tables extracted for market database.
SE,KRAV,private organic/certification label and consumer trust source,individual_reports_downloaded_analyzed_light,downloads/se-krav-rapporter.html; downloads/se-krav-effektrapport-2025.pdf; downloads/se-krav-ekobarometer-2025-april.pdf; downloads/se-krav-ekobarometer-2024-april.pdf,deep_private_label_metrics_medium_thematic,"KRAV index plus Effektrapport 2025 and seven Ekobarometer reports from 2023-2025 are downloaded. 2024 KRAV farmers, land, processors, restaurants, products and consumer-awareness claims are extracted.",Need thematic coding for all Ekobarometer topics before using impact/consumer claims externally.
SE,Ekomatcentrum,public meals / market and foodservice evidence source,downloaded_reconciled_light,downloads/se-ekomatcentrum-ekomatsligan-2024-page.html; downloads/se-ekomatcentrum-emc-marknadsrapport-2023.pdf; downloads/se-ekomatcentrum-emc-marknadsrapport-2022.pdf; downloads/se-ekomatcentrum-kompletterande-statistik-ekologiska-arsrapporten-2024.pdf,deep_public_meals_2021_2023_context,"Ekomatsligan 2024 page reports 2023 public-sector organic share 34.2%, SEK 4.3bn organic purchases and SEK 12.5bn total food spend. EMC 2023 PDF reports 2022 public-sector share 37%. Ekomatligan 2025 page is an event page, not a statistics report.",Need final published Ekomatsligan 2025/statistics report when available; keep value-share and meal/volume claims separate.
FI,Pro Luomu,Finnish organic sector association / market and summary source,downloaded_analyzed,downloads/fi-proluomu-organics-in-finland.html; downloads/fi-proluomu-market-2024.html,deep_summary_medium_market,"2024 area/farms, grocery value/share, public kitchen use, school milk and category context.",Source market values are estimates; cross-check with retailer or official datasets for high-stakes external claims.
FI,Ruokavirasto,Finnish Food Authority and organic control authority,downloaded_analyzed,downloads/fi-ruokavirasto-luomuvalvonta-2024.pdf,deep_control,"2024 certified operators, primary producers, retail shops, compliance >99 percent and control-system scope.",Can extract detailed inspection/noncompliance tables if control-risk comparison is needed.
FI,Luomuinstituutti,organic research institute,queued_not_downloaded,research/norden/okologisk-source-queue-2026-04-29.csv,thin,Identified as research depth source.,Download recent research publications for production/environment/society knowledge layer.
IS,MAST,competent authority for organic production and import controls in Iceland,downloaded_supporting_and_esa_verified,downloads/is-mast-arsskyrsla-2024.html; downloads/is-esa-country-profile-iceland-2023.pdf,medium_control_system,"ESA profile verifies MAST as competent authority and import-control authority. Later Tún/TRACES work covers current operator certificate status, but not area or market.","Need MAST/Hagstofa/Tun primary publication or direct data request for current organic area, production and market series."
IS,Vottunarstofan Tun,delegated control body and Icelandic certification body for organic operators,downloaded_direct_register_and_traces_api_analyzed,downloads/is-tun-vottunarskra-2026.html; downloads/is-tun-lifraent-vottun-2026.html; downloads/is-traces-organic-operator-issued-2026.json; downloads/is-esa-country-profile-iceland-2023.pdf; downloads/is-esa-official-controls-2023.pdf,deep_current_register_medium_control_system,"Tún directly points certified organic operators to TRACES NT, says the year-end 2024 certified list is there, and explains activity/product-category definitions. TRACES public API shows 59 current issued Iceland records and 75 total public status records retrieved 2026-04-29. ESA verifies Tún's delegated-control role and 55 certified operators in 2023.","TRACES is current certificate status, not an official historical year-end dataset or area/market statistic. Need a primary Iceland area/market publication before marking Iceland area/market controlled."
Nordic,FiBL / IFOAM Organics International,global benchmark and method metadata source,downloaded_analyzed,downloads/nordic-fibl-ifoam-organic-world-2026.pdf,medium_benchmark,"Definitions and comparability caveats for organic area, producer and retail statistics.",Use mainly as cross-check; do not replace national sources where national data exists.
IS,VOR / Lifraent Island,organic sector initiative / knowledge and communication platform named in Iceland action plan,policy_plan_and_homepage_downloaded_map_extracted,downloads/is-government-organic-action-plan-2024.pdf; downloads/is-lifraent-island-home-2026.html; downloads/is-lifraent-island-home-wp-rest-2026.json; exports/is_lifraent_island_map_entries_2026-04-29.csv,medium_policy_actor_context_and_producer_map,The August 2024 Iceland action plan proposes maintaining and funding Lifraent Island as an information and communication hub. The homepage/WP API was current to 2026-03-28 and its embedded map yielded 23 producer/actor entries.,"Need direct annual reports, governance/financing details and any market/area data held by Lifraent Island before using it as quantitative evidence."
IS,Statistics Iceland / Hagstofa Islands,national statistics office and agriculture PxWeb publisher,agriculture_catalog_checked_no_organic_series,downloads/is-statice-agriculture-2026.html; downloads/is-statice-production-in-agriculture-2024-news-2026.html; downloads/is-statice-production-value-agriculture-2024-news-2026.html; exports/is_hagstofa_agriculture_pxweb_catalog_2026-04-29.csv,medium_gap_evidence,"Agriculture PxWeb branch has 26 checked tables updated through 2026 in some series, but no organic/lifraent/certification dimension or table label was found. General 2024 agriculture production/value pages also lack organic splits.","Need direct primary publication/API for current organic area, production and market if available outside the public agriculture PxWeb branch."
