upload_order,filename,title,packet_type,status,allowed_use,word_count,bytes,recommended_notebooklm_prompt
1,00_START_HERE.md,START HERE - NotebookLM Operating Brief,control,internal context,"Use first. This source controls interpretation, tone, labels, and deck behavior.",4994,36954,"Before answering, restate the relevant source labels and tell me which claims are citable, PCQ, source-shortlist, actor-gated, internal-only or do-not-visualize-yet."
2,01_DECK_BRIEFING_INSTRUCTIONS.md,Deck And Briefing Instructions For NotebookLM,control,internal context,"Use to generate sharper slide decks, presenter decks, infographics, mind maps and briefing docs.",4818,34559,"Generate a slide deck outline where every slide has: claim, evidence source, caveat, source label, and decision relevance. Exclude do-not-visualize-yet material."
3,02_CLAIM_BOUNDARIES.md,Claim Boundaries And Source Labels,control,internal context,"Use as the hard boundary document for claims, citations, figures and external language.",2530,19089,"Classify each proposed deck claim as citable, PCQ, source-shortlist, actor-gated, internal-only, parked or do-not-visualize-yet before drafting language."
4,10_MARKET_POWER_THESIS.md,Market Power Thesis - Structure Before Intent,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",4115,28302,"Draft a market-power deck section that distinguishes structure, behavior, policy floor and evidence gaps."
5,11_VALUE_CHAIN_FRAGILITY_THESIS.md,"Value-Chain Fragility Thesis - Mechanisms, Not Vibes",thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",5380,37892,Create a briefing on value-chain fragility that names each resilience mechanism and marks missing data cells.
6,12_CIRCULAR_LOOPS_THESIS.md,Circular Loops Thesis - Utilized Is Not High-Value,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",6621,51184,"Build a circular-loops narrative that distinguishes R-level, realized volume, value pathway, and missing evidence."
7,13_NORDIC_COMPARISON_THESIS.md,Nordic Comparison Thesis - Benchmarks With Caveats,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",2036,14982,Compare Nordic mechanisms without creating a country ranking unless comparable source methods are present.
8,14_ACTOR_MAP_THESIS.md,Actor Map Thesis - Ecosystem Without False Completeness,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",3280,21407,"Summarize the actor map as known actors, missing actor classes, and validation questions."
9,15_POLICY_LEVERS_THESIS.md,Policy Levers Thesis - From Diagnosis To Intervention,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",5657,40792,"Turn policy evidence into levers, but mark each lever as citable, PCQ, source-shortlist, actor-gated or human-gated."
10,16_DATA_GAPS_THESIS.md,Data Gaps Thesis - Missing Data Is A Finding,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",4993,38119,"Create a data-gap briefing that lists blocked decisions, data owner, and whether the gap is Type A/B/C."
11,17_ROADMAP_M17_M18_THESIS.md,Roadmap Thesis - M17/M18 From Evidence To Action,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",4350,31128,"Draft an M17/M18 roadmap outline where each section names evidence, gate, owner and next action."
12,18_EVIDENCE_DISCIPLINE_THESIS.md,Evidence Discipline Thesis - Trust Through Gates,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",4428,33433,Write a trust-and-evidence section that explains claim gates in plain language for decision makers.
13,19_PRESENTATION_STRATEGY_THESIS.md,Presentation Strategy Thesis - Cut Through Without Overclaiming,thesis,mixed: citable plus gated/internal context,"Use for narrative structure, but preserve source labels before making external claims.",3043,22560,Create a presenter deck with one sharp system tension per slide and no generic sustainability language.
14,20_CITABLE_STATUS_EVIDENCE.md,Citable Status Evidence,evidence,citable/status snapshot,Use only according to the status label. Keep caveats and missing cells visible.,2512,17490,"Use 20_CITABLE_STATUS_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond citable/status snapshot."
15,21_CITABLE_ACCEPTANCE_EVIDENCE.md,Citable Acceptance Evidence,evidence,citable/fail-closed tests,Use only according to the status label. Keep caveats and missing cells visible.,1676,13383,"Use 21_CITABLE_ACCEPTANCE_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond citable/fail-closed tests."
16,22_R13_INTAKE_TRIAGE_EVIDENCE.md,R13 Intake And Triage Evidence,evidence,internal triage; not fact voice,Use only according to the status label. Keep caveats and missing cells visible.,3457,26817,"Use 22_R13_INTAKE_TRIAGE_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond internal triage; not fact voice."
17,23_PCQ_READY_EVIDENCE.md,PCQ-Ready Evidence Packet,evidence,PCQ; check before external use,Use only according to the status label. Keep caveats and missing cells visible.,7272,50218,"Use 23_PCQ_READY_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond PCQ; check before external use."
18,24_SOURCE_SHORTLIST_EVIDENCE.md,Source-Shortlist Evidence Packet,evidence,source-shortlist; not claims,Use only according to the status label. Keep caveats and missing cells visible.,6515,54091,"Use 24_SOURCE_SHORTLIST_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond source-shortlist; not claims."
19,25_ACTOR_GATE_EVIDENCE.md,Actor-Gate Evidence Packet,evidence,"actor-gated; ask, do not assert",Use only according to the status label. Keep caveats and missing cells visible.,1607,12461,"Use 25_ACTOR_GATE_EVIDENCE.md to answer with evidence, caveat, and label. Do not overclaim beyond actor-gated; ask, do not assert."
