id,decision,review_status,country,theme,priority,source_status,snapshot_status,recommended_action,proposed_verification_level,proposed_record_type,proposed_tone,proposed_frame,proposed_confidence,notes
no-kt-dagligvare-hub-2026,watch_only_snapshot_available,pending,no,markedsmakt,WATCH,watch_2026,snapshot_exists,keep_outside_2016_2025_until_period_closed,primary,authority-hub,policy,competition,2,Keep 2026 items outside 2016-2025 historical chart until a closed period is defined.
no-kt-dagligvaremarkedet-2020,ready_for_human_review,pending,no,markedsmakt,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,primary,authority-hub,policy,competition,4,Useful parent source for price hunter meetings price-change rules margin mapping and purchasing price surveys.
no-kt-prisjeger-2024,keep_existing_review_for_expansion,pending,no,markedsmakt,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,authority-decision,policy,competition,1,Existing corpus anchor; refresh title/date/content-quality before expanding references.
no-kt-dagligvarerapport-2024-25,pdf_catalog_before_import,pending,no,prispress,P1,candidate_fetch,snapshot_exists,catalog_pdf_and_link_sourcedoc_before_import,primary,authority-report,policy,price-pressure,4,Use for market shares margin study purchasing-price differences and debate intensity notes.
no-kt-margin-study-2025,keep_existing_review_for_expansion,pending,no,markedsmakt,P1,already_in_corpus,no_snapshot,use_as_anchor_when_adding_related_entries,primary,authority-report,policy,competition,1,Existing corpus anchor; should be paired with media reactions and academic commentary.
no-nhh-media-attention-2025,ready_for_human_review,pending,no,prispress,P1,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary_research,academic-research,analytical,price-pressure,4,Core source for why consumer journalism belongs in the media model rather than just as external context; NHH handle remains https://hdl.handle.net/11250/3187923.
no-nhh-price-knowledge-2025,ready_for_human_review,pending,no,prispress,P2,candidate_fetch,snapshot_exists,review_for_media_corpus_import,secondary_research,academic-research,analytical,price-pressure,3,Consumer price knowledge angle; useful against VG/Aftenposten price-comparison trail.
no-aftenposten-prisjegere-2024,metadata_only_manual,pending,no,markedsmakt,P1,candidate_manual,no_snapshot,record_metadata_no_fulltext,secondary_media,media-article,analytical,competition,1,Do not scrape full text; capture bibliographic metadata and use only short accessible snippet if available.
no-finansavisen-gebyr-2024,metadata_only_manual,pending,no,regulering,P2,candidate_manual,no_snapshot,record_metadata_no_fulltext,secondary_media,media-article,analytical,regulation,1,Secondary media reaction to official price-hunter decision.
no-e24-matforslag-2022,metadata_only_manual,pending,no,regulering,P2,candidate_manual,no_snapshot,record_metadata_no_fulltext,secondary_media,media-article,analytical,regulation,1,Useful for earlier regulatory-proposal framing before the 2024 price-hunter decision.
