priority,nmr_priority,focus_area,indicator_code,indicator_label_working,food_systems_relevance,project_coverage,local_data_handles,coverage_status,next_action,official_source
P1,Green Nordic Region,Climate action,1.1.1,Territorial greenhouse gas emissions,high,Partial,"CountryMetric.ghgEmissions; landprofiler; verdikjedeanalyse",partial,"Harmoniser landbruks- og matrelaterte utslipp per nordisk land",src-167
P1,Green Nordic Region,Climate action,1.1.2,Consumption-based greenhouse gas emissions,high,Weak,"importpanel; trade-groups; klimarisiko-notater",gap,"Finn forbruksbasert matfotavtrykk og koble til import/forbruk",src-167
P3,Green Nordic Region,Climate action,1.1.3,Arctic ice extent,low,None,"none",out_of_scope,"Hold som klima-kontekst, ikke matindikator",src-167
P2,Green Nordic Region,Affordable and clean energy,1.2.1,Renewable share of gross energy use,medium,Weak,"biookonomi- og biogassnotater",gap,"Bygg energibruk/biogass-source pack for matforedling og sidestrømmer",src-167
P2,Green Nordic Region,Affordable and clean energy,1.2.2,Energy use per GDP,medium,Weak,"biookonomi- og industrinotater",gap,"Vurder energintensitet for foredling/logistikk dersom data er tilgjengelig",src-167
P2,Green Nordic Region,Affordable and clean energy,1.2.3,Energy-related greenhouse gas intensity,medium,Weak,"biookonomi- og biogassnotater",gap,"Koble energimiksen til matforedling, transport og avfallshandtering",src-167
P1,Green Nordic Region,Responsible consumption and production,1.3.1,Material footprint per inhabitant,high,Weak,"sirkularitetsrammeverk; matsvinn; emballasje/PPWR-notater",gap,"Hent material footprint og bygg kobling til mat, emballasje og forbruk",src-167
P1,Green Nordic Region,Responsible consumption and production,1.3.2,Municipal waste recycling rate,high,Partial,"matsvinnnotater; avfallsnotater; NORSUS/Matvett-spor",partial,"Koble kommunalt avfall til matsvinn og emballasje per land",src-167
P2,Green Nordic Region,Responsible consumption and production,1.3.3,Nordic Swan eco-label licences,medium,Weak,"policy tools; forbrukermerking-notater",gap,"Avklar om matrelaterte lisenskategorier kan skilles ut",src-167
P1,Green Nordic Region,Life on land,1.4.1,Protected land share,medium,Weak,"landUse; landprofiler",gap,"Koble arealvern til jordbruksareal og naturmangfold der relevant",src-167
P1,Green Nordic Region,Life on land,1.4.2,Organic agricultural land share,high,Runtime + source CSV,"CountryMetric.organicAgriculture; research/data/nordic/core-series/organic_agriculture_annual.csv; organic_* metadata",db_integrated,"Bruk 2023 som sammenlignbar baseline; hold Island som needs_primary_check; 2024 er forelopig FI/SE-only",src-167
