priority,country,theme,source_title,source_type,local_status,recommended_target,action,notes
P1,Nordic,kosthold,"Nordic Nutrition Recommendations 2023",official_report,"Report + SourceDoc + local PDF Document verified; two guideline CountryMetric rows exist","Report + SourceDoc + Document + CountryMetric","ready_for_use; expand metrics only if needed","Central reference for health and environmental diet recommendations."
P1,Nordic,kosthold,"NORMO 2025 - Nordic Monitoring 2014-2024",official_report,"Report linked to local note; Appendix 6 raw workbook archived; 57 CountryMetric rows upserted","Report + Document + CountryMetric","ready_for_use_partial; extract activity/social inequality later if needed","Use for actual consumption, overweight and behaviour indicators."
P1,Nordic,beredskap,"Karlstad-deklarasjonen 2024",declaration,"clean report seed added; old mismatch retained separately","Report","later clean PDF/map mismatch","Use karlstad-declaration-matberedskap-2024 for food analysis; old karlstad-declaration-2024 is a biosphere report mismatch marker."
P1,Nordic,policy,"Policy tools for sustainable and healthy eating",policy_report,"Report + SourceDoc + local PDF Document verified","Report + SourceDoc + Document","ready_for_use","DB-linked as norden-policy-2024 and src-food-d760f6d96053."
P1,Nordic,policy,"Solutions Menu - A Nordic guide to sustainable food policy",policy_guide,"report seed added; referenced in local framework","Report + SourceDoc","attach source snapshot/PDF if needed","Good policy-example source for public meals, waste and diets."
P1,Nordic,kosthold,"Challenges and opportunities when moving food production and consumption toward sustainable diets in the Nordics",academic_review,"report seed added; local note linked","Report","attach full document/PDF if needed","NNR background review; key for per-country diet barriers."
P1,Nordic,environment,"Environmental sustainability of food production and consumption in the Nordic and Baltic region",academic_review,"report seed added; local note linked","Report","attach full document/PDF if needed","NNR background review for environment footprint."
P1,Nordic,kosthold,"Integrating environmental sustainability into Food-Based Dietary Guidelines in the Nordic countries",academic_review,"report seed added with DOI","Report","attach full document/PDF if needed","Needed for national implementation status."
P1,Nordic,socioeconomics,"Social and economic dimensions of food sustainability",academic_review,"report seed added with DOI","Report","attach full document/PDF if needed","Needed to avoid climate-only framing."
P1,Nordic,implementation,"From evidence to action: implementing the Nordic Nutrition Recommendations in national policy",academic_review,"report seed added with DOI","Report","attach full document/PDF if needed","Use to compare national NNR2023 implementation across Nordic/Baltic countries."
P1,Nordic,data_quality,"nordic-food-alert-2025",local_record,"DB mismatch flagged","Report","verify/correct","ID suggests food source but title appears unrelated."
