gap_id,gap_theme,priority_tier,title,folder,source_path,evidence_role,quality_band,recommended_use,ingest_note
G-01,side-stream-valorization,A,Food Redistribution in the Nordic Region,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Redistribution in the Nordic Region.pdf,Nordic redistribution baseline,strong,anchor redistribution and circular distribution section,import-from-review
G-01,side-stream-valorization,A,Matsvinnutvalgets anbefalinger,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,Norwegian policy anchor,strong,reuse in governance and interventions section,reuse-existing-duplicate
G-01,side-stream-valorization,A,Prevention and valorisation of surplus bread at the supplier–retailer interface,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf,Supplier-retailer mechanism for overproduction and valorization,strong,use as mechanism evidence for retailer-linked waste,reuse-existing-thesis
G-01,side-stream-valorization,A,Managing waste in food supply chains with supply chain collaboration and integration,07_Academic_Research_And_Theses,Food Research Process 20.04.26/07_Academic_Research_And_Theses/Master's Thesis_Mäkelä_Mika.pdf,Cross-chain coordination evidence,strong,use for supply-chain governance and coordination claims,reuse-existing-thesis
G-01,side-stream-valorization,A,Sustainability Assessment of Food Waste Management,07_Academic_Research_And_Theses,Food Research Process 20.04.26/07_Academic_Research_And_Theses/Paola_Federica_Albizzati_thesis.pdf,Method anchor for pathway ranking,strong,use to rank prevention redistribution feed and energy routes,reuse-existing-thesis
G-01,side-stream-valorization,B,Norway's Food Waste Reduction Governance: From Industry Self-Regulation to Governmental Regulation?,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Norways-Food-Waste-Reduction-Governance-2022.pdf,Governance transition reading,medium,use for research synthesis even if skipped for report promotion,research-use-even-if-skip
G-01,side-stream-valorization,B,Retailer's role in reducing food waste: Case study of Finnish retailers,07_Academic_Research_And_Theses,Food Research Process 20.04.26/07_Academic_Research_And_Theses/hse_ethesis_14678.pdf,Retail implementation comparator,medium,use for retailer execution examples,reuse-existing-thesis
G-01,side-stream-valorization,B,Revised Waste Framework Directive enters into force - Environment,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Revised Waste Framework Directive enters into force - Environment.pdf,EU policy backdrop,medium,use for European regulatory context,import-from-review
G-02,nutrient-loops,A,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,Direct nutrient-loop proof,medium,use as flagship technical loop example,import-from-review
G-02,nutrient-loops,A,Willingness to pay for lettuce produced with fish sludge and human waste: The role of food neophobia,07_Academic_Research_And_Theses,Food Research Process 20.04.26/07_Academic_Research_And_Theses/1-s2.0-S2772801325000028-main.pdf,Social acceptance and market uptake,medium,use to qualify consumer acceptance barriers,import-from-review
G-02,nutrient-loops,A,"Cascade Processing of Agricultural, Forest, and Marine Waste Biomass for Sustainable Production of Food, Feed, Biopolymers, and Bioenergy",07_Academic_Research_And_Theses,Food Research Process 20.04.26/07_Academic_Research_And_Theses/energies-18-04093.pdf,Systems overview of cascade pathways,medium,use as bridge between nutrient loops and feed substitution,import-from-review
G-02,nutrient-loops,B,Growing vegetables in the circular economy; cultivation of tomatoes on green waste compost and food waste digestate,04_Food_Waste_And_Circularity,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Growing_vegetables_in_the_circular_econo.pdf,Secondary digestate comparator,medium,use as support reading even though skipped for report promotion,research-use-even-if-skip
