id,slug,title,filePath,contentLength,pattern,action,rationale
cmq8rsnh5000eekvmd90n6xvp,external-norgesgruppen-registreringsdokument-2025,NorgesGruppen registreringsdokument 02.06.2025 (NO0013462705),external/norgesgruppen-registreringsdokument-2025.pdf,549,external,null_filepath,"content preserved (549 chars), filePath broken — null filePath, keep DB record"
cmq8rsnh7000fekvmb9a3gc61,external-reitan-eiendom-2024,Reitan Eiendom aarsrapport 2024,external/reitan-eiendom-2024.pdf,502,external,null_filepath,"content preserved (502 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhz000wekvmjmmnyhcw,external-nordic-council-waste-prevention-nord2025-007,Effective waste prevention needs policies targeting the entire value chain,external/nordic-council-waste-prevention-nord2025-007.pdf,623,external,null_filepath,"content preserved (623 chars), filePath broken — null filePath, keep DB record"
cmq8rsnha000gekvm6gixtkx7,external-jcleprod-norwegian-seafood-sd-2025,System dynamics modeling of food loss and waste in the Norwegian seafood sector: Toward a circular economy,external/jcleprod-norwegian-seafood-sd-2025.pdf,662,external,null_filepath,"content preserved (662 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhb000hekvmfxr21olh,external-ellen-macarthur-denmark-circular-2015,Delivering the Circular Economy: A Toolkit for Policymakers — Denmark case study,external/ellen-macarthur-denmark-circular-2015.pdf,677,external,null_filepath,"content preserved (677 chars), filePath broken — null filePath, keep DB record"
cmq8rsnhe000iekvmxetvdbw4,external-luke-food-balance-2024,Balance Sheet for Food Commodities 2024 (preliminary) and 2023 (final),external/luke-food-balance-2024.md,948,external,null_filepath,"content preserved (948 chars), filePath broken — null filePath, keep DB record"
cmq8rsni0000xekvmts782ho2,external-iceland-ocean-cluster-seafood-circular-2022,Seafood in the Circular Economy — Analysis March 2022,external/iceland-ocean-cluster-seafood-circular-2022.pdf,632,external,null_filepath,"content preserved (632 chars), filePath broken — null filePath, keep DB record"
cmq8rsni1000yekvmtkitik13,external-regjeringen-handlingsplan-sirkulaer-okonomi-2024-2025,Handlingsplan for en sirkulaer okonomi 2024-2025,external/regjeringen-handlingsplan-sirkulaer-okonomi-2024-2025.pdf,610,external,null_filepath,"content preserved (610 chars), filePath broken — null filePath, keep DB record"
cmp8xypsu00n8vvvm0nwehq4f,external/barekraft/sec-mat-01-regulering-og-matsvinn,SEC-MAT-01: Regulering og Matsvinn i Matindustrien,external/barekraft/SEC-MAT-01-Regulering-og-Matsvinn.md,2317,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-01-Regulering-og-Matsvinn.md — filePath missing 'research/' prefix
cmp8xyptn00ndvvvmt3ohj2p3,external/barekraft/sec-mat-prod-02-regenerativt-landbruk-norden,SEC-MAT-PROD-02: Regenerativt Landbruk i Nordisk Klima,external/barekraft/SEC-MAT-PROD-02-Regenerativt-Landbruk-Norden.md,2535,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-PROD-02-Regenerativt-Landbruk-Norden.md — filePath missing 'research/' prefix
cmq8rhquw00ndkdvm9yf4dux6,external/barekraft/sec-mat-prod-03-bl-bio-konomi-teknisk-detalj,SEC-MAT-PROD-03: Blå Bioøkonomi – Teknisk Detalj (Teknisk Dypdykk),external/barekraft/SEC-MAT-PROD-03-Blå-Bioøkonomi-Teknisk-Detalj.md,5034,external,add_research_prefix,file exists at research/external/barekraft/SEC-MAT-PROD-03-Blå-Bioøkonomi-Teknisk-Detalj.md — filePath missing 'research/' prefix
cmq8rsni3000zekvmwu7rc3s9,external-wur-elbersen-agri-residues-2022,Identifying and implementing circular applications of agri-residues,external/wur-elbersen-agri-residues-2022.pdf,789,external,null_filepath,"content preserved (789 chars), filePath broken — null filePath, keep DB record"
