priority,source_key,title,owner,year,official_url,local_status,db_status,recommended_target,next_action,notes
P1,vision-2030-declaration,Our Vision 2030,Nordic prime ministers / Nordic Council of Ministers,2019,https://www.norden.org/en/declaration/our-vision-2030,local_source_restored,db_linked_src-165,SourceRef_or_Report,ready_for_use,"Primary declaration for the three priorities: green, competitive and socially sustainable Nordic Region."
P1,vision-2030-action-plan,Action plan for Vision 2030,Nordic Council of Ministers,2021-2024,https://www.norden.org/en/information/action-plan-vision-2030,local_source_restored,db_linked_src-166,Report,ready_for_mapping,"Operationalizes the three priorities into 12 objectives; needed for indicator mapping."
P1,vision-2030-indicators,Nordic indicators for Our Vision 2030,Nordic Council of Ministers,2021,https://www.norden.org/en/publication/nordic-indicators-our-vision-2030,local_source_restored,db_linked_src-167,Report_plus_indicator_gap,extract_machine_readable_indicator_list,"NMR says the indicator framework covers 45 indicators across three priorities and 12 sub-goals."
P1,vision-2030-status-2023,THE NORDIC REGION - a sustainable and integrated region? Our Vision 2030 Status Report 2023,Nordic Council of Ministers,2023,https://www.norden.org/en/publication/nordic-region-sustainable-and-integrated-region-our-vision-2030-status-report-2023,local_source_restored,db_linked_src-168,Report,context_source_ready,"Useful for status context; not matsystem-specific enough to carry Food Systems claims alone."
P1,fjls-2025-2030,Nordic Co-operation Programme for Fisheries Aquaculture Agriculture Food and Forestry 2025-2030,Nordic Council of Ministers,2025-2030,https://pub.norden.org/politiknord2024-749/political-priorities.html,local_source_restored,db_linked_src-169,Report,ready_for_food_systems_brief,"Most direct Vision 2030 bridge to food systems, food security, bioeconomy, fisheries, agriculture and forestry."
P1,nordic-bioeconomy-programme,Nordic Bioeconomy Programme: 15 Action Points for Sustainable Change,Nordic Council of Ministers,2018,https://www.norden.org/en/publication/nordic-bioeconomy-programme,local_source_restored,db_refreshed_src-92,SourceDoc_plus_Document,ready_for_bioeconomy_framing,"Static src-92 and DB now point to official URL and local file research/external/nmr-vision-2030.md; PDF archive is optional for external-heavy citation use."
P1,nord2024-007-policy-tools,Policy tools for sustainable and healthy eating,Nordic Council of Ministers / Nordregio,2024,https://pub.norden.org/nord2024-007/,db_linked_report_sourcedoc,db_linked,Report + SourceDoc + Document,ready_for_use,"Important for consumption, food environments, public procurement and policy instruments. Report and SourceDoc point to the same local PDF Document."
P1,nordic-food-waste-breaking-barriers,Breaking Barriers: Empowering Effective Food Waste Solutions in the Nordic Countries,Nordic Council of Ministers,2024,https://pub.norden.org/nord2024-034/,db_linked_report_sourcedoc,db_linked,Report + SourceDoc + Document,ready_for_use,"Important for Nordic food waste and prevention policy. Report and SourceDoc point to the same local PDF Document."
P1,normo-2025,NORMO 2025 - Nordic Monitoring of Diet Physical Activity and Overweight,Nordic Council of Ministers / DTU Food,2025,https://www.norden.org/en/publication/normo-2025-nordic-monitoring-2014-2024,raw_appendix_and_local_note_archived,db_linked_report_document_countrymetrics,Report_plus_CountryMetric,ready_for_use_partial,"Appendix 6 raw workbook archived; 57 CountryMetric rows upserted for adult diet frequency plus adult/child overweight and obesity. Full PDF and activity/social-inequality tables remain optional next extract."
P1,nnr-2023,Nordic Nutrition Recommendations 2023,Nordic Council of Ministers,2023,https://www.norden.org/en/publication/nordic-nutrition-recommendations-2023,local_pdf_document,db_linked_report_sourcedoc_document,Report_plus_SourceDoc_plus_Document,ready_for_use,"Normative baseline for sustainable and healthy diets. Report and SourceDoc point to the same local PDF Document; two guideline CountryMetric rows exist."
P2,nordic-food-innovation-summit-2024,Takeaways from the Nordic Food Innovation Summit 2024,Nordic Council of Ministers,2025,https://www.norden.org/en/publication/takeaways-nordic-food-innovation-summit,local_note_exists,needs_status_check,Report_or_SourceDoc,check_and_link,"Useful for innovation agenda, but secondary to FJLS and official Vision sources."
