source_path,import_file_path,source_top_folder,filename,current_title,analysis_title,analysis_title_source,remediation_suggested_title,proposed_doc_type,typed_layer_candidate,recommended_target,confidence,reason,primary_signals,caution_flags,score_source_doc,score_report,score_thesis,review_status,action,notes
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/3604b45fb6-efficiency-of-a-novel-food-to-waste-to-food-system-including-anaerobic-digestion-of-food-waste-and-cultivation-of-vegetables-on-digestate-in-a-bubble-insulated-greenhouse-sciencedirect.pdf,04_Food_Waste_And_Circularity,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references ScienceDirect; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references ScienceDirect | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Redistribution in the Nordic Region.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/20d75deeda-food-redistribution-in-the-nordic-region.pdf,04_Food_Waste_And_Circularity,Food Redistribution in the Nordic Region.pdf,Food Redistribution in the Nordic Region,Food Redistribution in the Nordic Region,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/54a1846535-rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31-12-23.pdf,04_Food_Waste_And_Circularity,rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23,rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: title/filename uses rapport language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,title/filename uses rapport language | review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,7,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/49a5e899db-resource-recovery-surplus-bread-thesis.pdf,04_Food_Waste_And_Circularity,Resource-Recovery-surplus-bread-thesis.pdf,Prevention and valorisation of surplus bread at the supplier–retailer interface,Prevention and valorisation of surplus bread at the supplier–retailer interface,import_summary,,report,report-or-source,Thesis,low,Explicit thesis signals lead this recommendation: title/filename mentions thesis.,title/filename mentions thesis,,1,3,6,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/b3c4abd386-2023-danish-action-plan-for-plant-based-foods.pdf,05_Foodtech_Alt_Protein_And_Innovation,2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,2023 Danish Action Plan for Plant based Foods,2023 Danish Action Plan for Plant based Foods,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: title/filename uses action plan language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,title/filename uses action plan language | review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,7,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/approval insect novel food - Food Safety - European Commission.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/8831ac4193-approval-insect-novel-food-food-safety-european-commission.pdf,05_Foodtech_Alt_Protein_And_Innovation,approval insect novel food - Food Safety - European Commission.pdf,approval insect novel food - Food Safety - European Commission,approval insect novel food - Food Safety - European Commission,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references the European Commission; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references the European Commission | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/BioMar _ Powered by Partnership. Driven by Innovation_.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/095360a751-biomar-powered-by-partnership-driven-by-innovation.pdf,05_Foodtech_Alt_Protein_And_Innovation,BioMar _ Powered by Partnership. Driven by Innovation_.pdf,BioMar | Powered by Partnership. Driven by Innovation.,BioMar | Powered by Partnership. Driven by Innovation.,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enifer - Ingredients for a sustainable food chain.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/e1477dd45a-enifer-ingredients-for-a-sustainable-food-chain.pdf,05_Foodtech_Alt_Protein_And_Innovation,Enifer - Ingredients for a sustainable food chain.pdf,Enifer - Ingredients for a sustainable food chain,Enifer - Ingredients for a sustainable food chain,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hailia - Enabling the Blue Food Revolution.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/8fda4db5c8-hailia-enabling-the-blue-food-revolution.pdf,05_Foodtech_Alt_Protein_And_Innovation,Hailia - Enabling the Blue Food Revolution.pdf,Hailia - Enabling the Blue Food Revolution,Hailia - Enabling the Blue Food Revolution,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/The Nordic alternative protein research ecosystem - GFI Europe.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/559ac48dbd-the-nordic-alternative-protein-research-ecosystem-gfi-europe.pdf,05_Foodtech_Alt_Protein_And_Innovation,The Nordic alternative protein research ecosystem - GFI Europe.pdf,The Nordic alternative protein research ecosystem - GFI Europe,The Nordic alternative protein research ecosystem - GFI Europe,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references GFI Europe; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references GFI Europe | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
