source_id,source_path,source_type,scope,status,key_use,caveat,last_checked
src-car-brreg-validated,research/norge/circular-actors/brreg-validated.md,local-md,NO,read,Brreg-backed Norwegian seed rows and seaweed cluster,NACE is not proof of circularity,2026-06-24
src-car-sirkulaer-selskaper,research/bibliotek/sirkularitet/sirkulaer-selskaper-norge.md,local-md,NO,read,Narrative seed rows for matsvinn and research actors,Some effect numbers are secondary and need PCQ,2026-06-24
src-car-exa-actors,research/exa-circular-actors-2026-04-21.md,local-md,Nordic,read,Nordic context actors and failure/survival cases,Secondary Exa summary; not verification source,2026-06-24
src-car-intake-r1,research/intake/perplexity-2026-04-20/new-actors.json,local-json,Nordic/global,read,Structured actor seeds for context and Norwegian candidate rows,AI intake requires primary follow-up,2026-06-24
src-car-intake-r2,research/intake/perplexity-2026-04-20-runde2/new-actors.json,local-json,Nordic/global,read,Alternative protein/foundation/feed actor seeds,AI intake requires primary follow-up,2026-06-24
src-car-r12-actor-001,research/_status/R12-ACTOR-001-markedshager-og-smaaskala-gront.md,local-md,NO,read,Market garden and small-scale vegetable network candidates,Producer rows need primary locator,2026-06-24
src-car-r12-actor-002,research/external/r12/R12-ACTOR-002-reko-norge-2025-2026.md,local-md,NO,read,REKO organization/governance source-shortlist,Updated counts not closed,2026-06-24
src-car-r12-actor-003,research/_status/R12-ACTOR-003-andelslandbruk-etter-2023.md,local-md,NO,read,CSA/andelslandbruk candidates and Okoguiden caveats,Active farm status needs actor check,2026-06-24
src-car-r12-actor-004,research/external/r12/R12-ACTOR-004-kvann-skogshage-og-fronettverk.md,local-md,NO,read,KVANN seed forest-garden and Root2Fork nodes,Membership and farm lists not open,2026-06-24
src-car-r12-actor-005,research/_status/R12-ACTOR-005-nordisk-kontekst-med-norsk-kobling.md,local-md,Nordic,read,Nordic practice context with Norwegian links,Context only; not full Nordic atlas,2026-06-24
src-car-r12-waste-004,research/external/r12/R12-WASTE-004-kaffegrut-og-urbane-sidestrommer.md,local-md,NO,read,Coffee grounds and urban side-stream data gap,Actor throughput not sourced,2026-06-24
src-car-006-pronofa,https://pronofa.no/en/,actor-primary,NO,read,Pronofa identity and current Ciona/Purply alternative-protein activity,Do not treat historic insect/Ecoprot angle as current Pronofa activity,2026-06-24
src-car-006-norinsect,https://norinsect.no/about-us/this-is-norisect/%26lang%3D2,actor-primary,NO,read,NorInsect mealworm residues feed ingredients frass and founder data,Output volume still needs primary evidence,2026-06-24
src-car-006-invertapro,https://www.invertapro.com/en,actor-primary,NO,read,Invertapro insect circular-economy model using food waste and side-streams,LCA and scale claims need underlying source before KPI use,2026-06-24
src-car-006-bio3,https://www.bio3.no/,actor-primary,NO,read,BIO3 fish-feed ingredient and single-cell protein positioning,Status appears pre-commercial and production capacity remains unverified,2026-06-24
src-car-006-wa3rm-bio3,https://wa3rm.com/projects/wtl-averoy/,project-page,NO/SE,read,WTL Averoy facility concept with BIO3 and waste-stream fermentation feed protein,Planned facility source not realized production proof,2026-06-24
src-car-006-nomy-secondary,https://arcticstartup.com/norwegian-mycelium-as-nomy-raises-new-funding/,secondary-news,NO,read,NoMy mycoprotein side-stream and funding context,Secondary only until primary NoMy source is extractable,2026-06-24
src-car-006-seaweed-solutions,https://seaweedsolutions.com/,actor-primary,NO,read,Seaweed Solutions macroalgae seed/culture and cultivation/restoration role,End-use and volume need actor-specific follow-up,2026-06-24
src-car-006-arctic-seaweed,https://aseaweed.com/,actor-primary,NO,read,Arctic Seaweed scalable seaweed-farming technology role,Do not overclassify as food producer without end-use source,2026-06-24
src-car-006-norwegian-seaweed-cluster,https://www.norseaweed.no/,network-primary,NO,read,Norwegian Seaweed Cluster value-chain network for food feed and biostimulants,Cluster membership is not individual producer verification,2026-06-24
src-car-006-nibio-multifuellarve,https://nibio.no/nyheter/tre-fluger-i-ein-smekk--sirkulaer-produksjon-av-insektlarvar,public-research,NO,read,MultiFuelLarve insect/frass circular-production context,Project row not producer capacity,2026-06-24
src-car-006-nofima-millennial-salmon,https://nofima.com/projects/millennial-salmon/,public-research,NO/EU,read,Microalgae and insect meal for sustainable salmon feed project,Project goals not market adoption proof,2026-06-24
src-car-006-moreforsking-algae2insect,https://www.moreforsking.no/en/prosjekter/algae2insect,public-research,NO,read,Macroalgae side-streams as mealworm feed supplement,Feeding trial not commercial production,2026-06-24
src-car-006-enifer-pekilo,https://enifer.com/products/pekilo-aqua,actor-primary,FI,read,Nordic mycoprotein aquafeed context and PEKILO source characteristics,Context only not Norway coverage,2026-06-24
src-car-006-brreg,https://data.brreg.no/enhetsregisteret/api/enheter,registry-api,NO,read,Org-number municipality founding-year and NACE identity checks,NACE is not proof of circular activity,2026-06-24
src-car-005-hoff,https://www.hoff.no/baerekraft_/sirkulaerokonomi/,actor-primary,NO,read,HOFF potato rest-resource circularity and 40000 tonne annual handling claim,Preserve HOFF scope wording and do not equate all rest resources with human food,2026-06-24
src-car-005-biomega-home,https://biomegagroup.com/,actor-primary,NO,read,Biomega salmon rest-stream circular biorefinery and ingredient markets,Group/site rows need dedupe before capacity use,2026-06-24
src-car-005-biomega-about,https://biomegagroup.com/about-us/,actor-primary,NO,read,Biomega upcycling rest raw salmon materials and Skaganeset history,No realized output volume extracted in this pass,2026-06-24
src-car-005-hofseth-home,https://hofsethbiocare.com/,actor-primary,NO,read,Hofseth BioCare salmon off-cuts to bioactive marine ingredients,Clinical or health claims need separate study review,2026-06-24
src-car-005-hofseth-about,https://www.hofsethbiocare.com/company/about-us,actor-primary,NO,read,Hofseth BioCare salmon off-cut ingredient company context,Do not import therapy/health effects as CAR actor claims,2026-06-24
src-car-005-pelagia-about,https://www.pelagia.com/about,actor-primary,NO,read,Pelagia 100 percent fish-utilisation model and trimmings to marine ingredients,Split food health feed biofuel and soil pathways before analytical use,2026-06-24
src-car-005-alginor-about,https://alginor.no/about-us/,actor-primary,NO,read,Alginor kelp biorefinery and total-utilisation strategy,Primarily tang/tare not generic food side-stream actor,2026-06-24
src-car-005-proteus,https://norsus.no/en/prosjekt/proteus-kelp-side-stream-valorisation-to-develop-new-biobased-value-chains/,public-research,NO/EU,read,PROTEUS kelp side-stream valorisation and industrial biorefinery project,Project target not realized production,2026-06-24
src-car-005-gruten-about,https://www.gruten.no/om-gruten,actor-primary,NO,read,Gruten coffee-waste history and 2025 winding-down status,No clean Brreg org match in this pass,2026-06-24
src-car-005-gruten-oystersopp,https://www.gruten.no/produkt/%C3%B8sterssopp-1,actor-primary,NO,read,Historic oyster-mushroom production on coffee grounds and other substrates,Historic page must be read with current wind-down note,2026-06-24
src-car-005-kaffe-bueno,https://www.kaffebueno.com/,actor-primary,DK,read,Nordic spent-coffee-ground biorefinery context,Context only not Norwegian registry coverage,2026-06-24
src-car-005-hailia,https://hailia.fi/,actor-primary,FI,read,Nordic seafood side-stream upcycling technology context,Context only not Norwegian registry coverage,2026-06-24
src-car-005-sintef-restrastoff,https://www.sintef.no/publikasjoner/publikasjon/019cb816e9d8-613672ba-42ff-40f5-8c4a-d11bcb98a574/,public-research,NO,read,2024 marine residual raw-material national context,Source row only not company output,2026-06-24
src-car-005-fhf-restrastoff,https://www.fhf.no/prosjekter/prosjektbasen/901844/,public-research,NO,read,FHF project page for marine residual raw-material analysis series,Use as source coverage not actor impact,2026-06-24
src-car-004-too-good-to-go-no,https://www.toogoodtogo.com/no,actor-primary,NO,read,Too Good To Go surplus-food app mechanism in Norwegian market,Do not use global app metrics as Norway-specific KPI,2026-06-24
src-car-004-holdbart,https://www.holdbart.no/,actor-primary,NO,read,Holdbart surplus goods and short shelf-life retail model,Do not infer avoided-waste tonnage from product catalogue,2026-06-24
src-car-004-matsentralen-english,https://www.matsentralen.no/english,actor-primary,NO,read,Matsentralen food-bank network and surplus-food redistribution role,Network role not complete national coverage proof,2026-06-24
src-car-004-matsentralen-annual,https://www.matsentralen.no/rapporter/arsrapport-matsentralen-norge,actor-primary,NO,read,Matsentralen 2024 redistributed-tonnage and meal-equivalent source,Keep as network output not total avoided food waste,2026-06-24
src-car-004-matvett-bransjeavtale,https://www.matvett.no/bransje/aktuelt/bransjeavtale-om-matsvinn,actor-primary,NO,read,Matvett industry-agreement context and coordination role,Matvett is not direct waste-handler or producer,2026-06-24
