id,lane,owner,due_window,artifact_path,next_action,acceptance_gate
A1,hovedoppgave,Codex research + Gabriel,Critical path uke 3,research/evidence-pack/gap-cards/A1-scope3-dagligvare-2026-04.md,Bygg felles Scope 3-tabell for NorgesGruppen/ASKO Coop og Reitan med basisår og kategoriavgrensning,Kildepakke + komparabilitetstabell + tydelig partnerrequest
A2,hovedoppgave,Codex research,Critical path uke 3,research/evidence-pack/gap-cards/A2-husholdningsmatsvinn-drivere-2026-04.md,Kartlegg drivere for husholdningsmatsvinn og skille 2023/2024 datagrunnlag,Evidence card med NORSUS/Matvett/SIFO/NMBU-kilder og metodeforbehold
A3,hovedoppgave,Codex research,Critical path uke 3,research/evidence-pack/gap-cards/A3-marint-restraastoff-2026-04.md,Kryssjekk volum og destinasjon mot Fiskeridirektoratet RUBIN/SINTEF/Nofima,Evidence card + verdikjedekart + unresolved datapunkter
A4,hurtig-plukk,Codex research,Uke 1,research/evidence-pack/gap-cards/A4-biogass-anlegg-virkemidler-2026-04.md,Samle produksjon potensial anlegg og virkemiddelhistorikk for Norge/DK/SE,Primærkilder eller bransjekilder + tabell over tall og forbehold
A5,bredding,Codex research,Uke 4,research/evidence-pack/gap-cards/A5-forimport-balanser-2026-04.md,Kartlegg soya mais og fiskemel-balansen i kraftfôr og akvafôr,Evidence card + klar datakilde for import/innenlandsk andel
A6,hurtig-plukk,Codex research,Uke 1,research/evidence-pack/gap-cards/A6-plast-matemballasje-2026-04.md,Hent emballasjestatistikk per kategori fra Grønt Punkt/Miljødirektoratet/PPWR,Evidence card med kategori- og definisjonsgrense
A7,hurtig-plukk,Codex research,Uke 1,research/evidence-pack/gap-cards/A7-klimakur-framdrift-2026-04.md,Kartlegg framdrift på Klimakur 2030 matsystemtiltak per 2024-2026,Tabell med tiltak potensial status og kilde
A8,bredding,Codex research,Fase 2,research/evidence-pack/gap-cards/A8-horeca-klimaregnskap-2026-04.md,Samle foodservice/HORECA klimadata og avgrensning,Evidence card eller parkert med begrunnelse
A9,modellbygging,Codex research,Fase 2,research/evidence-pack/gap-cards/A9-produkt-lca-database-2026-04.md,Kartlegg eksisterende norske/internasjonale LCA-databaser og gap til 500-1000 produkter,Metodenotat med lisens/databruksvurdering
B1,leveranseblokkering,Gabriel + Cathrine + Einar,Uke 2,docs/project/mandates/tg-charter-food-2026.md,Fullfør TG-charter og suksesskriterier,Godkjent charter eller eksplisitt beslutningslogg
