actor_id,canonical_name,aliases,org_number,country,county,municipality,website,actor_kind,circular_category,value_chain_stage,r_ladder_level,circular_mechanism,product_or_stream,status,founding_year,founders_or_key_people,employee_count,revenue_latest,strongest_source,weakest_point,source_class,gap_type,gate,registry_decision,confidence,ikke_si,last_checked
car-no-aquapro-as,AQUAPRO AS,,914827922,NO,Vestland,Stord,,company,biogass/digestat,waste,R8,aquaculture waste collection,oppdrettsavfall,active,,,,,research/norge/circular-actors/brreg-validated.md,Needs direct source for current circular service and scale,A,Type B,actor-gate,candidate,medium,Do not infer nutrient-return outcome from waste collection alone,2026-06-24
car-no-attvin-naering-as,ATTVIN NÆRING AS,,923030891,NO,Møre og Romsdal,Ålesund,,company,biogass/digestat,waste,R8,waste management and recycling,næringsavfall,active,,,,,research/norge/circular-actors/brreg-validated.md,Food-system relevance needs filtering from general waste activity,A,Type A,source-shortlist,candidate,low,Do not include as food actor without food stream evidence,2026-06-24
car-no-arctic-natural-nutrition-as,ARCTIC NATURAL NUTRITION AS,,928103668,NO,Nordland,Bodø,,company,sidestrøm/upcycling,processing,R2,fruit and vegetable raw material processing,frukt og grønt råvarer,active,,,,,research/norge/circular-actors/brreg-validated.md,Side-stream mechanism needs primary confirmation,A,Type B,actor-gate,candidate,medium,Do not call this upcycling without stream evidence,2026-06-24
car-no-aurora-seaweed-as,AURORA SEAWEED AS,,921332017,NO,Finnmark,Sør-Varanger,,company,tang/tare,primary,R2,macroalgae products,tang og tare,active,,,,,research/norge/circular-actors/brreg-validated.md,End-use and production status need actor/source check,A,Type B,actor-gate,candidate,medium,Do not infer feed or food volume from activity text,2026-06-24
car-no-smart-seaweed-solutions-as,SMART SEAWEED SOLUTIONS AS,,921275730,NO,Vestland,Askøy,,company,tang/tare,support,R2,technology for seaweed industry,tareteknologi,active,,,,,research/norge/circular-actors/brreg-validated.md,Technology role needs current primary source,A,Type A,source-shortlist,candidate,medium,Do not classify as producer if it is equipment/technology only,2026-06-24
car-no-seaweed-as,SEAWEED AS,,913194985,NO,Vestland,Askvoll,,company,tang/tare,primary,R2,algae farming and processing,alger,active,,,,,research/norge/circular-actors/brreg-validated.md,Needs dedupe and actor verification,A,Type B,actor-gate,candidate,medium,Do not merge with Seaweed Solutions without org-number match,2026-06-24
car-no-arctic-seaweed-as,ARCTIC SEAWEED AS,,917378819,NO,Agder,Flekkefjord,,company,tang/tare,primary,R2,seaweed production,tang og tare,active,,,,,research/norge/circular-actors/brreg-validated.md,Current production status and volume need source check,A,Type B,actor-gate,candidate,medium,Do not infer active scaled production from registry note,2026-06-24
car-no-barents-seaweed-as,BARENTS SEAWEED AS,,818481152,NO,Finnmark,Tana,,company,tang/tare,primary,R2,seaweed algae and bioenergy,tang tare bioenergi,active,,,,,research/norge/circular-actors/brreg-validated.md,Food-system end-use needs confirmation,A,Type B,actor-gate,candidate,medium,Do not mix bioenergy and food/feed outputs without source,2026-06-24
car-no-helgeland-seaweed-as,HELGELAND SEAWEED AS,,921995938,NO,Nordland,Vevelstad,,company,tang/tare,primary,R2,seaweed cultivation,tare,active,,,,,research/norge/circular-actors/brreg-validated.md,Production status needs primary locator,A,Type B,actor-gate,candidate,medium,Do not infer commercial output,2026-06-24
car-no-lyngen-seaweed-as,LYNGEN SEAWEED AS,,922997748,NO,Troms,Tromsø,,company,tang/tare,processing,R2,kelp and seafood products,tare og sjømat,active,,,,,research/norge/circular-actors/brreg-validated.md,Needs product/current status verification,A,Type B,actor-gate,candidate,medium,Do not use as volume claim,2026-06-24
car-no-marstein-seaweed-as,MARSTEIN SEAWEED AS,,817580122,NO,Vestland,Austevoll,,company,tang/tare,primary,R2,seaweed for food bioenergy and biomedicine,tang og tare,active,,,,,research/norge/circular-actors/brreg-validated.md,End-use split needs source check,A,Type B,actor-gate,candidate,medium,Do not conflate potential uses with realized markets,2026-06-24
car-no-norway-seaweed-as,NORWAY SEAWEED AS,,916335784,NO,Agder,Arendal,,company,tang/tare,support,R2,algae technology platform,alger,active,,,,,research/norge/circular-actors/brreg-validated.md,Technology/platform status needs current primary source,A,Type A,source-shortlist,candidate,medium,Do not classify as biomass producer without source,2026-06-24
car-no-norwegian-seaweed-as,NORWEGIAN SEAWEED AS,,822659292,NO,Trøndelag,Indre Fosen,,company,tang/tare,processing,R2,algae and marine-resource products,alger og marine ressurser,active,,,,,research/norge/circular-actors/brreg-validated.md,Needs current product/source verification,A,Type B,actor-gate,candidate,medium,Do not infer scale,2026-06-24
car-no-selvaer-seaweed-as,SELVÆR SEAWEED AS,,932324997,NO,Nordland,Træna,,company,tang/tare,primary,R2,harvesting and seaweed production,tang og tare,active,,,,,research/norge/circular-actors/brreg-validated.md,Very young row; current operations need actor check,A,Type B,actor-gate,candidate,medium,Do not infer active harvest volume,2026-06-24
car-no-vesteralen-seaweed-as,VESTERÅLEN SEAWEED AS,,917339937,NO,Nordland,Øksnes,,company,tang/tare,primary,R2,macroalgae cultivation,makroalger/tare,active,,,,,research/norge/circular-actors/brreg-validated.md,Needs actor/source verification,A,Type B,actor-gate,candidate,medium,Do not infer food/feed end-use,2026-06-24
car-no-bacassa-seaweed-as,BACASSA SEAWEED AS,,927116758,NO,Nordland,Røst,,company,tang/tare,primary,R2,seaweed cultivation,tang og tare,active,,,,,research/norge/circular-actors/brreg-validated.md,Needs current primary locator,A,Type B,actor-gate,candidate,medium,Do not infer production status from registry note alone,2026-06-24
car-no-oda-as,ODA AS,,,NO,Oslo,Oslo,https://oda.com/no,company,matsvinn/prevention,distribution,R1,order-driven grocery logistics,dagligvarer,active,,,,,research/bibliotek/sirkularitet/sirkulaer-selskaper-norge.md,Org number and circular KPI need validation,B,Type A,source-shortlist,needs_brreg,medium,Do not call lower waste a measured circular effect without source,2026-06-24
car-no-matsentralen-norge,Matsentralen Norge,,,NO,Oslo,Oslo,https://www.matsentralen.no,network,redistribusjon,distribution,R1,food redistribution,overskuddsmat,active,,,,,research/bibliotek/sirkularitet/sirkulaer-selskaper-norge.md,Org structure and volume need primary PCQ,B,Type A,PCQ,needs_brreg,medium,Do not use tonnage claims without annual report/source,2026-06-24
car-no-pronofa-as,Pronofa AS,,,NO,Østfold,Fredrikstad,https://pronofa.com,company,insekter,processing,R2,insect larvae for feed,organiske sidestrømmer til insektprotein,pilot,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Org number and current plant status need primary source,B,Type A,source-shortlist,needs_brreg,medium,Do not treat planned tonnes as realized production,2026-06-24
car-no-norinsect-as,Norinsect AS,,,NO,,,https://norinsect.no,company,insekter,processing,R2,mealworm larvae for feed and food,insektprotein,active,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Org number and production status need primary source,B,Type A,source-shortlist,needs_brreg,medium,Do not infer current output volume,2026-06-24
car-no-ecoprot-as,Ecoprot AS,,,NO,,,,company,insekter,research,R2,insect substrate research and larvae production,organiske avfallsfraksjoner,unknown,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Acquisition/relationship to Pronofa needs primary source,B,Type A,source-shortlist,needs_brreg,medium,Do not double-count if acquired by Pronofa,2026-06-24
car-no-bio3-as,BIO3 AS,,,NO,,,,company,mykoprotein/fermentering,processing,R2,PEKILO mycoprotein licensing for salmon feed,mykoprotein,unknown,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Factory plan needs primary source and org validation,B,Type A,source-shortlist,needs_brreg,medium,Do not treat planned factory as operating,2026-06-24
car-no-verminord,VermiNord,,,NO,,,,company,kompost/jord,waste,R3,vermicomposting and biorest,biorest,unknown,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Needs primary identity and org number,B,Type A,source-shortlist,needs_brreg,low,Do not include in verified register until entity match is clear,2026-06-24
car-no-bokashi-norge,Bokashi Norge,,,NO,,,,company,kompost/jord,consumption,R3,bokashi composting system,matavfall,unknown,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Needs org/source validation,B,Type A,source-shortlist,needs_brreg,low,Do not infer national waste volume,2026-06-24
car-no-biomega,Biomega,,,NO,,,,company,sidestrøm/upcycling,processing,R2,seafood side-stream biotech,sjømatrestråstoff,unknown,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Needs legal entity and current status validation,B,Type A,source-shortlist,needs_brreg,medium,Do not infer volume or profitability,2026-06-24
car-no-hoff-sa,HOFF SA,,,NO,,,,cooperative,sidestrøm/upcycling,processing,R2,potato processing side-stream potential,potet sidestrømmer,active,,,,,research/intake/perplexity-2026-04-20/new-actors.json,Circular mechanism needs specific source beyond company identity,B,Type A,source-shortlist,needs_brreg,medium,Do not call all potato processing circular,2026-06-24
car-no-felleskjopet-forutvikling,Felleskjopet Forutvikling,,,NO,,,,company,sirkulært fôr,input,R2,alternative feed development,fôrråvarer,active,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Entity and role need primary validation,B,Type A,source-shortlist,needs_brreg,medium,Do not infer commercial circular feed product,2026-06-24
car-no-borregaard,Borregaard,,,NO,Østfold,Sarpsborg,https://www.borregaard.com,company,sirkulært fôr,input,R2,biorefinery and possible SCP/feed relevance,wood-based biomass,active,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Food/feed relevance needs specific source,B,Type A,source-shortlist,needs_brreg,medium,Do not include general biorefinery as food actor without feed link,2026-06-24
car-no-eat-foundation,EAT Foundation,,,NO,Oslo,Oslo,https://eatforum.org,foundation,FoU/nettverk,support,unknown,food systems network and research convening,matsystemtransformasjon,unknown,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Status and wind-down claim needs primary validation,B,Type A,source-shortlist,needs_brreg,medium,Do not mark bankrupt/wind-down without primary source,2026-06-24
car-no-ferd-sosiale-entreprenorer,Ferd Sosiale Entreprenorer,,,NO,Oslo,Oslo,https://ferd.no,foundation,finansiering/støtte,support,unknown,impact investment and support,sosialt entreprenørskap,active,,,,,research/intake/perplexity-2026-04-20-runde2/new-actors.json,Food-specific portfolio relevance needs source,B,Type A,source-shortlist,needs_brreg,medium,Do not treat general impact investment as circular food impact,2026-06-24
