node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
arctic-cockles-da,ARCTIC COCKLES DA,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver høste, sortere, pakke og skippe hovedsaklig hjetreskjell/sandskjell..",,2026,993882607,https://data.brreg.no/enhetsregisteret/api/enheter/993882607,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges for fartoy-/kvote-/driftsreview.
arctic-fish-as,ARCTIC FISH AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske og fangst langs norskekysten..,,2026,998172748,https://data.brreg.no/enhetsregisteret/api/enheter/998172748,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges for fartoy-/kvote-/driftsreview.
arctic-fjord-as,ARCTIC FJORD AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiske, kjøp, salg og utleie av maskiner og utstyr, sveising og reparasjoner av utstyr. tilby konsulenttjenester..",,2026,817360262,https://data.brreg.no/enhetsregisteret/api/enheter/817360262,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges fordi registertekst også omtaler investering/service/havbruk/turisme/annen blandet rolle.
arctic-fresh-as,ARCTIC FRESH AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav- og kystfiske. guide og reiseleder. utleie av fast eiendom. utleie av båt (uten fører). tjenester tilknyttet skogbruk, skogsentreprenør..",,2026,936107613,https://data.brreg.no/enhetsregisteret/api/enheter/936107613,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges fordi registertekst også omtaler investering/service/havbruk/turisme/annen blandet rolle.
arctic-pioner-as,ARCTIC PIONER AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fangst av snøkrabbe, og kan drive med fangst av reker, samt det som naturlig står i forbindelse med dette..",,2026,915692559,https://data.brreg.no/enhetsregisteret/api/enheter/915692559,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges for fartoy-/kvote-/driftsreview.
arctic-polar-management-as,ARCTIC POLAR MANAGEMENT AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fangst av snøkrabbe, og kan drive med fangst av reker, samt det som naturlig står i forbindelse med dette..",,2026,976482123,https://data.brreg.no/enhetsregisteret/api/enheter/976482123,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges for fartoy-/kvote-/driftsreview.
arctic-project-consulting-as,ARCTIC PROJECT CONSULTING AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,"Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fisk og fangst, samt konsulterende arbeid som ingeniør innenfor maritim og offshore virksomhet..",,2026,896836552,https://data.brreg.no/enhetsregisteret/api/enheter/896836552,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges fordi registertekst også omtaler investering/service/havbruk/turisme/annen blandet rolle.
arctic-seafood-group-as,ARCTIC SEAFOOD GROUP AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver fiskeri og havbruk..,,2026,984186614,https://data.brreg.no/enhetsregisteret/api/enheter/984186614,registry_snapshot,machine_verified,middels,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges fordi registertekst også omtaler investering/service/havbruk/turisme/annen blandet rolle.
arctic-swan-as,ARCTIC SWAN AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver rederivirksomhet for m/s arctic swan og deltakelse i selskaper med tilknytning til egen virksomhet..,,2026,814350932,https://data.brreg.no/enhetsregisteret/api/enheter/814350932,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges for fartoy-/kvote-/driftsreview.
arctic-waters-as,ARCTIC WATERS AS,organisasjon,primaerproduksjon,villfisk-fiskeri,NO,Brreg-registrert aktør i villfisk/fiskeri med NACE 03.110. Registertekst beskriver hav- og kystfiske..,,2026,914375460,https://data.brreg.no/enhetsregisteret/api/enheter/914375460,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg API validert aktiv enhet 2026-07-02; NACE 03.110; kandidat fra pass-4 fortsettelse etter dedupe mot 80 eksisterende villfisk-aktører. Flagges for fartoy-/kvote-/driftsreview.
