track,tier,evidence_basis,confidence,source_path,title,primary_use,notes
policy-market,immediate-core,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf","Konkurransetilsynets Dagligvarerapport 2024-25","Market-concentration baseline for the whitepaper","Fresh official baseline on concentration, margins, import barriers, and vertical integration."
policy-market,immediate-core,document-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2024.pdf","Årsrapport for Dagligvaretilsynet 2024","Enforcement-performance baseline","Needed direct PDF support because local summary coverage was thin."
policy-market,immediate-core,document-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2026.pdf","Dagligvaretilsynet - tildelingsbrev for 2026","Institutional-transition baseline for 2026","Core source on transfer from Dagligvaretilsynet to Konkurransetilsynet."
policy-market,immediate-core,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/utredning-av-funksjonelt-og-regnskapsmessig-skille-i-verdikjeden-for-mat-og-dagligvarer.pdf","Utredning av funksjonelt og regnskapsmessig skille i verdikjeden for mat og dagligvarer","Framework for transparency and separation proposals","Strong policy-design source; useful more as framework than new empirical baseline."
policy-market,immediate-core,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf","Konkurransetilsynets marginstudie 2024 — Del 2: Kartlegging av marginer ved bruk av informasjon på produktnivå","Category-level value-capture analysis","Best product-level evidence in the shortlist."
policy-market,immediate-core,document-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+lokalmat-+og+drikke+produsenter+i+dagligvarebransjen+2025.pdf","Samarbeidsklimaet i dagligvarebransjen for mindre lokalmat- og drikkeprodusenter 2025","Local-producer access and contract-friction evidence","Directly bridges market structure and small-producer viability."
policy-market,core-support,summary-led,medium,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf","Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert","Buyer-power asymmetry context","Important but narrower than the main market baseline."
policy-market,core-support,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Utredning-om-prisjusteringsvinduer-2023.pdf","Utredning om prisjusteringsvinduer 2023","Worked example of a competition-distorting market rule","Useful for the 'change the rules, not only the actors' argument."
policy-market,core-support,summary-led,medium,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf","Egne merkevarer (EMV) og innovasjon i dagligvare","Counterweight in the EMV debate","Commissioned source; useful but should be paired with less chain-friendly material."
policy-market,core-support,document-led,medium,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf","Forbyr praksis som motvirker konkurranse i dagligvaremarkedet","Short source on property/location barriers","Useful signal source, but not a deep analytical report."
policy-market,core-support,document-led,medium,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf","Nye tiltak for bedre konkurranse i dagligvarebransjen","Live government reform package","Good for policy timing and reform direction."
policy-market,core-support,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf","Rapport om samarbeidsklimaet i dagligvarebransjen 2024","Baseline supplier-climate comparator","Best used together with the 2025 localmat report."
policy-market,core-support,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/NORDIC_FOOD_MARKETS.pdf","Nordic Food Markets — A Taste for Competition","Historical Nordic benchmark","Old but still important for structural continuity."
policy-market,core-support,summary-led,high,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Paivittaistavarakauppa-ry-2024-EN.pdf","Finnish Grocery Trade 2024","Finland comparator for concentration and market design","Clean sector-statistics source."
policy-market,core-support,summary-led,medium,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/SAMKEPPNISEFTIRLITID_arsskyrlsla_2024_LOK_02.10.pdf","Samkeppniseftirlitið Annual Report 2024","Iceland governance-capacity comparator","Useful for small-market oversight, weaker on direct grocery detail."
operator-evidence,immediate-core,summary-led,high,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/ng_ars--og-barekraftsrapport-2024.pdf","NorgesGruppens års- og bærekraftsrapport 2024","Main Norwegian operator-power anchor","Strong local synthesis on vertical integration, EMV, and market power."
operator-evidence,immediate-core,summary-led,high,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/barekraft-i-asko-2024.pdf","Bærekraft i ASKO 2024","Distribution and logistics control-point source","Best physical distribution-layer document in the shortlist."
operator-evidence,immediate-core,summary-plus-spot-check,medium,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Reitan Retail 2025_Oppslag.pdf","Reitan Retail Annual and Sustainability Report 2024","Cross-Nordic operator model","Underlying document is strong, but intake metadata was noisy and required title normalization."
operator-evidence,immediate-core,summary-led,high,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Annual report 2024.pdf","Salling Group Annual Report 2024","Denmark operator anchor","Strong local synthesis on formats, supplier expectations, and strategy."
operator-evidence,immediate-core,summary-plus-spot-check,medium,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/2024 Environmental Footprint Report ENG.pdf","Environmental Footprint of the Food Saved by Too Good To Go","Method note for avoided-impact accounting","Useful methodology source, but should not be treated like a government audit."
operator-evidence,core-support,summary-led,high,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/kesko-annual-report-2024.pdf","Kesko Annual Report 2024","Finland retail anchor","Research-useful despite duplicate/skip handling in review workflow."
operator-evidence,core-support,summary-plus-spot-check,medium,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Matsmart-Ars-och-hallbarhetsredovisning-2024.pdf","Matsmart Års- och hållbarhetsredovisning 2024","Commercial surplus-resale model","Useful circular commerce case; thinner prewritten local coverage."
operator-evidence,core-support,summary-plus-spot-check,medium,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Cheffelo_Arsredovisning_Hallbarhetsrapport_2025_SE.pdf","Cheffelo Årsredovisning & Hållbarhetsrapport 2025","Planned-demand and meal-kit operating model","Useful support case on demand planning and waste reduction."
resilience-security,immediate-core,summary-led,high,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/matsikkerhet-og-beredskap-pa-landbruksomradet.pdf","Matsikkerhet og beredskap på landbruksområdet","Core Norwegian resilience problem statement","Strongest Norwegian preparedness audit in the set."
resilience-security,immediate-core,summary-led,high,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/livsmedelsberedskap-for-en-ny-tid-sou-20248.pdf","Livsmedelsberedskap för en ny tid","Best Nordic whole-system preparedness comparator","Strong on governance, logistics, and total-defence framing."
resilience-security,immediate-core,document-led,high,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Mittenzwei-mfl-2026-Scenarioanalyse-av-norsk-jordbruk-i-2050.pdf","Scenarioanalyse av norsk jordbruk i 2050 med vekt på forholdet mellom kosthold, utslipp, import og matproduksjon","Long-run trade-off model for climate, diet, and resilience","Useful scenario spine for the whitepaper."
resilience-security,immediate-core,summary-led,high,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Ikkje lett å bli klok på sjølvforsyning - Nibio.pdf","Ikkje lett å bli klok på sjølvforsyning","Method correction for self-sufficiency claims","Essential for analytical discipline around dependency metrics."
resilience-security,immediate-core,summary-led,medium,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/importvern_til_godkjenning---sensurert-adobe.pdf","Importvernets påvirkning på konsentrasjonen i leverandørleddet","Link between trade protection and supplier concentration","Strong thesis, but still a thesis rather than an official audit."
resilience-security,immediate-core,mixed,medium,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/kvotesystemet_i_kyst_og_havfisket.pdf","Riksrevisjonens undersøkelse av kvotesystemet i kyst- og havfisket","Marine-governance and territorial robustness case","Useful but based on weaker local structured coverage and adjacent contextual support."
resilience-security,core-support,document-led,medium,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/reduksjon-av-klimagassutslepp-fra-jordbruket.pdf","Riksrevisjonens undersøking om reduksjon av klimagassutslepp frå jordbruket","Climate-resilience trade-off audit","Official and important, but local summary support was thin."
resilience-security,core-support,document-led,medium,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Milepæl for norsk beredskap - regjeringen.no.pdf","Milepæl for norsk beredskap","Current implementation signal on grain reserves","Useful proof-point, but just a policy-page capture."
resilience-security,core-support,document-led,medium,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/myndighetenes-arbeid-med-fiskehelse-og-fiskevelferd-i-havbruksnaringen.pdf","Myndighetenes arbeid med fiskehelse og fiskevelferd i havbruksnæringen","Biological fragility and seafood-system reliability","Important but built mostly from the intake PDF and adjacent support."
resilience-security,core-support,contextual,low,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Norsk sjømatnæring – fra subsidiesluk til pengemaskin _ Nofima.pdf","Norsk sjømatnæring – fra subsidiesluk til pengemaskin","Macro framing for the blue-sector paradox","Keep as context, not as a core evidentiary pillar."
resilience-security,core-support,contextual,low,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Matkjedene skviser bonden _ Framtiden i våre hender.pdf","Matkjedene skviser bonden","Current producer-pressure signal","Advocacy source; useful only when triangulated."
