decision,name,key,status,suggested_bucket,suggested_import_target,reason,mentions,sources,score,context_score,evidence,source_examples,notes
,Bent Hoeie,bent-hoie,actor_contact_only,REVIEW_POLICY_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har politikk-/utvalgskontekst som kan være relevant for personkatalogen.,8,5,65,12,utvalgsleder,ActorContact; research/bibliotek/nou/matsystemutvalget-status-2026.md; research/bibliotek/tenketanker-ngo.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md,
,Michel Bajuk,michel-bajuk,missing_candidate,REVIEW_PROJECT_PARTNER_PROFILE,ActorContact_or_PersonProfile,Partner-/styringskontekst i prosjektunderlag; bør verifiseres som kontakt og vurderes for profil.,9,7,54,15,"into analysis - Contradictions flagged and investigated --- ### Mission 2: Nordic Partner Data Validation **Objective:** Send our Nordic comparison data to Michel Bajuk (Sweden/Cradlenet) and Betina Simonsen (Denmark/LDCluster) for confirmation, correction, and enrichment. **Why this matters:** Our Nordic market data (whitepa",research/RESEARCH-MISSIONS.md; research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md; research/external/nch-contract/contract-201-2503-P25013.md; research/whitepaper/executive-brief.md; research/whitepaper/food-systems-2026-draft-v1-reviewed.md; research/whitepaper/food-systems-2026-draft-v1.md; research/whitepaper/gap-list.md,
,Betina Simonsen,betina-simonsen,missing_candidate,REVIEW_PROJECT_PARTNER_PROFILE,ActorContact_or_PersonProfile,Partner-/styringskontekst i prosjektunderlag; bør verifiseres som kontakt og vurderes for profil.,8,7,53,13,"ged and investigated --- ### Mission 2: Nordic Partner Data Validation **Objective:** Send our Nordic comparison data to Michel Bajuk (Sweden/Cradlenet) and Betina Simonsen (Denmark/LDCluster) for confirmation, correction, and enrichment. **Why this matters:** Our Nordic market data (whitepaper §4.1) uses estimates with ±2–3% unc",research/RESEARCH-MISSIONS.md; research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md; research/external/nch-contract/contract-201-2503-P25013.md; research/whitepaper/executive-brief.md; research/whitepaper/food-systems-2026-draft-v1-reviewed.md; research/whitepaper/food-systems-2026-draft-v1.md; research/whitepaper/gap-list.md,
,Frode Steen,frode-steen,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,8,7,53,16,"# Sammendrag: Frode Steen — Publikasjonsprofil **Full tittel:** Frode Steen — NorgesGruppen-professor i konkurranseøkonomi, NHH **Dato:** 25. mars 2026 (Analysert) **Kilde:** https://www.nhh.no/en/employees/faculty/frode-steen/ --- #","research/bibliotek/akademia/nhh-food/frode-steen-profil.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/ocr-output/arkiv-sortert__Food Research Process 20.04.26__07_Academic_Research_And_Theses__drager-og-vagene.md; research/ocr-output/evidence-pack__akademia__drager-vagene-2017.md; research/perpl-17-03/Food Access, Food Deserts og Lokal HHI  Metoder, Kilder og Datasett for Nordisk og Komparativ Analyse.md; research/perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md; research/perpl-17-03/Nordiske avhandlinger og masteroppgaver om matsystemer, dagligvare og matpolitikk (2010–2026).md",
,Paola Federica Albizzati,paola-federica-albizzati,missing_candidate,REVIEW_ACADEMIC_PROFILE,PersonProfile,Akademisk eller forskningsbasert ekspertkontekst; kandidat for profil hvis kunnskapsaktører er innenfor scope.,7,7,42,7,"--- title: ""Sustainability Assessment of Food Waste Management"" author: Paola Federica Albizzati institution: DTU year: 2021 degree: PhD tags: [matsvinn, håndtering, LCA, redistribusjon, dyrefôr, avfallshierarki] --- ## Nøkkelfunn - 21 ulike matsvinns-hå",research/bibliotek/akademia/masteroppgaver/albizzati-phd-2021.md; research/intake/food-research-process-2026-04-20/promotion-candidates.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.first-wave-p2.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.first-wave-p2.json; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.json; research/intake/food-research-process-2026-04-20/thesis-review.csv,
,Minna Kaljonen,minna-kaljonen,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,5,3,34,10,"institusjoner enn enkeltstående aktivister, med stor tillit til statlige forskningsorganer og sikkerhetsmyndigheter (HVK).* ### Forskere og Akademikere * **Minna Kaljonen (SYKE - Finlands miljøsentral):** Ledende ekspert på matpolitikk og rettferdig omstilling (""Just Transition"") i matsystemet. Leder for det store JUST-FOOD-pros",research/bibliotek/nordisk-mat-tenkere.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md,
,Hanne Fjerdingby Olsen,hanne-fjerdingby-olsen,actor_contact_only,REVIEW_ECOSYSTEM_PERSON_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har leder-/ekspertkontekst som kan være relevant for personkatalogen.,4,2,34,3,"Professor, baerekraftige matsystemer",ActorContact; research/cathrine-ten-step-oppsummering.md,
,Antonia Ax:son Johnson,antonia-axson-johnson,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,4,4,32,8,"m.m., som viser metodikken for sirkulær innovasjon som også brukes i matsystemarbeidet.[^11][^1][^2] *** ## 3. Nøkkelpersoner og styring - **Grunnlegger:** Antonia Ax:son Johnson, som fortsatt er styremedlem og frontfigur i kommunikasjon om stiftelsens rolle som «motståndsrörelse mot likgiltighet, handlingsförlamning och byråkratisk sta",research/bibliotek/forskningsrunde-2026-04-20/ax-foundation-kartlegging-2026-04-20.md; research/bibliotek/forskningsrunde-2026-04-20-r2/p15-axel-johnson-systemet-2026-04-20.md; research/intake/perplexity-2026-04-20/new-actors.json; research/perplexity-20-04-26/ax-foundation-matsystem-program.md,
,Carsten Lind Pedersen,carsten-lind-pedersen,missing_candidate,REVIEW_ECOSYSTEM_PERSON_PROFILE,PersonProfile,Leder-/gründer-/styringskontekst i matsystemrelatert virksomhet; må valideres mot kilde.,4,4,32,8,"ght to full operation within a foreseeable timeframe. However, the market’s reluctance has made it difficult to secure adequate sales and financing,” said CEO, Carsten Lind Pedersen, in a press release. The board of directors and shareholders have therefore – in collaboration with the company’s stakeholders – decided to initiate a reconstr",research/evidence-pack/sirkular-konkurser/enorm-biofactory/media-thefishsite-2025.md; research/exa-circular-actors-2026-04-21.md; research/perplexity-20-04-26/konkursanatomi-enorm-mycorena-infarm-v2.md; research/perplexity-20-04-26/konkursanatomi-enorm-mycorena-infarm.md,
,Nils Kristen Sandtroen,nils-kristen-sandtroen,actor_contact_only,REVIEW_POLICY_PROFILE,ActorContact_or_PersonProfile,Finnes som ActorContact og har politikk-/utvalgskontekst som kan være relevant for personkatalogen.,4,2,32,2,--- ## Nokkelpersoner ### Politiske beslutningstakere / Person / Tilknytning / Land / Relevans FS2026 / /--------/-------------/------/-----------------/ / Nils Kristen Sandtroen / LMD (statsraad) / NO / Politisk ansvarlig for Matsystemutvalget og selvforsyningsstrategien / / Bent Hoeie / Matsystemutvalget (leder) / NO / Leder NOU-prose,ActorContact; research/interviews/nordisk-aktorkart-perplexity-2026.md,
