activation_id,priority,source_queue,source_ref,country,theme,current_status,target_status,promotion_status,gate,next_action,output_artifact,owner,notes
ACT-001,P0,nordic-source-registry,Eurostat HICP monthly,Nordic,prices,ready,staged_analysis,review_ready,Gate 1,Confirm filter CP01 and create method note for price comparison,research/_plans/source-to-claim-ledger-2026-05-15.csv,Codex source worker,Ready API source but needs locator/method bridge for claims
ACT-002,P0,nordic-source-registry,Eurostat price level indices food,Nordic,prices,method_note_created,promoted_analysis,staged_analysis,Gate 2,Update B12 gap card and add locator before report/KI use,research/_plans/nordic-price-level-method-note-2026-05-15.md,Codex wave1 worker,Eurostat PLI locked as main B12 series; do not mix PPP PLI and CPI
ACT-003,P0,nordic-source-registry,FAOSTAT food balances,Nordic,self_sufficiency,ready,staged_analysis,review_ready,Gate 1,Use as comparator for G3 self-sufficiency scenario,research/evidence-pack/gap-cards/G3-selvforsyning-sjomatjustert-2026-04.md,Codex wave1 worker,Needs seafood-adjusted scenario method
ACT-004,P0,pcq,PCQ-FS-NO-002,NO,primary_delivery,ui_method_note_added,promoted_ui,promoted_ui,Gate 3,Visible NO-only marking added to DataQualityStrip label SectionHeader and primary card on /forsyningskjede,src/app/forsyningskjede/ForsyningskjedeContent.tsx,Claude UI worker,Overclaim guard live; PCQ-FS-NO-002 can be closed after QA review
ACT-005,P0,pcq,PCQ-FS-SE-001,SE,value_chain_seafood,partial_primary_snapshot,staged_analysis,needs_primary_check,Gate 2,Verify export/net seafood fields against SCB or Swedish Customs,research/review/forsyningskjede-primary-source-check-queue-2026-04-29.csv,Codex nordic worker,Required for seafood parity
ACT-006,P0,pcq,PCQ-FS-DK-001,DK,value_chain_seafood,partial_primary_snapshot,staged_analysis,needs_primary_check,Gate 2,Verify export and hub role against Statistics Denmark or fisheries source,research/review/forsyningskjede-primary-source-check-queue-2026-04-29.csv,Codex nordic worker,Required for seafood parity
ACT-007,P0,pcq,PCQ-FS-FI-001,FI,value_chain_seafood,partial_primary_snapshot,staged_analysis,needs_primary_check,Gate 2,Verify export and fishmeal/feed note against Luke Customs or StatFin,research/review/forsyningskjede-primary-source-check-queue-2026-04-29.csv,Codex nordic worker,Required for seafood parity
ACT-008,P0,pcq,PCQ-FS-IS-001,IS,value_chain_processing,needs_primary_check,staged_analysis,needs_primary_check,Gate 2,Verify processing actors and 60 pct processing claim,research/review/forsyningskjede-primary-source-check-queue-2026-04-29.csv,Codex nordic worker,Required for Iceland value-chain parity
ACT-009,P0,gap-routing,A4,NO_DK_SE,biogas,initial-card,staged_analysis,review_ready,Gate 2,Collect biogas plant status and policy history,research/evidence-pack/gap-cards/A4-biogass-anlegg-virkemidler-2026-04.md,Codex wave1 worker,Fast data gap
ACT-010,P0,gap-routing,G3,NO_Nordic,self_sufficiency,initial-card,staged_analysis,review_ready,Gate 2,Build seafood-adjusted self-sufficiency scenario,research/evidence-pack/gap-cards/G3-selvforsyning-sjomatjustert-2026-04.md,Codex wave1 worker,Requires clear scenario definitions
ACT-011,P0,gap-routing,B12,Nordic,price_level,panel_created,promoted_analysis,staged_analysis,Gate 2,Patch B12 gap card to reference panel and method note,research/data/nordic/prices/ppp-price-panel-2026-05-15.csv,Codex wave1 worker,50-row Eurostat PLI annual panel created; CPI/HICP remains separate
ACT-012,P1,gap-routing,A7,NO,climate_measures,initial-card,staged_analysis,review_ready,Gate 2,Extract Klimakur/matsystem measure status table,research/evidence-pack/gap-cards/A7-klimakur-framdrift-2026-04.md,Codex wave1 worker,Interpretation heavy
ACT-013,P1,gap-routing,A6,Nordic,packaging,initial-card,staged_analysis,review_ready,Gate 2,Separate total plastic packaging from food-contact packaging,research/evidence-pack/gap-cards/A6-plast-matemballasje-2026-04.md,Codex wave1 worker,Do not overclaim food packaging from total plastic
ACT-014,P1,gap-routing,B11,NO_Nordic,market_share,partial-data-artifact,staged_analysis,needs_primary_check,Gate 2,Search older explicit 2017-2019 grocery market share sources,research/evidence-pack/gap-cards/B11-omsetningsandeler-tidsserie-2026-04.md,Codex competition worker,No interpolation allowed
ACT-015,P1,source-to-claim,CL-A-016,NO,self_sufficiency,needs_ev_mapping,review_ready,needs_primary_check,Gate 4,Create EV row and verify NIBIO self-sufficiency number,docs/project/mandates/evidence-matrix-food-tg.md,Codex source-to-claim worker,Do before KI/report use
ACT-016,P1,source-to-claim,CL-C-016,NO,food_waste_law,needs_ev_mapping,review_ready,needs_primary_check,Gate 4,Verify Lovdata and implementation status for matkastelov,docs/project/mandates/evidence-matrix-food-tg.md,Codex source-to-claim worker,Date/legal status sensitive
