id,pakke,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,status,relevans,kommentar
G1-NF-001,G1,K3,Norden+Baltikum,tverrgaaende,NordForsk har lansert utlysningen Nordic and Baltic solutions on food security med mål om ca. ti prosjekter.,fakta,,,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,Ingress / Available Budget,The aim is to fund approximately ten Nordic or Nordic/Baltic research projects.,primær,lest_i_kilde,søknad,Nettside publisert 23.06.2026
G1-NF-002,G1,K3,Norden+Baltikum,tverrgaaende,Søknadsfrist er 2. desember 2026 kl. 13:00 CET.,fakta,,,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,Call Deadline,Call Deadline: 02.12.2026 13:00 (CET/Oslo Time),primær,lest_i_kilde,søknad,
G1-NF-003,G1,K3,Norden+Baltikum,tverrgaaende,Tilgjengelig budsjett er inntil 115 MNOK for nordiske partnere pluss EE/LT-nasjonale midler.,tall,115,MNOK,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,Available Budget,Available Budget for Nordic partners: up to 115 MNOK,primær,lest_i_kilde,søknad,EE up to 300000 EUR; LT up to 420000 EUR
G1-NF-004,G1,K3,Norden,tverrgaaende,"Maks 15 MNOK kan søkes for nordiske partnere i ett prosjekt (totalt, ikke per partner).",tall,15,MNOK,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,FAQ Funding,"Maximum amount of Nordic funding that may be requested is NOK 15,0 million. The total budget for the Nordic partners.",primær,lest_i_kilde,søknad,
G1-NF-005,G1,K3,Norden+Baltikum,tverrgaaende,Prosjektvarighet er inntil fire år.,fakta,4,år,2026,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,FAQ Funding,Up to four years.,primær,lest_i_kilde,søknad,
G1-NF-006,G1,K3,Norden+Baltikum,tverrgaaende,Tidligste prosjektstart 31.05.2027 og seneste 31.10.2027.,fakta,,,2027,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,FAQ Other,Earliest 31.05.2027. Latest 31.10.2027,primær,lest_i_kilde,søknad,
G1-NF-007,G1,K3,Norden+Baltikum,tverrgaaende,Finansieringsbeslutning forventes i andre kvartal 2027.,fakta,,,2027,https://www.nordforsk.org/calls/call-proposals-nordic-and-baltic-solutions-food-security,NordForsk,2026-06-23,FAQ Other,"Second quater of 2027, Q2 2027.",primær,lest_i_kilde,søknad,Stavefeil quater i FAQ
G1-NF-008,G1,K3,Norden+Baltikum,tverrgaaende,Full utlysningstekst og søknad skjer via NordForsk Application Portal call 4685.,fakta,,,2026,https://funding.nordforsk.org/#call/4685/main,NordForsk,2026-06-23,Portal call 4685,Applicants are invited to apply for funding to establish a research project with a budget of maximum NOK 15 million,primær,lest_i_kilde,søknad,DOM dump 2026-09-14
G1-NF-009,G1,K3,Norden+Baltikum,tverrgaaende,Utlysningen skal utvikle ny kunnskap og bygge research expertise gjennom tverrfaglig samarbeid.,policy_mål,,,2026,https://funding.nordforsk.org/#call/4685/main,NordForsk,2026-06-23,Aim of the call,develop new knowledge and build research expertise that is necessary to address the topics,primær,lest_i_kilde,søknad,Kjerneformulering for kompetansevinkel
G1-NF-010,G1,K3,Norden+Baltikum,tverrgaaende,Nordic/Baltic added value inkluderer eksplisitt building competence og critical mass/expertise.,fakta,,,2026,https://funding.nordforsk.org/#call/4685/main,NordForsk,2026-06-23,Assessment criteria – Nordic and Baltic added value,building competence; supporting mobility and networking,primær,lest_i_kilde,søknad,
