review_id,review_group,hs_codes,tonnes_2024,energy_tcal_candidate,current_kcal_per_100g,current_edible_part_pct,current_mapping_status,review_priority,decision_needed,status,notes
G3-NO-HS-YIELD-001-2024,salmon_whole_or_gutted,"03021411;03031311;03031319",990276.525,1435.406,223,65,mapped_proxy_candidate,P0,Confirm whole/gutted export form and edible yield for salmon before any G3 result use,needs_review,"Largest energy driver; current yield is a whole-fish proxy"
G3-NO-HS-YIELD-002-2024,salmon_fillet_or_fish_meat,"03044100;03048100;03049991;03054100",233669.438,521.082,223,100,mapped_proxy_candidate,P0,Confirm that exported product weight can be treated as edible salmon food weight,needs_review,"High energy driver; kcal factor uses raw farmed salmon proxy"
G3-NO-HS-YIELD-003-2024,mackerel_whole_or_gutted,"03035401;03035402;03024400;03035500",306076.268,437.689,286,50,mapped_proxy_candidate,P0,Confirm seasonal kcal factor and edible yield for mackerel export mix,needs_review,"Uses August-December mackerel kcal proxy; seasonal mix may materially change energy"
G3-NO-HS-YIELD-004-2024,clipfish,"03055313;03055121;03055332;03055320;03055129",79562.433,159.920,268,75,mapped_proxy_candidate,P0,Confirm whether product-weight edible share should be 75 pct or 100 pct for dried/salted export form,needs_review,"Processed/dried product form can shift energy per exported tonne"
G3-NO-HS-YIELD-005-2024,capelin_proxy,"03035901;03024901",60608.516,65.094,179,60,mapped_proxy_candidate,P1,Replace herring proxy with capelin-specific factor or document proxy,needs_review,"Current factor uses herring raw as capelin proxy"
G3-NO-HS-YIELD-006-2024,trout_whole_or_gutted,"03021111;03031411;03031419",65392.938,59.704,166,55,mapped_proxy_candidate,P1,Confirm whole/gutted export form and edible yield for trout,needs_review,"Current yield is a whole-fish proxy"
G3-NO-HS-YIELD-007-2024,trout_fillet_or_fish_meat,"03044200;03054300;03048200",9031.428,14.992,166,100,mapped_proxy_candidate,P2,Confirm product weight can be treated as edible trout food weight,needs_review,"Lower impact but same product-weight question as salmon fillets"
G3-NO-HS-YIELD-008-2024,prepared_herring,"16041206;16041205",11853.383,17.318,"137;187",100,mapped_proxy_candidate,P2,Confirm prepared herring product factors against product mix,needs_review,"Uses pickled/spiced herring factors from Matvaretabellen"
G3-NO-HS-YIELD-009-2024,stockfish,03055113,2339.281,7.649,327,100,mapped_proxy_candidate,P2,Confirm product-weight treatment for dried stockfish,needs_review,"Product weight and rehydration assumptions can alter interpretation"
G3-NO-HS-YIELD-010-2024,blue_whiting_proxy,03025600,9875.060,3.901,79,50,mapped_proxy_candidate,P2,Replace cod proxy with blue-whiting-specific factor or document proxy,needs_review,"Low energy impact but explicit species proxy"
G3-NO-HS-YIELD-011-2024,crab_whole_or_gutted,"03061402;03063300",7470.676,2.540,85,40,mapped_proxy_candidate,P2,Confirm edible yield for crab export product form,needs_review,"Uses crab shell edible-share proxy"
G3-NO-HS-YIELD-012-2024,minor_species_proxies,"03035300;03025930;03047419;03025400",4527.515,2.780,mixed,mixed,mapped_proxy_candidate,P3,Review minor proxy mappings if G3 is promoted beyond internal analysis,needs_review,"Small contribution; can remain proxy with warning if documented"
G3-NO-HS-YIELD-TOTAL-PROXY-2024,proxy_rows_total,all_proxy_mapped_rows,1780683.461,2728.075,mixed,mixed,mapped_proxy_candidate,P0,Proxy review required before G3 result promotion,open,"Proxy rows account for most candidate energy"
G3-NO-HS-YIELD-TOTAL-DIRECT-2024,direct_mapped_rows_total,all_direct_mapped_rows,528515.139,475.251,mixed,mixed,mapped_candidate,P1,Spot-check direct mapped rows for product-form consistency,open,"Direct mapped rows are still candidate-only and retain exclude usage rule"
