node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norges-bondelag,NORGES BONDELAG,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,Brreg-registrert aktor i institusjon-finansiering med 94.120 (Aktiviteter i yrkessammenslutninger). Næringspolitisk organisasjon.,,2026,939678670,https://data.brreg.no/enhetsregisteret/api/enheter/939678670,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.120; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
norsk-bonde-og-smabrukarlag,NORSK BONDE- OG SMÅBRUKARLAG,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,Brreg-registrert aktor i institusjon-finansiering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). Medlemsorganisasjon.,,2026,970167943,https://data.brreg.no/enhetsregisteret/api/enheter/970167943,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
okologisk-norge,ØKOLOGISK NORGE,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,"Brreg-registrert aktor i institusjon-finansiering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Landsdekkjande, ideell medlemsorganisasjon som skal arbeide for å fremje måla og idégrunnlaget til økologisk landbruk. Organisasjonen skal vere ein leiande organisasjon for økologisk samfunnsutvikling. Organisasjonen skal styrkje det økologiske miljøet i Norge, også gjennom eit internasjonalt engasjement. Dette skal gjerast ved å: ta vare på forbrukarane sine krav til mat, helse og miljø, arbeide for best moglege rammevilkår for økologisk landbruksproduksjon, skape interesse og entusiasme for økologisk livsstil og ernæring, betre omsetningstilhøva og marknadstilgangen for økologiske landbruksprodukt, spreie informasjon om økologisk landbruk, fremje rekruttering til økologisk produksjon, betre kunns",,2026,982512069,https://data.brreg.no/enhetsregisteret/api/enheter/982512069,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
bondens-marked-norge,STIFTELSEN BONDENS MARKED NORGE,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,"Brreg-registrert aktor i institusjon-finansiering med 82.300 (Kongress-, messe- og utstillingsvirksomhet). Stiftelsen forvalter konseptet Bondens marked i Norge. Stiftelsen legger til rette for lokale markedsplasser som driver direktesalg av småskala lokalmat fra bonde til forbruker.",,2026,995680254,https://data.brreg.no/enhetsregisteret/api/enheter/995680254,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 82.300; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
sjomat-norge,SJØMAT NORGE,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,"Brreg-registrert aktor i institusjon-finansiering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). Ivareta og fremme medlemmenes interesser og representere fiskeindustrien og havbruksnæringen overfor myndigheter, andre nasjonal og internasjonale institusjoner og organisasjoner og samfunnet forøvrig. Arbeide for at medlemmene får rammebetingelser og utviklingsmuligheter som styrker konkuransedyktighet og lønnsomhet, og gir gode og sikre arbeidsplasser.",,2026,974461021,https://data.brreg.no/enhetsregisteret/api/enheter/974461021,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
nho-mat-og-drikke,NHO MAT OG DRIKKE,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,Brreg-registrert aktor i institusjon-finansiering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). Landsomfattende kombinert arbeidsgiver- og næringspolitisk forening tilsluttet Næringslivets Hovedorganisasjon.,,2026,971273127,https://data.brreg.no/enhetsregisteret/api/enheter/971273127,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
dagligvareleverandorenes-forening,DAGLIGVARELEVERANDØRENES FORENING (DLF),organisasjon,institusjon-finansiering,interesseorg-paraply,NO,Brreg-registrert aktor i institusjon-finansiering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). Bransjeforening for leverandører av dagligvarer i Norge.,,2026,971435100,https://data.brreg.no/enhetsregisteret/api/enheter/971435100,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
hovedorganisasjonen-virke,HOVEDORGANISASJONEN VIRKE,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,Brreg-registrert aktor i institusjon-finansiering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). Hovedorganisasjonen Virke er en nærings- og arbeidsgiverorganisasjon for tjenesteytende sektor som skal arbeide for at virksomhetene får arbeidsbetingelser og utviklingsmuligheter som gjør dem konkurransedyktige og lønnsomme slik at de kan oppfylle sine samfunnsmessige oppgåver og sikre økonomisk vekst og velstandsutvikling innenfor en bærekraftig ramme å styrke medlemmenes faglige kompetanse gode og ordnede forhold mellom medlemmene og deres medarbeidere. Arbeidsgiver- og næringsorganisasjon for handels- og servicenæringen i Norge (medlemskapsorganisasjon). Enkelte deler av virksomheten er næringsvirksomhet og skatte- og avgiftspliktig (utleie av lokaler og salg av kontoradministrative tje,,2026,970134646,https://data.brreg.no/enhetsregisteret/api/enheter/970134646,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; flagges for etterkontroll: Bred arbeidsgiver-/handelsorganisasjon; kontroller mat-/dagligvarekobling per claim.
nho-reiseliv,NHO REISELIV,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,"Brreg-registrert aktor i institusjon-finansiering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). Ivareta medlemsbedriftenes felles interesser og arbeide for at de får rammebetingelser, arbeidsvilkår og forretningsavtaler som styrker deres konkurransedyktighet og lønnsomhet, og som gir gode og sikre arbeidsplasser. Landsforeningen skal fremme kontakt og samarbeid mellom medlemsbedriftene og mellom disse og alle som er ansatt i bedriftene og deres organisasjoner. Tilby tjenester og materiell til medlemsbedrifter i reiselivsbedriftenes landsforening.",,2026,977188210,https://data.brreg.no/enhetsregisteret/api/enheter/977188210,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; flagges for etterkontroll: Bred reiselivsorganisasjon; kontroller mat-/serveringskobling per claim.
norges-fiskarlag,NORGES FISKARLAG,organisasjon,institusjon-finansiering,interesseorg-paraply,NO,"Brreg-registrert aktor i institusjon-finansiering med 94.120 (Aktiviteter i yrkessammenslutninger). Norges Fiskarlag er en landsdekkende fag- og interesseorganisasjon for norske fiskere. I organisasjonen inngår 13 medlemslag. Organisasjonen skal ivareta medlemmenes faglige, økonomiske, sosiale og kulturelle interesser.",,2026,938500290,https://data.brreg.no/enhetsregisteret/api/enheter/938500290,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.120; juridisk enhet samsvarer med cellens institusjons-/paraplyrolle.
