id,prompt,k_kode,land,verdikjedeledd,pastand,type,status,niva,tall,enhet,data_aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,sikkerhet,kommentar,kildefil
R1-NO-001,R1,K2,Norge,offentlig helse og omsorg,Den som har ansvar for en tjeneste har også ansvar for nødvendige beredskapsforberedelser.,lov_eller_krav,,,,,2000,https://lovdata.no/LTI/lov/2000-06-23-56,Lovdata / Helse- og omsorgsdepartementet,2000-06-23,§ 2-1,"Den som har ansvaret for en tjeneste, har også ansvaret for nødvendige beredskapsforberedelser",primær,godt_dokumentert,Ansvarsprinsippet.,R1-maltider.md
R1-NO-002,R1,K2,Norge,kommunal helse og omsorg,"Kommuner, fylkeskommuner og staten skal ha beredskapsplan for helse- og sosialtjenester de har ansvar for; private avtalte tjenester omfattes.",lov_eller_krav,,,,,2000,https://lovdata.no/LTI/lov/2000-06-23-56,Lovdata / Helse- og omsorgsdepartementet,2000-06-23,§ 2-2 første ledd,"Kommuner, fylkeskommuner og staten plikter å utarbeide en beredskapsplan",primær,godt_dokumentert,Ikke et måltidsspesifikt krav.,R1-maltider.md
R1-NO-003,R1,K2,Norge,sykehjem sykehus hjemmetjeneste,Helsedirektoratets høringsutkast foreslår matberedskapsplan og matberedskapslager for minimum sju dager.,veileder,,,7,dager,2026,https://www.helsedirektoratet.no/retningslinjer/mat-maltider-og-ernaering-i-helse-og-omsorgstjenesten-horingsutkast/ledelsens-ansvar,Helsedirektoratet,"2026; ekstern høring, frist 2026-12-03",Ledelsens ansvar – matberedskap,Virksomheten skal ha en matberedskapsplan og tilgang til et matberedskapslager for minimum sju dager,primær,godt_dokumentert,"Høringsutkast, ikke endelig retningslinje per 2026-09-15.",R1-maltider.md
R1-NO-004,R1,K1,Norge,institusjonskjøkken,"Høringsutkastet angir krisemenyer, vann, alternative løsninger ved bortfall av strøm og øvelser som bestanddeler i matberedskap.",veileder,,,,,2026,https://www.helsedirektoratet.no/retningslinjer/mat-maltider-og-ernaering-i-helse-og-omsorgstjenesten-horingsutkast/ledelsens-ansvar,Helsedirektoratet,"2026; ekstern høring, frist 2026-12-03",Steg 1–3 i matberedskapsarbeidet,"Sørg for tilgang til vann til både matlaging, drikke og renhold.",primær,godt_dokumentert,Forslag til faglig normering.,R1-maltider.md
R1-NO-005,R1,K1,Norge,institusjonskjøkken,Krisemenyer bør kunne lages lokalt også av personell uten kjøkkenfaglig kompetanse.,veileder,,,,,2026,https://www.helsedirektoratet.no/retningslinjer/mat-maltider-og-ernaering-i-helse-og-omsorgstjenesten-horingsutkast/ledelsens-ansvar,Helsedirektoratet,"2026; ekstern høring, frist 2026-12-03",Steg 3 – Opprett krisemenyer,"slik at maten kan lages lokalt, også av personell uten kjøkkenfaglig kompetanse",primær,godt_dokumentert,Direkte relevant for K1.,R1-maltider.md
R1-NO-006,R1,K2,Norge,institusjoner,I stortingsmateriale fra mai 2025 ble fravær av nasjonal måltidsberedskapsveileder og forekomst av sentralkjøkken/ekstern produksjon problematisert.,fakta,,,,,2025,https://www.stortinget.no/no/Saker-og-publikasjoner/Sporsmal/Skriftlige-sporsmal-og-svar/Skriftlig-sporsmal/?qnid=104801,Stortinget,2025-05-21 / svar 2025-05-27,"Dokument nr. 15:2260 (2024–2025), begrunnelse",Da leveres måltidene fra et sentralkjøkken eller fra næringsmiddelindustrien.,primær,delvis,"Påstanden står i spørsmålsstillerens begrunnelse, ikke som nasjonal kartlegging.",R1-maltider.md
R1-NO-007,R1,K2,Norge,kommunal helse og omsorg,Helsedirektoratets 2026-mal for kommunal helseberedskapsplan inkluderer mat og drikke blant kritiske innsatsfaktorer.,veileder,,,,,2026,https://www.helsedirektoratet.no/helseberedskap/verktoy-for-helse-og-omsorgsberedskap-i-kommunen/mal-for-administrativ-del-av-helseberedskapsplan,Helsedirektoratet,2026,Avsnitt 18.3 – Egenberedskap av kritiske innsatsfaktorer,Mat og drikke | Angi kapasitet (måltider per døgn / lagerdager),primær,godt_dokumentert,"Malen er et arbeidsverktøy, ikke egen forskrift.",R1-maltider.md
R1-NO-008,R1,K2,Norge,offentlige måltider,"Nasjonal måltidsspesifikk hendelsesevaluering av strøm-, vann-, IT- eller leveransebortfall ble ikke funnet i avgrenset søk.",tolkning,,,,,2026,,Avgrenset kildesøk,2026-09-15,Søkelogg G,,primær,delvis,"Fraværsfunn, ikke bevis for at hendelser ikke har skjedd.",R1-maltider.md
R1-NO-009,R1,K2,Norge,sykehus,"Helsedirektoratet har nasjonal kartlegging av mat og måltider i sykehus, men en svensk-lignende nasjonal kjøkkentype/beredskapsindikator ble ikke verifisert.",fakta,,,,,2023,https://www.helsedirektoratet.no/rapporter/nasjonal-kartlegging-av-mat-og-maltider-i-sykehus,Helsedirektoratet,2024 nettside/rapport,Rapportens innledning og resultater,Kunnskap om mattilbudet og ernæringspraksis i sykehusene er et viktig grunnlag,primær,delvis,"Kartleggingen gjelder primært kvalitet/ernæringspraksis, ikke sammenlignbar beredskapsindikator.",R1-maltider.md
R1-SE-001,R1,K2,Sverige,kommunale måltider,Livsmedelsverkets 2021-kartlegging ble sendt til alle 290 kommuner; 238 svarte på minst ett spørsmål.,tall,,,238,kommuner,2021,https://www.livsmedelsverket.se/matvanor-halsa--miljo/maltider-i-vard-skola-och-omsorg/fakta-om-offentliga-maltider/fakta-kommunovergripande,Livsmedelsverket,senast granskad 2022-11-08,Måltidsfakta – kommunövergripande,238 av Sveriges 290 kommuner svarat på åtminstone någon av frågorna i kartläggningen.,primær,godt_dokumentert,Målpopulasjon 290.,R1-maltider.md
