node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
biologisk-dynamisk-forening,BIOLOGISK-DYNAMISK FORENING,organisasjon,regenerativ-praksis,biodynamisk,NO,"Norsk forening for biodynamisk landbruk og Demeter-feltet; eier/forvalter historisk norsk biodynamisk miljø.",,2026,971321946,https://biodynamisk.no/garder/,primary,machine_verified,hoy,2026-07-01,"Biodynamisk.no dokumenterer feltet; Demeter Norge/RVUD-overgangsfase må holdes som caveat."
demeter-norge,Demeter Norge / biodynamisk sertifisering,ordning,regenerativ-praksis,biodynamisk,NO,"Ordning-/sertifiseringsnode for biodynamisk produksjon i Norge med pågående overgangsusikkerhet.",,2026,,https://biodynamisk.no/demeter/,primary,needs_review,middels,2026-07-01,"Brukes som ordningsnode; ikke hev stabil sertifiseringsstruktur uten oppdatert BdF/Debio-bekreftelse."
alm-ostre,Alm Østre,gaard,regenerativ-praksis,biodynamisk,NO,"Biodynamisk/økologisk gårds- og hagemiljø på Stange; sentral i norsk biodynamisk felt.",,2026,,https://biodynamisk.no/garder/,primary,needs_review,middels,2026-07-01,"Oppført i biodynamisk gårdsoversikt; aktiv sertifiseringsstatus, areal og produksjon må verifiseres særskilt."
stiftelsen-fokhol-gard,STIFTELSEN FOKHOL GÅRD,gaard,regenerativ-praksis,biodynamisk,NO,"Brreg-registrert gårdsstiftelse og sentral biodynamisk gårdsnode på Stange.",,2026,969171724,https://data.brreg.no/enhetsregisteret/api/enheter/969171724,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter juridisk enhet; biodynamisk/Demeter-status og produksjonsprofil må kontrolleres mot BdF/Debio."
fokhol-baerekraftige-gard-ans,FOKHOL BÆREKRAFTIGE GÅRD ANS,gaard,regenerativ-praksis,biodynamisk,NO,"Brreg-registrert gårdsforetak knyttet til Fokhol-miljøet; biodynamisk kandidatnode.",,2026,828285572,https://data.brreg.no/enhetsregisteret/api/enheter/828285572,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg bekrefter juridisk enhet; biodynamisk/Demeter-status og produksjonsprofil må kontrolleres mot BdF/Debio."
skjonhaugbruket-biodynamisk-drift-ans,SKJØNHAUGBRUKET - BIODYNAMISK DRIFT ANS,gaard,regenerativ-praksis,biodynamisk,NO,"Brreg-registrert produsent med eksplisitt biodynamisk navn og NACE 01.130 grønnsaksdyrking.",,2026,826078022,https://data.brreg.no/enhetsregisteret/api/enheter/826078022,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg navne-/NACE-treff; Demeter/Debio-status må kontrolleres før hard claim-lock."
jonsi-gard,Jønsi Gård,gaard,regenerativ-praksis,biodynamisk,NO,"Gårdsnode i norsk biodynamisk miljø, omtalt i biodynamisk gårdsoversikt.",,2026,,https://biodynamisk.no/garder/,primary,needs_review,middels,2026-07-01,"Oppført i biodynamisk gårdsoversikt; aktiv sertifiseringsstatus, areal og produksjon må verifiseres særskilt."
nordgard-aukrust,Nordgard Aukrust,gaard,regenerativ-praksis,biodynamisk,NO,"Biodynamisk gårds-/foredlingsnode i norsk fjellandbruksmiljø.",,2026,,https://biodynamisk.no/garder/,primary,needs_review,middels,2026-07-01,"Oppført i biodynamisk gårdsoversikt; aktiv sertifiseringsstatus, areal og produksjon må verifiseres særskilt."
ommang-sondre,OMMANG SØNDRE,gaard,regenerativ-praksis,biodynamisk,NO,"Biodynamisk gårds- og andelslandbruksnode med historisk rolle i norsk CSA-/biodynamisk felt.",,2026,,https://biodynamisk.no/garder/,primary,needs_review,middels,2026-07-01,"Oppført i biodynamisk gårdsoversikt; aktiv sertifiseringsstatus og produksjonsprofil må verifiseres særskilt."
sverdstad-gard,Sverdstad gård,gaard,regenerativ-praksis,biodynamisk,NO,"Biodynamisk/økologisk gårdsnode i Vestfold-feltet.",,2026,,https://www.sverdstad.no/,primary,needs_review,middels,2026-07-01,"Egen side brukt som lokator; Demeter/Debio-status og aktiv biodynamisk drift må kontrolleres."
vidaraasen-landsby,Vidaråsen landsby,organisasjon,regenerativ-praksis,biodynamisk,NO,"Camphill-landsby og biodynamisk/antroposofisk gårdsmiljø; relevant som institusjonell biodynamisk node.",,2026,,https://vidarasen.camphill.no/,primary,needs_review,middels,2026-07-01,"Camphill-/landsbynode; konkret gårdsdrift og sertifiseringsstatus må verifiseres."
solborg-camphill,Solborg Camphill landsby,organisasjon,regenerativ-praksis,biodynamisk,NO,"Camphill-landsby med historisk biodynamisk/antroposofisk landbruksrelevans.",,2026,,https://solborg.camphill.no/,primary,needs_review,middels,2026-07-01,"Camphill-/landsbynode; konkret gårdsdrift og sertifiseringsstatus må verifiseres."
