node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
behme-okologisk-gard,BEHME ØKOLOGISK GÅRD,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.451 (Sauehold). Småfehold (villsau), produksjon av kjøtt, ull, garn og skinn.",,2026,912856356,https://data.brreg.no/enhetsregisteret/api/enheter/912856356,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.451; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
otten-okologisk-birokt,OTTEN ØKOLOGISK BIRØKT,gaard,okologi-sertifisering,okologisk-produsent,NO,Brreg-registrert aktor i okologi-sertifisering med 01.489 (Husdyrhold ikke nevnt annet sted). Økologisk honning produksjon.,,2026,924663715,https://data.brreg.no/enhetsregisteret/api/enheter/924663715,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.489; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
okologisk-drift-as,ØKOLOGISK DRIFT AS,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.190 (Dyrking av ettårige vekster ellers). Landbruk. Produksjon og salg av økologiske varer, utleie av eiendom og annen virksomhet som her står i forbindelse samt deltagelse i annen virksomhet.",,2026,986145826,https://data.brreg.no/enhetsregisteret/api/enheter/986145826,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.190; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
okologisk-frilandsgris-as,ØKOLOGISK FRILANDSGRIS AS,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.460 (Svinehold). oppdrett, videreforedling og salg av økologisk frilandsgris.",,2026,921190298,https://data.brreg.no/enhetsregisteret/api/enheter/921190298,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.460; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
okologisk-honning-khubaev,ØKOLOGISK HONNING KHUBAEV,gaard,okologi-sertifisering,okologisk-produsent,NO,Brreg-registrert aktor i okologi-sertifisering med 01.489 (Husdyrhold ikke nevnt annet sted). Produksjon og salg av honning- og honningrelaterte produkter. Landbruk.,,2026,823004222,https://data.brreg.no/enhetsregisteret/api/enheter/823004222,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.489; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
setsa-okologisk-villsau-da,SETSÅ ØKOLOGISK VILLSAU DA,gaard,okologi-sertifisering,okologisk-produsent,NO,Brreg-registrert aktor i okologi-sertifisering med 01.451 (Sauehold). Oppdrett og salg av økologisk villsau.,,2026,992431628,https://data.brreg.no/enhetsregisteret/api/enheter/992431628,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.451; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
solhatt-okologisk-hagebruk-as,SOLHATT ØKOLOGISK HAGEBRUK AS,gaard,okologi-sertifisering,okologisk-produsent,NO,Brreg-registrert aktor i okologi-sertifisering med 01.630 (Etterbehandling av vekster etter innhøsting og behandling av såfrø). Produksjon og salg av hagebruksfrø.,,2026,913997832,https://data.brreg.no/enhetsregisteret/api/enheter/913997832,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.630; okologisk hagebruks-/froaktor; kontrollstatus maa dokumenteres per claim.
okologisk-dyrking-kurt-oppdol,ØKOLOGISK DYRKING Kurt Oppdøl,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av økologiske grønnsaker og urter. kjøring av frukt/grønt kasser til private abonnenter for et firma i vinterhalvåret. Sporadiske konsulent (vikar) oppdrag for en miljøorganisasjon.",,2026,990769362,https://data.brreg.no/enhetsregisteret/api/enheter/990769362,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.130; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
fiskum-okologiske,FISKUM ØKOLOGISKE,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.240 (Dyrking av kjernefrukter og steinfrukter). Etablere, utvikle og drifte et økologisk næringskombinasjonsbruk. Dyrking av frukt og bær, sanking og videreforedling av ville urter. Utvikling av innlandsfiske etter Sik. Kjøp, produksjon, salg og transport av ved. Utleie av utstyr når dette ikke benyttes i kombinasjonsbruket.",,2026,931381962,https://data.brreg.no/enhetsregisteret/api/enheter/931381962,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.240; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
lien-okologiske-urtegard,LIEN ØKOLOGISKE URTEGÅRD,gaard,okologi-sertifisering,okologisk-produsent,NO,"Brreg-registrert aktor i okologi-sertifisering med 01.500 (Kombinert husdyrhold og planteproduksjon). Næringskombinasjonsbruk som er bygd opp etter økologisk prinsipper med økologisk dyrking og videreforedling av urter og grønnsaker på friland og i gartneri. Sanking og videreforedling av ville urter. Økologiske besøkshage, kursvirksomhet, birøkt, husdyrhold, fjordfiske. Gården er Debio-godkjent.",,2026,981375831,https://data.brreg.no/enhetsregisteret/api/enheter/981375831,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 01.500; navn/NACE indikerer okologisk produsent; Debio-sertifikat maa kontrolleres foer hard claim-lock.
