priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P1,downloaded,NO,market-power,analysis,NIELS Institute,Norwegian Competition Authority: Three supermarkets fined 4.9bn NOK — legal analysis by Prof. Graham Butler,2024,https://niels.institute/2024/09/26/norwegian-competition-authority-three-supermarkets-norgesgruppen-coop-and-rema-engaged-in-anticompetitive-conduct-by-effect-and-are-fined-4-9bn-nok/,landing_html,not_downloaded,research/evidence-pack/tilsyn/niels-institute-prisjeger-analyse-2024.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P2,downloaded,NO,market-power,press_release,Konkurransetilsynet,"Coop, NorgesGruppen and REMA fined 4.9 billion NOK (English)",2024,https://konkurransetilsynet.no/coop-norgesgruppen-and-rema-fined-4-9-billion-nok/?lang=en,landing_html,not_downloaded,research/evidence-pack/tilsyn/nca-prisjeger-pressemelding-eng-2024.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P2,downloaded,NO,market-power,report,Konkurransetilsynet,Dagligvarerapport 2024 — markedsandeler Rema aukar mest,2025,https://konkurransetilsynet.no/rema-aukar-mest-i-marknadsdelar-norgesgruppen-opplever-nedgang/,landing_html,not_downloaded,research/evidence-pack/tilsyn/nca-dagligvarerapport-2024-pressemelding.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P1,downloaded,NO,market-power,report,Konkurransetilsynet,"NCA Reports index page (links to English margin reports Part 1, Part 2)",2025,https://konkurransetilsynet.no/research/nca-reports/?lang=en,landing_html,not_downloaded,research/evidence-pack/tilsyn/nca-reports-index.pdf,snapshot_as_reference_page,exa-search-findings-2026-04-21.md
P2,downloaded,NO,market-power,report,Konkurransetilsynet,NCA 2024 annual report to OECD,2025,https://konkurransetilsynet.no/wp-content/uploads/2025/09/NO-report-for-2024.pdf,direct_pdf,not_downloaded,research/evidence-pack/tilsyn/nca-oecd-annual-report-2024.pdf,download_pdf,exa-search-findings-2026-04-21.md
P3,downloaded,NO,market-power,index,Konkurransetilsynet,"Dagligvaremarkedet rapporter og uttalelser (full list NCA grocery reports, kronikker, vedtak)",2025,https://konkurransetilsynet.no/tema/dagligvaremarkedet/rapporter-og-uttalelser/,landing_html,not_downloaded,research/evidence-pack/tilsyn/nca-dagligvare-rapporter-index.pdf,snapshot_as_reference_page,exa-search-findings-2026-04-21.md
P2,downloaded,NO,market-power,press_release,Konkurransetilsynet,Daglegvare: Stadig mindre skilnad i innkjøpsprisar,2024,https://konkurransetilsynet.no/daglegvare-stadig-mindre-skilnad-i-innkjopsprisar/,landing_html,not_downloaded,research/evidence-pack/tilsyn/nca-innkjopspris-skilnad-2024.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P2,downloaded,NO,market-power,report,Menon / Virke,Virke dagligvare — value chain concentration analysis (vedlegg til regjeringen),2018,https://www.regjeringen.no/contentassets/4c26f095eaaa4f9c9d001762f78bcc72/virke-dagligvare---vedlegg.pdf,direct_pdf,not_downloaded,research/evidence-pack/konsulentrapport/menon-virke-dagligvare-2018.pdf,download_pdf,exa-search-findings-2026-04-21.md
P1,downloaded,NO,market-power,report,Menon,Kartlegging av tilgang til dagligvaregrossisttjenester,2024,https://www.regjeringen.no/contentassets/8487e2f5db78484cb3af5250416badd3/menon-rapport-kartlegging-av-tilgang-til-dagligvaregrossisttjenester.pdf,direct_pdf,not_downloaded,research/evidence-pack/konsulentrapport/menon-grossisttjenester-2024.pdf,download_pdf,exa-search-findings-2026-04-21.md
P2,downloaded,NO,market-power,press_release,Regjeringen,Rapport om tilgang til grossisttjenester i dagligvarebransjen (Myrseth-kommentar),2024,http://regjeringen.no/no/aktuelt/rapport-om-tilgang-til-grossisttjenester-i-dagligvarebransjen/id3081174/,landing_html,not_downloaded,research/evidence-pack/offentlig/regjeringen-grossisttjenester-pressemelding.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P2,downloaded,NORDIC,market-power,academic,NHH / FOOD / Nordic Open Access,Academic analysis of Nordic grocery concentration,2024,https://press.nordicopenaccess.no/cdf/catalog/view/93/433/3405,landing_html,not_downloaded,research/evidence-pack/akademia/nhh-food-nordic-grocery-concentration.pdf,download_open_access,exa-search-findings-2026-04-21.md
P3,downloaded,NO,market-power,media,Nationen,Konkurransetilsynet: Svak konkurranse i deler av det norske dagligvaremarkedet,2025,https://www.nationen.no/konkurransetilsynet-svak-konkurranse-i-deler-av-det-norske-dagligvaremarkedet/s/5-148-543496,landing_html,not_downloaded,research/evidence-pack/media/nationen-svak-konkurranse-2025.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P3,downloaded,NO,market-power,media,Okologisk24,"Staten om konkurranseforhold i matvarekjeden, EMV 20%",2025,https://www.okologisk24.no/nyheter/konkurranseforholdene-i-matvarekjeden-sett-fra-statens-stasted/1326876,landing_html,not_downloaded,research/evidence-pack/media/okologisk24-konkurranseforhold-2025.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P1,url_only,NO,eiendom,report,NorgesGruppen,"NorgesGruppen credit research — 800,000+ sqm, 200+ properties, 49% Scala Retail Property",2015,https://www.norgesgruppen.no/SysSiteAssets/finansiell-informasjon/rating/norgesgruppen-asa---nov-25-15---credit-research.pdf/,direct_pdf,not_downloaded,research/evidence-pack/selskap/norgesgruppen-credit-research-2015.pdf,download_pdf,exa-search-findings-2026-04-21.md
P2,url_only,NO,eiendom,annual_report,NorgesGruppen,"NorgesGruppen 2015 annual review (English summary, 185 properties)",2015,https://www.norgesgruppen.no/globalassets/finansiell-informasjon/rapportering/ng_eng_summary_annual_review_2015.pdf,direct_pdf,not_downloaded,research/evidence-pack/arsrapporter/norgesgruppen-annual-review-2015-eng.pdf,download_pdf,exa-search-findings-2026-04-21.md
P1,downloaded,NO,eiendom,annual_report,NorgesGruppen,NorgesGruppen Annual and Sustainability Report 2023,2023,https://www.norgesgruppen.no/globalassets/finansiell-informasjon/rapporter/2023/ng-annual-and-sustainability-report-2023.pdf,direct_pdf,not_downloaded,research/evidence-pack/arsrapporter/norgesgruppen-annual-sustainability-2023.pdf,download_pdf,exa-search-findings-2026-04-21.md
P2,downloaded,NO,eiendom,media,Inderes / Cibus Nordic,"Cibus acquires 12 Norwegian grocery stores, NOK 471.2M",2024,https://www.inderes.se/en/releases/cibus-nordic-real-estate-ab-publ-agrees-to-acquire-12-daily-goods-properties-in-norway-at-an-underlying-property-value-of-approx-eur-403-million-and-opens-office-in-denmark,landing_html,not_downloaded,research/evidence-pack/selskap/cibus-norway-acquisition-2024.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P2,url_only,NO,eiendom,media,NREP / Logicenters,"Record acquisition Norway — 84,800 sqm Coop distribution center near Oslo Airport",2024,https://logicenters.com/nrep-logicenters-makes-record-acquisition-in-norway/,landing_html,not_downloaded,research/evidence-pack/selskap/nrep-logicenters-coop-oslo-2024.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P2,url_only,NO,eiendom,media,IPE Real Assets,ICA exits Norwegian real estate — 58 properties sold for SEK 2.2bn to Union Eiendomskapital,2016,https://realassets.ipe.com/propertyeu/ica-sells-224m-norwegian-property-business-to-local-firm/10100438.article,landing_html,not_downloaded,research/evidence-pack/selskap/ica-norway-property-exit-2016.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
P1,downloaded,SE,sirkular-konkurser,media,Vegconomist,"Mycorena files bankruptcy, seeks new ownership — mycoprotein ingredients",2024,https://vegconomist.com/company-news/mycorena-files-bankruptcy-seeks-new-ownership-mycoprotein-ingredients/,landing_html,duplicate_local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/media-vegconomist-2024.md,deduplicate_against_existing,exa-search-findings-2026-04-21.md
P2,downloaded,SE,sirkular-konkurser,media,Green Queen,"Mycorena CEO interview — catch-22 fundraising, 61% food tech investment decline",2024,https://www.greenqueen.com.hk/mycorena-ceo-mycoprotein-fat-bankruptcy-investors-consortium/,landing_html,not_downloaded,research/evidence-pack/sirkular-konkurser/mycorena/media-greenqueen-ceo-interview-2024.pdf,snapshot_html_article,exa-search-findings-2026-04-21.md
