track,tier,source_path,title,why_now
policy-market,immediate-core,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf","Konkurransetilsynets Dagligvarerapport 2024-25","Freshest quantitative baseline on concentration, margins, import barriers, and vertical integration."
policy-market,immediate-core,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2024.pdf","Årsrapport for Dagligvaretilsynet 2024","Shows how the current governance model performs in practice and where enforcement is weak."
policy-market,immediate-core,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2026.pdf","Dagligvaretilsynet - tildelingsbrev for 2026","Most current formal signal on regulatory priorities and near-term policy direction."
policy-market,immediate-core,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/utredning-av-funksjonelt-og-regnskapsmessig-skille-i-verdikjeden-for-mat-og-dagligvarer.pdf","Utredning av funksjonelt og regnskapsmessig skille i verdikjeden for mat og dagligvarer","Directly relevant to transparency, vertical integration, and oversight design."
policy-market,immediate-core,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf","Konkurransetilsynets marginstudie 2024 — Del 2: Kartlegging av marginer ved bruk av informasjon på produktnivå","Product-level evidence on value capture across the chain."
policy-market,immediate-core,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+lokalmat-+og+drikke+produsenter+i+dagligvarebransjen+2025.pdf","Samarbeidsklimaet i dagligvarebransjen for mindre lokalmat- og drikkeprodusenter 2025","Best immediate source on how smaller producers experience chain access and contract power."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf","Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert","Documents buyer-power asymmetry that shapes scaling conditions for local and circular producers."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Utredning-om-prisjusteringsvinduer-2023.pdf","Utredning om prisjusteringsvinduer 2023","Captures a concrete market rule that distorted competition and can feed recommendation work."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf","Egne merkevarer (EMV) og innovasjon i dagligvare","Useful on EMV as both innovation driver and power instrument."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf","Forbyr praksis som motvirker konkurranse i dagligvaremarkedet","Connects retail structure and property/location barriers to resilience and access."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf","Nye tiltak for bedre konkurranse i dagligvarebransjen","Useful as the live government reform package and policy timeline."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf","Rapport om samarbeidsklimaet i dagligvarebransjen 2024","Tracks the lived contract environment between chains and suppliers."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/NORDIC_FOOD_MARKETS.pdf","Nordic Food Markets — A Taste for Competition","Long-run Nordic baseline on concentration, buyer power, and market access."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/Paivittaistavarakauppa-ry-2024-EN.pdf","Finnish Grocery Trade 2024","Current Finland comparator for extreme concentration and market structure."
policy-market,core-support,"Food Research Process 20.04.26/03_Policy_Governance_And_Market/SAMKEPPNISEFTIRLITID_arsskyrlsla_2024_LOK_02.10.pdf","Samkeppniseftirlitið Annual Report 2024","Icelandic comparator for enforcement in a small import-dependent market."
operator-evidence,immediate-core,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/ng_ars--og-barekraftsrapport-2024.pdf","NorgesGruppens års- og bærekraftsrapport 2024","Core Norwegian operator anchor on vertical integration, supplier governance, and investment logic."
operator-evidence,immediate-core,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/barekraft-i-asko-2024.pdf","Bærekraft i ASKO 2024","Best physical distribution-layer view of wholesale, HORECA, fleet transition, and warehousing."
operator-evidence,immediate-core,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Reitan Retail 2025_Oppslag.pdf","Reitan Retail Annual and Sustainability Report 2024","Strong cross-Nordic view of discount, convenience, distribution, and supplier commitments."
operator-evidence,immediate-core,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Annual report 2024.pdf","Salling Group Annual Report 2024","Best Denmark operator anchor across food waste, supplier expectations, and store/distribution formats."
operator-evidence,immediate-core,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/2024 Environmental Footprint Report ENG.pdf","Environmental Footprint of the Food Saved by Too Good To Go","Reusable measurement logic for avoided impacts from saved food."
operator-evidence,core-support,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/kesko-annual-report-2024.pdf","Kesko Annual Report 2024","Best Finland retail anchor on grocery scale, logistics buildout, and value-chain net-zero framing."
operator-evidence,core-support,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Matsmart-Ars-och-hallbarhetsredovisning-2024.pdf","Matsmart Års- och hållbarhetsredovisning 2024","High-value circular business-model case for commercial surplus resale at scale."
operator-evidence,core-support,"Food Research Process 20.04.26/06_Company_And_Annual_Reports/Cheffelo_Arsredovisning_Hallbarhetsrapport_2025_SE.pdf","Cheffelo Årsredovisning & Hållbarhetsrapport 2025","Useful demand-side operating case linking menus, sourcing, packaging, logistics, and waste per portion."
resilience-security,immediate-core,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/matsikkerhet-og-beredskap-pa-landbruksomradet.pdf","Matsikkerhet og beredskap på landbruksområdet","Best Norwegian system audit on import exposure, preparedness gaps, and domestic production capacity."
resilience-security,immediate-core,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/livsmedelsberedskap-for-en-ny-tid-sou-20248.pdf","Livsmedelsberedskap för en ny tid","Best Nordic comparator for food preparedness design, industry obligations, and resilience governance."
resilience-security,immediate-core,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Mittenzwei-mfl-2026-Scenarioanalyse-av-norsk-jordbruk-i-2050.pdf","Scenarioanalyse av norsk jordbruk i 2050 med vekt på forholdet mellom kosthold, utslipp, import og matproduksjon","Forward-looking model of the trade-offs WP3 needs to frame."
resilience-security,immediate-core,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Ikkje lett å bli klok på sjølvforsyning - Nibio.pdf","Ikkje lett å bli klok på sjølvforsyning","Essential methodological correction on self-sufficiency and hidden dependencies."
resilience-security,immediate-core,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/importvern_til_godkjenning---sensurert-adobe.pdf","Importvernets påvirkning på konsentrasjonen i leverandørleddet","Shows how import protection and supplier concentration affect scaling conditions."
resilience-security,immediate-core,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/kvotesystemet_i_kyst_og_havfisket.pdf","Riksrevisjonens undersøkelse av kvotesystemet i kyst- og havfisket","Key marine-governance source on resource control and local production capacity."
resilience-security,core-support,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/reduksjon-av-klimagassutslepp-fra-jordbruket.pdf","Riksrevisjonens undersøking om reduksjon av klimagassutslepp frå jordbruket","Anchors the climate-resilience trade-off in agriculture."
resilience-security,core-support,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Milepæl for norsk beredskap - regjeringen.no.pdf","Milepæl for norsk beredskap","Concrete current proof-point on grain reserves and preparedness policy."
resilience-security,core-support,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/myndighetenes-arbeid-med-fiskehelse-og-fiskevelferd-i-havbruksnaringen.pdf","Myndighetenes arbeid med fiskehelse og fiskevelferd i havbruksnæringen","Links biological fragility and regulatory gaps to seafood-system reliability."
resilience-security,core-support,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Norsk sjømatnæring – fra subsidiesluk til pengemaskin _ Nofima.pdf","Norsk sjømatnæring – fra subsidiesluk til pengemaskin","Useful macro frame for the seafood side of the land-marine resilience picture."
resilience-security,core-support,"Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Matkjedene skviser bonden _ Framtiden i våre hender.pdf","Matkjedene skviser bonden","Direct current source on retailer power constraining domestic green production."
