row_type,model,field,source_value,record_count,class_name,needs_action,reason
source_value,Subsidy,source,Landbruksdirektoratet,179310,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,DeliveryVolume,source,Landbruksdirektoratet,60310,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,CountryMetric,source,NORMO 2025,57,free_text,yes,Free-text source label needs manual taxonomy review
source_value,AquacultureSite,source,Fiskeridirektoratet pub-aqua,50,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,BusinessRelationship,source,Bransjedata,16,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Nielsen/Dagligvarehandelen,15,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,NielsenIQ/bransjeanalyse est.,15,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Verdikjede-kartlegging,15,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Beregnet fra markedsandeler,13,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Eurostat ORG_CROPAR,12,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Luke peat soils roadmap 2024,11,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Årsrapport 2020,10,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Årsrapport 2021,10,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Årsrapport 2022,10,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Årsrapport 2023,10,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,IFRO Documentation 2025/01,10,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Totalkalkylen/SSB,10,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Årsrapport 2024,9,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Suomen Biokierto ja Biokaasu ry 2024,9,free_text,yes,Free-text source label needs manual taxonomy review
source_value,AquacultureApplication,source,Fiskeridirektoratet aqua-portal,8,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,CountryMetric,source,Naturvardsverket Livsmedelsavfall 2024,8,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Riksrevisionen RiR 2025:24,8,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Valio Sustainability Report 2024,7,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Forskningsbibliotek,7,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CompanyFinancial,source,Estimat basert på bransjedata,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Biogas Outlook 2024,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Danmarks Statistik/Landbrug & Fødevarer,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Hagstofa Íslands / Bændasamtök Íslands,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Jordbruksverket,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Jordbruksverket Livsmedelskonsumtion 2024,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurrence- og Forbrugerstyrelsen 2023,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurrence- og Forbrugerstyrelsen 2025,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Luke/Ruokavirasto,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,SSB/Landbruksdirektoratet,6,registry_label_without_locator,yes,"Registry/API label lacks URL, access date, or local snapshot path"
source_value,Insight,source,Forskningsrunde 2026-04-20 / Benchmark-rapport,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Perplexity-research sjomatfor,6,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,ForMat 2016,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Hagstofa Íslands 2023,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurrensverket 2023,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Konkurrensverket 2025,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Matvett/SSB 2018,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Matvett/SSB 2021,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Matvett/SSB 2023,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Matvett/SSB 2025 est.,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Samkeppniseftirlitið 2023,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Samkeppniseftirlitið 2025,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,CountryMetric,source,Totalkalkylen/SSB est.,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Bedriftskartlegging,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Food TG runde 4 syntese,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,HORECA-kartlegging 2026,5,free_text,yes,Free-text source label needs manual taxonomy review
source_value,Insight,source,Perplexity-research markedsstruktur,5,free_text,yes,Free-text source label needs manual taxonomy review
