id,theme,priority,question,geo,source_target,expected_output,primary_source_hint,known_caveat,gate,next_artifact,status
R13-GAP-001,gap-closure,P0,"Fullfør R12-RES-003: kartlegg kritiske importnoder for norsk matsystem (fosfat, fôrprotein, fiskeolje, soya, kaffe, kakao) med primær tidsserie per node",NO,"official trade statistics","critical import node table with A/B/C per node","SSB 08801/PxWeb, Landbruksdirektoratet, Comtrade kun som speil","speilkilde (Comtrade) skal ikke bli primær; skill volum og verdi","PCQ","research/external/r13/","planned"
R13-GAP-002,gap-closure,P1,"Fullfør R12-RES-004: finn hvilke lokale/korte verdikjeder som faktisk øker forsyningssikkerhet via mekanisme, ikke identitet",NO,"research and case evidence","mechanism evidence memo","NIBIO, Ruralis, Økologisk Norge","ikke bruk lokal = resilient uten dokumentert mekanisme","source-shortlist","research/external/r13/","planned"
R13-GAP-003,gap-closure,P2,"Fullfør R12-RES-005: kartlegg transport-, havn-, lager- og kaldkjede-sårbarheter, kun matrelevante noder",Nordic,"infrastructure and preparedness docs","risk inventory","DSB, NFD, transportmyndigheter","kan bli for bred; ta kun matrelevante noder","source-shortlist","research/external/r13/","planned"
R13-GAP-004,gap-closure,P1,"Fullfør R12-FEED-003: aktørledger for alternative nordiske fôrproteiner med realisert volum, kapasitet, plan og tomme celler",Nordic,"company and project primary docs","actor ledger","company releases, funding databases, project pages","kapasitet er ikke realisert produksjon","source-shortlist","research/external/r13/","planned"
R13-GAP-005,gap-closure,P0,"Verifiser eller nedgrader de 7 parkerte R12-tallclaimene (ASKO/HORECA 70%, REKO-tall, andelslandbruk aktiv-telling, SOIL-score, fiskeolje art/sluttbruk, Plantagon/Rest-case) én per rad",NO,"independent and primary sources","verification ledger per parked claim","KT, REKO årsmelding, Økologisk Norge, IPBES, primærregistre","ikke løft noe til claim uten uavhengig primærkilde","PCQ","research/external/r13/","planned"
R13-GAP-006,gap-closure,P1,"Eskaler R12 type-C-hull: avgjør per hull om det er Type A (desk), Type B (actor-gate) eller ekte Type C, og bygg actor-gate-kø",NO,"R12 intake index","gap escalation table","research/_status/food-tg-r12 intake-indeks","type C er funn, ikke feil; ikke gjør C til A uten ny locator","forstaelse","research/forstaelse/","planned"
R13-AKTOR-001,actor-map,P1,"Utvid markedshager/små-skala grønt fra kandidat til verifisert: primærlocator per produsent",NO,"registries and org lists","verified actor CSV","Markedshager Norge, Småskala Grønt Norge, NLR","stub default unverified inntil primærlocator","actor-gate","research/_status/","planned"
R13-AKTOR-002,actor-map,P1,"Kartlegg andelslandbruk (CSA) aktiv status per gård 2025/2026 mot Økoguiden og Økologisk Norge",NO,"CSA maps and org pages","actor status list","andelslandbruk.no, Økoguiden API, Økologisk Norge","Økoguiden-kartreff er ikke verifisert aktiv status","actor-gate","research/_status/","planned"
R13-AKTOR-003,actor-map,P1,"Kartlegg REKO-ringer Norge 2025/2026: oppdaterte tall for ringer, produsenter og kunder via primær årsmelding",NO,"REKO primary docs","actor/status memo","REKO Norge årsmelding/årsmøte, ringadministrasjon","2022-tall er siste sikre hvis nyere ikke finnes","source-shortlist","research/external/r13/","planned"
R13-AKTOR-004,actor-map,P1,"Kartlegg regenerative og agroøkologiske praktikere og gårder i Norge med kilde og status per aktør",NO,"org and project pages","practitioner map","Regenerativt Norge, NLR-prosjekter, Ruralis","bevegelse-selvrapportering merkes B; ikke totalpåstand","actor-gate","research/_status/","planned"
R13-AKTOR-005,actor-map,P2,"Kartlegg frøbevarings- og genressurs-nettverk videre: KVANN, NordGen, Solhatt, Frøsamlerne, med dedup og primærlocator",Nordic,"org and project pages","network map memo","KVANN, NordGen, NIBIO genressurssenter, Solhatt","ikke voks til globalt atlas; krev norsk kobling","actor-gate","research/external/r13/","planned"
R13-AKTOR-006,actor-map,P1,"Kartlegg eierskap og founders i sirkulær-, altprotein- og CEA-aktører via Brreg aksjonær- og rolledata",NO,"company registry","ownership ledger","Brønnøysund aksjonærregister, regnskap, Proff","eierskap er struktur, ikke intensjon; bruk registerdato","PCQ","research/external/r13/","planned"
R13-AKTOR-007,actor-map,P2,"Kartfest skogshage-, flerårige-vekster- og permakultur-sites i Norge med primærkilde per site",NO,"org and project pages","site inventory","KVANN, Permakultur Norge, prosjektsider","selvrapportert site uten besøk merkes B","actor-gate","research/_status/","planned"
R13-AKTOR-008,actor-map,P2,"Kartlegg lokalmat-distribusjonsaktører og REKO-alternativer: Lokalmat.no, Bondens marked, food hubs og kortreist-plattformer",NO,"actor and org pages","distribution actor map","Lokalmat.no, Bondens Marked Norge, Matmerk","kanalvolum er ofte B/C; ikke påstå markedsandel","source-shortlist","research/external/r13/","planned"
R13-WASTE-001,food-waste,P0,"Lukk R12-WASTE-001: trekk ut SINTEF/FHF 2024 R-stige-tabeller for marint restråstoff (humant konsum, fôr, energi, eksport, datagap)",NO,"SINTEF/FHF","R-ladder table","SINTEF/FHF restråstoffanalyse 2024","utnyttet er ikke høyverdi; behold tomme celler","PCQ","research/external/r13/","planned"
R13-WASTE-002,food-waste,P1,"Kartlegg oppdrettsslam massebalanse: modellert utslipp vs faktisk innsamlet vs behandlet per anlegg/region",NO,"permits and research","mass balance memo","FHF, statsforvalter-tillatelser, Miljødirektoratet","modellert utslipp er ikke innsamlet volum","PCQ","research/external/r13/","planned"
R13-WASTE-003,food-waste,P1,"Kartlegg matsvinn-redistribusjon i Norge: Matsentralen, Too Good To Go, matsentraler — volum omfordelt og kilde",NO,"actor and NGO reports","redistribution ledger","Matsentralen årsrapport, Too Good To Go, Matvett","aktørrapportert volum merkes B; ikke nasjonal sum uten metode","source-shortlist","research/external/r13/","planned"
R13-WASTE-004,food-waste,P1,"Kartlegg husholdnings- og detaljmatsvinn med baseline, bransjeavtale og målemetode",NO,"waste statistics","waste baseline memo","Matvett/KuttMatsvinn, bransjeavtalen om matsvinn, SSB","ulike år/metoder gjør tall usammenlignbare","PCQ","research/external/r13/","planned"
R13-WASTE-005,food-waste,P1,"Kartlegg digestat/biorest NPK-retur i Norge: faktisk målt eller ikke målt, bygg på SE SPCR 120",Nordic,"biogas certification","NPK return matrix","Avfall Sverige SPCR 120, norske biogassaktører, NIBIO","kun SE kan være A; NO kan være C","PCQ","research/external/r13/","planned"
R13-WASTE-006,food-waste,P2,"Lukk R12-WASTE-004: kaffegrut og urbane sidestrømmer — massestrøm, faktisk bruk og realistisk R-nivå",NO,"waste and consumption stats","waste stream memo","SSB 08801, kommunale avfallskilder, aktørdok","avledet estimat må merkes som avledet","source-shortlist","research/external/r13/","planned"
