node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
the-seafood-innovation-cluster,THE SEAFOOD INNOVATION CLUSTER AS,nettverk,fou-institusjon,nettverk-kompetanse,NO,"Brreg-registrert aktor i fou-institusjon med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner). NCE Seafood Innovation er et norsk næringsklyngeinitiativ som jobber for å styrke og fremme innovasjon, bærekraft og vekst innen sjømatnæringen. De bringer sammen aktører fra akademia, forskningsmiljøer og industribedrifter for å utvikle nye løsninger som kan møte dagens og fremtidens utfordringer i sjømatbransjen. Gjennom",,2026,913268865,https://data.brreg.no/enhetsregisteret/api/enheter/913268865,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.110; juridisk enhet/naeringsklynge samsvarer med FoU-/innovasjonsnettverk for sjoemat.
the-life-science-cluster,THE LIFE SCIENCE CLUSTER,nettverk,fou-institusjon,nettverk-kompetanse,NO,Brreg-registrert aktor i fou-institusjon med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Øke omfanget av ny livsvitenskaps teknologi og nye bioteknologiske produkter og tjenester som skapes på basis av kunnskapen og ressursene til aktørene,,2026,916989970,https://data.brreg.no/enhetsregisteret/api/enheter/916989970,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; bred livsvitenskapsklynge; mat-/biooekonomikobling maa avgrenses per claim.
biotech-north,BIOTECH NORTH,nettverk,fou-institusjon,nettverk-kompetanse,NO,"Brreg-registrert aktor i fou-institusjon med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Foreningen har som formål å utvikle en næringsklynge for bioteknologisk og biomarin industri. Virksomheten skal utøves med utgangspunkt i Tromsø, men foreningen er åpen for medlemmer fra hele Norge og utlandet. Næringsklyngens mål er, gjennom nettverksutvikling mellom bedrifter, tjenesteleverandører, offentlig virkemiddelaktører og FOU-miljøer, å skape industriell utvikling og internasjonale markedsposisjoner for sine medlemmer. Foreningen har et ideelt formål, uten profitt.",,2026,913732553,https://data.brreg.no/enhetsregisteret/api/enheter/913732553,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; bioteknologisk/biomarin klynge med relevant FoU-/kompetansenettverkrolle.
klosser-innovasjon,KLOSSER INNOVASJON AS,nettverk,fou-institusjon,nettverk-kompetanse,NO,Brreg-registrert aktor i fou-institusjon med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning). Kunnskapsparken Hedmark AS skal være en ledende aktør i arbeidet med nyskaping og verdiskaping i Hedmark. Kunnskapsparken Hedmark AS skal profilere og styrke Hedmarks næringsutviklings- og nyskapingsarbeid.,,2026,982009219,https://data.brreg.no/enhetsregisteret/api/enheter/982009219,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 70.200; bred innovasjonsaktor; mat-/AgriFoodTech-kobling maa dokumenteres per claim.
aggrator-inkubator-as,AGGRATOR INKUBATOR ÅS AS,nettverk,fou-institusjon,nettverk-kompetanse,NO,"Brreg-registrert aktor i fou-institusjon med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning). Assistere selskaper i oppstartsfasen (inkubasjonsfasen) ved hjelp av skreddersydde forretningsutviklingstjenester, samt eie aksjer i slike selskaper.",,2026,914456797,https://data.brreg.no/enhetsregisteret/api/enheter/914456797,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 70.200; inkubator med relevant agri-/foodtech-rolle; konkret kobling maa dokumenteres per claim.
nordic-edge-as,NORDIC EDGE AS,nettverk,fou-institusjon,nettverk-kompetanse,NO,Brreg-registrert aktor i fou-institusjon med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning). Nordic Edge er et non profit innovasjonsselskap. Kjernen i våre aktiviteter er at vi driver to innovasjonsklynger. I tillegg driver vi «Innoasis» som er et kontorfellesskap og en testarena. Fellesnevneren aktivitetene i fellesskapet er innovasjonsstøtte. Vi arrangerer Nordic Edge Expo som er en internasjonal impactkonferanse og utstilling.,,2026,917346151,https://data.brreg.no/enhetsregisteret/api/enheter/917346151,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 70.200; bred innovasjons-/klyngeaktor; mat-/AgriFoodTech-kobling maa dokumenteres per claim.
nce-aquaculture-as,NCE AQUACULTURE AS,nettverk,fou-institusjon,nettverk-kompetanse,NO,Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Forskning og utvikling innen akvakultur.,,2026,927324881,https://data.brreg.no/enhetsregisteret/api/enheter/927324881,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; juridisk enhet samsvarer med akvakultur-FoU-/kompetansenettverk.
agritech-cluster,AGRITECH CLUSTER,nettverk,fou-institusjon,nettverk-kompetanse,NO,"Brreg-registrert aktor i fou-institusjon med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Agritech Cluster er en teknologiorientert jordbruksklynge. Bidra til mer bærekraftig volumproduksjon, ressursoptimalisering og ett mer lønnsomt jordbruk. Utvikling og bruk av ny landbruksteknologi i bærekraftige løsninger. Øke medlemmenes konkurransekraft.",,2026,935457351,https://data.brreg.no/enhetsregisteret/api/enheter/935457351,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; juridisk enhet samsvarer med teknologiorientert jordbruksklynge.
stiftelsen-geitmyra-matkultursenter-for-barn,STIFTELSEN GEITMYRA MATKULTURSENTER FOR BARN,nettverk,fou-institusjon,nettverk-kompetanse,NO,"Brreg-registrert aktor i fou-institusjon med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers). Stiftelsen skal arbeide for å øke matglede blant barn og unge, og videre for å bedre kunnskap om mat og matlaging for å skape økt bevissthet om matproduksjonens betydning i forhold til miljø og økologi, og om viktigheten av sunne matvalg.",,2026,996009041,https://data.brreg.no/enhetsregisteret/api/enheter/996009041,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 94.992; matkultur-/kompetanseaktor; FoU-/nettverksrolle maa avgrenses per claim.
lokalmat-sa,LOKALMAT SA,nettverk,fou-institusjon,nettverk-kompetanse,NO,Brreg-registrert aktor i fou-institusjon med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning). Logistikk og markedsarbeide innen dagligvare og horeca i Norge.,,2026,989172204,https://data.brreg.no/enhetsregisteret/api/enheter/989172204,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 70.200; lokalmat-/markedskompetanseaktor; nettverksrolle maa dokumenteres per claim.
