check_id,country,domain,target_item,local_status,local_source,claim_or_field_to_verify,primary_source_needed,suggested_source_owner,suggested_source_url_or_path,priority,review_status,import_impact,notes
PCQ-FS-NO-001,NO,trade_imports,NO annual import panel,clarified_active_panel,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,NO is present in the active annual import panel used by supply-chain query; monthly NO remains a documented v1 gap,Use active annual panel for cross-country import vulnerability cards and avoid monthly NO comparison,Internal data pipeline,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,P0,closed_for_annual_panel,unblocks_annual_import_cards,"Annual panel has 66 NO rows; underscore annual/monthly panels are not the active /forsyningskjede source"
PCQ-FS-NO-002,NO,primary_delivery,DeliveryVolume method note,ready_to_use,DeliveryVolume DB,DeliveryVolume is Norway-only and should not be generalized as Nordic layer,Document scope and UI caveat in forsyningskjede surface,Internal DB/query layer,src/lib/queries/supply-chain.ts,P0,needs_ui_method_note,prevents_overclaiming,Keep Norway observed layer separate from proxy layers in other countries
PCQ-FS-SE-001,SE,value_chain_seafood,seafood trade fields,partial_local_api_snapshot,public/data/food-systems/se/value-chain.json,Import value is locally traceable to normalized SCB snapshot but export and net import still need primary check,Official trade table or customs extract for fish/seafood exports plus method check for import,SCB or Swedish Customs,research/data/nordic/trade-groups/normalized/se-trade-group-fish-seafood.csv,P0,partial_primary_snapshot,required_for_gate_1,"Local import sum for 2024 is 61.756 bn SEK and matches value-chain rounded import field; export/net still unverified"
PCQ-FS-SE-002,SE,value_chain_seafood,seafood actor list,local_research_needs_primary_check,research/norden/verdikjede/07-sjoemat.md,Abba Seafood Leröy Smögen Seafood Lysekils Havsdelikatesser and Feldthusen as key processors/importers,Company reports registry or sector source,Company annual reports and Swedish company registry,TBD,P1,needs_primary_check,required_for_relationship_queue,Resolve current legal names ownership and org IDs
PCQ-FS-SE-003,SE,primary_delivery,producer delivery proxy,missing,docs/project/forsyningskjede-country-packs/se.md,No Swedish DeliveryVolume-equivalent is present in DB,Find farm production delivery or proxy series by commodity,Jordbruksverket or SCB,TBD,P0,not_started,required_for_supply_chain_parity,Define whether proxy is production volume farm count slaughter/dairy collection or sales channel
PCQ-FS-SE-004,SE,relationships,top actor graph,needs_harmonization,research/review/supply-chain-relationships-nordic-review-2026-04-29.csv,At least 20 Swedish relationship candidates are required before Nordic graph status,Primary company or authority source per edge,Company annual reports or Konkurrensverket,TBD,P1,in_progress,required_for_gate_3,Starter candidates are local-research only and held from import
PCQ-FS-SE-005,SE,circularity,country case cards,needs_harmonization,public/data/food-systems/circularity-loops.json,Need at least three SE-specific cases separated from shared Nordic records,Primary case owner source or official program source,Case owners public reports,TBD,P2,not_started,required_for_case_parity,Do not count Nordic shared records as country-specific evidence
PCQ-FS-DK-001,DK,value_chain_seafood,seafood trade fields,partial_local_api_snapshot,public/data/food-systems/dk/value-chain.json,Import value is locally traceable to normalized StatBank snapshot but export value and Denmark hub role still need primary check,Official trade table or fisheries-sector statistics for exports and re-export method,Danmarks Statistik or Fiskeristyrelsen,research/data/nordic/trade-groups/normalized/dk-trade-group-fish-seafood.csv,P0,partial_primary_snapshot,required_for_gate_1,"Local import sum for 2024 is 22.710 bn DKK and matches value-chain rounded import field; export/hub claim still unverified"
PCQ-FS-DK-002,DK,value_chain_seafood,seafood actor list,local_research_needs_primary_check,research/norden/verdikjede/07-sjoemat.md,Royal Greenland Espersen FF Skagen TripleNine Group and Sæby Fiskeindustri as key seafood actors,Company reports registry or sector source,Company annual reports and Danish CVR,TBD,P1,needs_primary_check,required_for_relationship_queue,Resolve legal entity names and whether actor is DK based or Greenland/foreign controlled
PCQ-FS-DK-003,DK,primary_delivery,producer delivery proxy,missing,docs/project/forsyningskjede-country-packs/dk.md,No Danish DeliveryVolume-equivalent is present in DB,Find production delivery or proxy series by pork dairy grain and seafood,Danmarks Statistik StatBank,TBD,P0,not_started,required_for_supply_chain_parity,Production breadth is weaker than price/trade coverage in current local panel
PCQ-FS-DK-004,DK,relationships,top actor graph,needs_harmonization,research/review/supply-chain-relationships-nordic-review-2026-04-29.csv,At least 20 Danish relationship candidates are required before Nordic graph status,Primary company or authority source per edge,Company annual reports KFST or CVR,TBD,P1,in_progress,required_for_gate_3,Starter candidates are local-research only and held from import
PCQ-FS-DK-005,DK,circularity,country case cards,needs_harmonization,public/data/food-systems/circularity-loops.json,Need three to five DK-specific circularity case cards with volume/policy/case separated,Primary case owner source or official program source,Case owners public reports or Danish authorities,TBD,P2,not_started,required_for_case_parity,Denmark has relatively strong circularity baseline but fields must be separated
PCQ-FS-FI-001,FI,value_chain_seafood,seafood trade fields,partial_local_api_snapshot,public/data/food-systems/fi/value-chain.json,Import value is locally traceable to normalized Luke snapshot but export value and fishmeal/feed note still need primary check,Official trade table or fisheries statistics for exports and Baltic herring use,Luke Finnish Customs or StatFin,research/data/nordic/trade-groups/normalized/fi-trade-group-fish-seafood.csv,P0,partial_primary_snapshot,required_for_gate_1,"Local import sum for 2024 is 0.560 bn EUR and matches value-chain rounded import field; export/feed-use claim still unverified"
PCQ-FS-FI-002,FI,value_chain_seafood,seafood actor list,local_research_needs_primary_check,research/norden/verdikjede/07-sjoemat.md,Kalaneuvos Kalajakala Apetit Kala Hätälä and Nordic Trout as key actors,Company reports registry or sector source,Company annual reports and Finnish company registry,TBD,P1,needs_primary_check,required_for_relationship_queue,Resolve legal names ownership and current operating status
