node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
bergetlokka-nabolagshage,BERGETLØKKA NABOLAGSHAGE,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Foreningen skal tilby parseller for økologisk dyrking til naboer av Bergetløkka. Skape en sosial møteplass og samlingspunkt for naboer samt forvalte og utvikle løkken i tråd med bærekraftige, økologiske og historiske verdier. Vi vil også tilby verdifulle opplevelser og læring for innbyggere generelt og spesielle grupper som f.eks skoler, barnehager, mennesker med forskjellige helsemessige utfordringer, samt være et foregangseksempel for lignende prosjekt.",,2026,929654161,https://data.brreg.no/enhetsregisteret/api/enheter/929654161,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
dyrk-pa-saupstad,DYRK PÅ SAUPSTAD,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Dyrking av blomster, urter og grønnsaker i nærområdet, i pallekarmer. Øke kunnskap om dyrking og bruk av urter, skape et samlingspunkt for de som bor i området.",,2026,930237752,https://data.brreg.no/enhetsregisteret/api/enheter/930237752,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
dyrk-tromso,DYRK TROMSØ,organisasjon,primaerproduksjon,urban-dyrking,NO,Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Å fremme urbant hagebruk i Tromsø og være samlingspunkt for medlemmene.,,2026,916633580,https://data.brreg.no/enhetsregisteret/api/enheter/916633580,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
foreningen-losaeter,FORENINGEN LOSÆTER,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Økologisk demostrasjonssæter og kompetansesenter for urbant økologisk landbruk midt i byen. Formidling av kunnskap om matproduksjon til byen befolkning, med hovedvekt på barn og unge. Sosialt sted for økologisk matproduksjon, arkitektur, utdanning, kunst og kultur.",,2026,917132070,https://data.brreg.no/enhetsregisteret/api/enheter/917132070,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
jordnaer-urbant-landbruk,JORDNÆR URBANT LANDBRUK,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Produksjon av grønsaker og blomster i drivhus og plantekasser, legge til rette for kunnskapsutvikling og integrering gjennom temakveldar, seminar og kurs.",,2026,933733319,https://data.brreg.no/enhetsregisteret/api/enheter/933733319,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
kloverhagen-nabolagshage,KLØVERHAGEN NABOLAGSHAGE,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Kløverhagen er en nabolagshage og et nærmiljøtiltak på Håpet i Tromsø. Vi jobber for å tilby muligheter for økologisk dyrking av planter, øke selvforsyning med kortreist mat, utvikle kunnskap om bærekraftig hagebruk, skape sosialt felleskap, trivsel og samhold, bidra til biologisk og sosialt mangfold i nabolaget og bydelen Håpet.",,2026,929309472,https://data.brreg.no/enhetsregisteret/api/enheter/929309472,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
urbant-landbrukssenter,URBANT LANDBRUKSSENTER,organisasjon,primaerproduksjon,urban-dyrking,NO,Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Foreningen Urbant Landbrukssenter skal arbeide for at det skal etableres et urbant landbrukssenter i Oslo i løpet av 2015.,,2026,913110137,https://data.brreg.no/enhetsregisteret/api/enheter/913110137,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
valerenga-nabolagshager,VÅLERENGA NABOLAGSHAGER,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Skal ivareta interesser til brukere av lokale parsellhager på Vålerenga og arbeide for å konkretisere lokal medvirkning i tråd med FN sine bærekraftsmål nr. 11 for bærekraftige byer og samfunn. Skal drive opplæring i urbant landbruk, kompostering og birøkt og skaper gjennom dette inkluderende og aktiverende møteplasser i de offentlige utearealer. Skal fungere som en pollinatorpassasje.",,2026,921770243,https://data.brreg.no/enhetsregisteret/api/enheter/921770243,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
ovre-havstad-urban-dyrking,ØVRE HAVSTAD URBAN DYRKING,organisasjon,primaerproduksjon,urban-dyrking,NO,"Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Skal legge til rette for at beboerne i borettslaget skal kunne dyrke i karmer på tildelt areal på borettslagets eiendom. Dette skal vi få til gjennom informasjonsmøter, plantebyttekvelder, medlemsmøter og felles dugnader.",,2026,929835514,https://data.brreg.no/enhetsregisteret/api/enheter/929835514,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
begby-parsellhagelag,BEGBY PARSELLHAGELAG,organisasjon,primaerproduksjon,urban-dyrking,NO,Brreg-navnesoket aktor i primaerproduksjon/urban-dyrking. Parsellhagelag.,,2026,928733963,https://data.brreg.no/enhetsregisteret/api/enheter/928733963,public_name_search,machine_verified,middels,2026-07-01,"Brreg navnesok validert aktiv enhet 2026-07-01; kandidat maa rolleavklares. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Navnesok/offentlig organisasjonsliste, ikke ren aktivitetskode; kontroller faktisk urban dyrkingsrolle"
