id,latitude,longitude,tooltip,description,links
Breiðargerði,65.325986,-19.123573,Breiðargerði,Breiðargerði er garðyrkjustöð í Skagafirði. Elínborg Erla stundar þar lífræna útiræktun á litríku grænmeti og er einnig með heimasölu. https://www.breidargerdi.com/,https://lifraentisland.is/wp-content/uploads/2025/06/Breidargerdi-200x300.jpg|https://www.breidargerdi.com
Akur organic,66.196583,-15.608561,Akur Organic,Akur Organic sérhæfir sig í lífrænni ræktun á gulrótum og öðru rótargrænmeti. Gulræturnar fást í öllum helstu verslunum á haustin þegar uppskerutími er og á meðan birgðir endast. https://www.facebook.com/profile.php?id=100085357375340,https://lifraentisland.is/wp-content/uploads/2025/06/Akur-organic-nota-300x300.jpeg|https://www.facebook.com/profile.php?id=100085357375340
 Móðir jörð,65.196764,-14.544643,Móðir Jörð,Móðir Jörð í Vallanesi stunda lífræna ræktun og matvælaframleiðslu. Áhersla er á korn- og grænmetisræktun og þau framleiða tilbúnar hollustu- og sælkeravörur. Grænmetisveitingastaður og gistihús er starfrækt frá maí - september. Móðir Jörð er í eigu hjónanna Eymundar Magnússonar og Eyglóar Bjarkar Ólafsdóttur. https://modirjord.is/,https://lifraentisland.is/wp-content/uploads/2022/10/Perlubyggakur-scaled-1-225x300.jpg|https://modirjord.is
BIO bóndinn,63.59446530451967,-20.339860138675935,BIO bóndinn,"BIO bóndinn í Litlu-Hildisey stundar lífræna ræktun á kartöflum og korni, s.s. byggi og höfrum.",https://lifraentisland.is/wp-content/uploads/2025/06/kartoflur_biobondi1.png-300x300.webp
Sölvanes,65.407955,-19.314735,Sölvanes sauðfjárbú,"Í Sölvanesi er ferðaþjónusta og sauðfjárbúskapur, ábúendurnir Eydís Magnúsdóttir og Rúnar Máni Gunnarsson eru með lífræna vottun á lambakjötinu. Sölvanes er í Skagafirði, 561 Varmahlíð https://solvanes.is/",https://lifraentisland.is/wp-content/uploads/2022/10/solvanes2-300x166.jpg|https://solvanes.is
Villimey snyrtivörur,65.626680,-23.824503,Villimey,"Villimey framleiðir húðvörur úr einungis íslenskum/vestfirskum jurtum, til heilbrigðis og fegrunar og er með 100% lífræna vottun á vörunum. https://villimey.is/",https://lifraentisland.is/wp-content/uploads/2022/10/villimey-300x174.jpg|https://villimey.is
Yrkja ,65.946537,-18.558637,Yrkja,"Yrkja, Syðra Holti í Svarfaðardal, er fjölskyldurekið lífrænt býli með útiræktað grænmeti. Yfir sumarið eru þau með heimasölu, selja grænmetiskassa beint frá býli og halda ýmsa viðburði. https://www.facebook.com/sydraholt",https://lifraentisland.is/wp-content/uploads/2025/06/Yrkja-Sydra-Holt-300x169.png|https://www.facebook.com/sydraholt
Bjarkarás hæfingastöð,64.119376,-21.848852,Gróðurhúsið í Bjarkarási,"Gróðurhúsið í Bjarkarási stundar lífræna grænmetisræktun og starfsmenn í vinnu og virkni hjá Ási styrktarfélagi starfa þar. Gróðurhúsið er staðsett í Stjörnugróf 9, 108 Reykjavík. https://styrktarfelag.is/vinna-og-virkni/stjoernugrof/",https://lifraentisland.is/wp-content/uploads/2025/06/bjarkarás-Gródurhúsamynd-245x300.jpg|https://styrktarfelag.is/vinna-og-virkni/stjoernugrof
Neðri-Háls í Kjós,64.348449,-21.617772,Neðri-Háls í Kjós,Neðri-Háls í Kjós er lífrænt kúabýli í eigu Kristjáns Oddsonar og Dóru Ruuf en þau stofnuðu einnig Biobú lífrænu mjólkurvinnsluna.,
BioBú,64.220878,-21.679353,Biobú,"Biobú sérhæfir sig í vinnslu á lífrænum mjólkurafurðum og var stofnað í júlí 2002. Mjólkurafurðirnar koma frá Neðri-Háls í Kjós, Búlandi, Eyði-Sandvík og Bólstöðum. Biobú framleiðir mjólk, jógúrt, gríska jógúrt og osta. https://www.biobu.is/",https://lifraentisland.is/wp-content/uploads/2022/10/bíóbú-nota-300x207.jpeg|https://www.biobu.is
Nesbú lífræn egg,63.961172,-20.866474,Nesbú lífræn egg,Nesbúegg á Vatnsleysuströnd býður neytendum upp á lífræn egg. Eggin koma frá hænum sem fá lífrænt fóður og hafa aðgang að útisvæði. http://www.nesbu.is/is,https://lifraentisland.is/wp-content/uploads/2022/10/nesbú-egg-300x200.jpg|http://www.nesbu.is/is
Te og kaffi,64.028281,-21.947388,Te &amp; kaffi - lífrænt vottuð kaffibrennsla,Te &amp; kaffi eru með lífrænt vottaða kaffibrennslu og framleiða lífrænt vottað kaffi. https://www.teogkaffi.is/,https://lifraentisland.is/wp-content/uploads/2025/06/Teogkaffi-ný-mynd-300x200.jpeg|https://www.teogkaffi.is
Norður &amp; co.,65.438793,-22.200790,Norður &amp; co. / Norðursalt,Norður &amp; Co er með lífræna vottun á framleiðsluferlinu á salti. https://nordurco.com,https://lifraentisland.is/wp-content/uploads/2025/06/nordursalt--300x200.jpg|https://nordurco.com
Sólheimar jurtastofa og kaffibrennsla,64.057821,-20.648544,Sólheimar jurtastofa og kaffibrennsla.,"Sólheimar flytja inn óristaðar lífrænar kaffibaunir sem starfsfólk ristar eftir ákveðnum aðferðum og gera sína eigin Sólheimablöndu úr þremur mismunandi tegundum af kaffibaunum frá Eþíópíu, El Salvador og Hondúras. Í jurtastofunni eru framleiddar handsápur, krem, varasalvi, baðsölt og olíur með lífræna vottun frá Túni. Á Sólheimum vaxa jurtirnar í sínu náttúrulega umhverfi, í hreinu loftslagi og ómenguðum jarðvegi. https://www.solheimar.is/pages/jurtastofa",https://lifraentisland.is/wp-content/uploads/2025/06/Sólheimar-kaffibrennsla-150x150.jpg|https://lifraentisland.is/wp-content/uploads/2022/10/jurta22-150x150.jpg|https://www.solheimar.is/pages/jurtastofa
Steinaborg,64.704470,-14.194126,Steinaborg,"Plöntur og plöntuafurðir, hampur og hampsalvi ásamt búfé og búfjárafurðum á fjölskyldubúinu Steinaborg í Berufirði.",https://lifraentisland.is/wp-content/uploads/2025/09/IMG_20171017_110126-2-300x225.jpg
Hrísiðn,65.993361,-18.383753,Hrísiðn í Hrísey,"Hrísiðn í Hrísey er með lífræna vottun á söfnun villtra jurta, s.s Hvönn, Hrísiðn er á Miðbraut 4b, 630 Hrísey https://www.facebook.com/hriseyjarhvonn",https://lifraentisland.is/wp-content/uploads/2022/10/hvonn-225x300.jpg|https://www.facebook.com/hriseyjarhvonn
Þörungaverksmiðjan Reykhólum,65.485619,-22.381179,Þörungaverksmiðjan Reykhólum,Þörungaverksmiðjan framleiðir og selur hágæða þurrkað og malað klóþang og hrossaþara úr Breiðafirði. Þörungamjöl er vottað sem óblönduð lífræn vara og sjálfbær uppskera. https://www.thorverk.is,https://lifraentisland.is/wp-content/uploads/2022/10/thorung-300x200.jpg|https://www.thorverk.is
Benchmark Genetics,63.946148,-21.780105,Benchmark Genetics,Lífræn framleiðsla á hrognum og seiðum til fiskeldis. https://www.bmkgenetics.com,https://lifraentisland.is/wp-content/uploads/2022/10/benchmark-300x200.jpg|https://www.bmkgenetics.com
Búland,63.649874,-20.124291,Búland mjólkurbú,Guðmundur Ólafsson og Guðný Halla Gunnlaugsdóttir á Búlandi í Austur-Landeyjum eru með lífrænt mjólkurbú og framleiða mjólk fyrir Bio Bú. https://www.biobu.is/,https://www.biobu.is
Heilsustofnun NLFÍ,63.994381,-21.192785,Heilsustofnun NLFÍ,"Á Heilsustofnun NLFÍ í Hveragerði er boðið upp á heilsueflingu með hvíldar- og hressingardvöl þar sem áhersla er lögð á lífræn matvæli, plöntur og plöntuafurðir. https://www.heilsustofnun.is",https://lifraentisland.is/wp-content/uploads/2025/06/Screenshot-2025-06-26-at-20.35.32-150x150.png|https://www.heilsustofnun.is
Bólstaður,63.60753234053492,-20.004293858961123,Bólstaður,Björk Svavarsdóttir og Skarphéðinn Agnarsson á Bólstöðum í Austur-Landeyjum eru með lífrænt mjólkurbú og framleiða mjólk fyrir Bio Bú. https://biobu.is/,https://biobu.is
Efri-Úlfsstaðir,63.66461287707205,-20.426377471880752,Efri-Úlfsstaðir,Hörður Bender stundar lífræna grænmetisræktun á Efri-Úlfsstöðum í Austur-Landeyjum. https://mriceland.is/ecosystem/,https://mriceland.is/ecosystem
Blöndudalshólar,65.48345902080216,-19.84515454129476,Blöndudalshólar,"Andrea og Friðgeir stunda lífræna grænmetisræktun á Blöndudalshólum, ekki langt frá Blönduósi. Til viðbótar við lífrænu vottunina frá TÚN fengu þau nýlega vottun frá Biocyclic Vegan International. https://www.facebook.com/profile.php?id=61563722332196",https://www.facebook.com/profile.php?id=61563722332196
