actor,actor_type,why_relevant_for_mapping,priority,suggested_ask,source_basis
Norges Bondelag,interest_organization,"Mobilisering, tillitsledd, narrativ makt og kobling mellom bondeinteresser og jordbrukspolitikk",high,"Hvordan ser dere at samvirke, eiendomslovgivning og markedsregulering enten muliggjør eller hemmer omstilling mot mer sirkulaere matsystemer?",Transcripts 03 07 16
Norsk Landbrukssamvirke,umbrella_cooperative,"Samler samvirkeperspektivet og beskriver samvirke som baerebjelke i norsk landbruk",high,"Hvilke deler av samvirkemodellen er viktigst for aa holde oppe lokal foredling, investeringer og omstilling?",Transcript 17
Nortura,cooperative_industry,"Markedsregulator for kjoett og egg; sentral for mottaksplikt, pris og reguleringslager",high,"Hvordan virker markedsreguleringen i praksis for baade robusthet, geografi og omstilling?",Transcript 19
Totalmarked kjoett og egg,market_regulation_unit,"Operativ node for prognoser, dekningsgrad, reguleringstiltak og informasjonsdeling",high,"Hvilke datapunkter og beslutninger styrer faktisk naar dere setter inn reguleringstiltak?",Transcript 19
Tine,cooperative_industry,"Markedsregulator for melk og viktig case for samvirkebasert organisering",high,"Kan Tine-modellen gi innsikt i hvordan kollektiv infrastruktur kan brukes til sirkulaer omstilling?",Transcript 17
Felleskjoepet,cooperative_input_actor,"Nevnes som markedsregulator for korn og er sentral for innsatsvarer og produksjonslogikk",high,"Hvordan paavirker dagens korn- og innsatsstruktur muligheten for sirkulaere kretsloep?",Transcript 17
Omsetningsraadet,regulator,"Framstilles som noden som godkjenner reguleringstiltak og setter reelle grenser for systemet",high,"Hvordan vurderer dere balansen mellom avsetning, pris, konkurranse og omstilling?",Transcript 19
Landbruks- og matdepartementet,regulator,"Setter formelle rammer for lovverk, omsetningslov og jordbruksavtale",high,"Hvor ser dere stoerst spenning mellom matsikkerhet, distriktsmaal, konkurranse og sirkularitet?",Transcripts 16 19
Statsforvaltere i Oslofjord-regionen,regional_regulator,"Forvalter miljoekrav, tilskudd og praktisk gjennomfoering av vannmiljoetiltak",high,"Hva opplever dere som de stoerste barrierene for gjennomfoering og legitimitet i miljoetiltakene?",Transcript 02
AgriAnalyse,research_actor,"Leverer konkret kunnskap om kostnader, holdninger og effektusikkerhet rundt miljoetiltak",high,"Hva vet dere faktisk om hvilke tiltak som virker, koster og skaper legitimitet hos boendene?",Transcript 02
Kommuner og fylkeskommuner,regional_governance,"Handlingsrom og oppfoelging varierer regionalt; viktig for implementering av lovverk og jordvern",medium,"Hvor stort lokalt handlingsrom brukes faktisk i saker om jordvern, deling, boplikt og omdisponering?",Transcript 16
Landbruksraadgivere,knowledge_intermediary,"Nevnes som del av informasjons- og praksisleddet rundt miljoetiltak",medium,"Hvilke tiltak er boendene mest mottakelige for, og hva stopper adopsjon?",Transcript 02
Regnskapskontor med landbruksportefolje,knowledge_intermediary,"Nevnes som del av intervjugrunnlaget for kostnads- og gjennomfoeringsforstaaelse",medium,"Hvordan ser dere at miljoekrav og regulering slar ut i okonomien pa brukene?",Transcript 02
Tillitsvalgte i faglag og samvirker,mobilization_layer,"Baerer av kompetanse, legitimitet og intern organisasjonskraft",medium,"Hvilke arenaer og argumenter fungerer faktisk for aa faa boender med i endringsarbeid?",Transcripts 03 07
Korn- og oljevekstprodusenter i Oslofjord-regionen,producer_group,"Ser ut til aa vaere sterkest eksponert for vannmiljoekrav og jordarbeidingsregler",medium,"Hvilke tiltak oppleves som mest realistiske, og hva mangler av dokumentasjon og kompensasjon?",Transcript 02
