country,domain,subdomain,dataset_or_claim,current_status,target_status,evidence_status,source_path_or_url,source_type,year_or_period,unit,comparability_flag,confidence,next_action,owner,review_status,ui_surface,notes
NO,value_chain,steps,8 target value-chain steps,normalized,comparable,mixed,public/data/food-systems/no/value-chain.json,local_json,2024,steps,comparable,high,Keep as reference model and verify method fields before UI rollup,,ready_to_use,/verdikjede,"8/8 steps; 26 source refs"
NO,value_chain,volume_waste,Step-level volume and waste fields,extracted,comparable,mixed,public/data/food-systems/no/value-chain.json,local_json,2024,tonnes,mixed,medium,Fill volume on processing/distribution/retail/horeca/household/waste and waste on distribution,,needs_harmonization,/forsyningskjede,"Volume missing on 6 steps; waste missing on distribution"
NO,primary_delivery,delivery_volume,Primary producer deliveries,normalized,validated,observed,DeliveryVolume,prisma_db,2023-2024,liter_or_kg,country_only,high,Keep as observed Norway layer; do not generalize to other countries,,ready_to_use,/forsyningskjede,"60275 rows; 30475 supplier orgnr; suppliers and buyers are NO"
NO,trade_imports,food_group_imports,Six food import groups,comparable,comparable,observed,research/data/nordic/trade-groups/normalized/trade-group-imports-annual.csv,local_csv,annual,mixed_currency,comparable_with_flags,high,Use annual panel for import vulnerability cards; keep monthly NO as documented v1 gap,,ready_to_use,/forsyningskjede,"Active annual panel has 66 NO rows across six groups; NO absent only from monthly panel and legacy underscore panel"
NO,core_series,price_trade_production,Food prices trade and production,comparable,validated,observed,research/data/nordic/core-series/,local_csv,monthly_or_annual,index_or_native,comparable_with_flags,high,Preserve index/native-unit split and use oats only as narrow NO/SE/FI production subgroup,,ready_to_use,/sammenligning,"132 price rows; 266 trade rows; 16 production rows; oats 2025 243.7 thousand tonnes"
NO,analysis_panel,harmonized_panel,Nordic harmonized analysis rows,comparable,validated,observed,research/data/nordic/analysis-panel/nordic_harmonized_panel.csv,local_csv,2022-2025,index_or_native,comparable_with_flags,high,Use as cross-country status layer after ledger integration,,ready_to_use,/sammenligning,"414 harmonized rows"
NO,infrastructure,geo_nodes,Hubs ports processing plants aquaculture,extracted,comparable,mixed,public/data/food-systems/no/*.geojson,local_geojson,latest,features,country_specific,medium,Normalize node schema and ensure source_ref confidence and last_verified fields,,needs_harmonization,/kart,"NO has country-specific geo files; global geo files lack country properties"
NO,circularity,loops_cases,Circularity loops and cases,extracted,comparable,mixed,public/data/food-systems/circularity-loops.json,local_json,2026,cases,mixed,medium,Separate case records from volume indicators and create 3 validated NO case cards,,needs_harmonization,/sirkularitet,"NO has 8 existing loops and 2 actor cases; gaps are heavily NO/Nordic"
NO,nutrient_flows,nutrient_recovery,Nutrient flow object,extracted,comparable,estimated,public/data/food-systems/nutrient-flows.json,local_json,2026,kt_per_year,proxy_model,medium,Keep as estimated model and mark assumptions in UI,,needs_primary_check,/sirkularitet,"NO included in nutrient model"
NO,feed_sourcing,salmon_feed,Salmon feed composition and origin,extracted,validated,mixed,public/data/food-systems/feed-composition-timeseries.json,local_json,2010-2025,pct_and_tonnes,norway_specific,medium,Use as Norway/fish-feed module and build parallel country relevance notes,,needs_primary_check,/forsyningskjede,"6 timeseries points; Norway salmon feed specific"
