candidate_id,country,from_name,from_orgnr,from_country,to_name,to_orgnr,to_country,relationship_type,sector,description,source_url,source_title,source_year,evidence_status,confidence,review_status,import_action,notes
SCREL-SE-001,SE,Lantmännen,,SE,Scan Sverige AB,,SE,self-dealing,kjøttforedling,"Lantmännen is locally described as having completed the HKScan Sweden acquisition and Scan Sverige is treated as a controlled processing node",research/norden/verdikjede/02-foredling.md,FS2026-VK-002 Foredling,2024,local_research,medium,needs_primary_check,hold,"Check company registry annual report and legal entity IDs before DB import"
SCREL-SE-002,SE,ICA Gruppen,,SE,ICA Egna Märkesvaror,,SE,self-dealing,dagligvare-emv,"ICA is locally listed with own private-label development through ICA Egna Märkesvaror",research/norden/verdikjede/02-foredling.md,FS2026-VK-002 Foredling,2026,local_research,low,needs_primary_check,hold,"Needs source proving internal unit and relationship direction"
SCREL-SE-003,SE,Axfood,,SE,Dagab,,SE,distributor,dagligvare,"Dagab is locally identified as Axfood wholesale and distribution arm",research/norden/verdikjede/02-foredling.md,FS2026-VK-002 Foredling,2026,local_research,low,needs_primary_check,hold,"Confirm legal entity and whether edge should be self-dealing or distributor"
SCREL-SE-004,SE,Martin & Servera,,SE,Swedish restaurants and institutional customers,,SE,distributor,horeca,"Martin and Servera is locally described as Sweden's largest restaurant and institutional wholesaler",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Replace generic customer node with concrete customers only after primary source"
SCREL-SE-005,SE,Orkla,,NO,Abba Seafood,,SE,self-dealing,seafood,"Abba Seafood is locally described as an Orkla-owned Swedish seafood processor",research/norden/verdikjede/07-sjoemat.md,FS2026-VK-007 Sjømat,2024,local_research,low,needs_primary_check,hold,"Confirm current owner legal name and Swedish org ID"
SCREL-SE-006,SE,Lantmännen,,SE,Fertiberia and Nordion Energi,,SE,joint-venture,innsatsvarer,"Local notes identify Lantmännen Fertiberia and Nordion Energi as Power2Earth fossil-free fertilizer partners",research/norden/verdikjede/04-innsatsvarer.md,FS2026-VK-004 Innsatsvarer,2026,local_research,low,needs_primary_check,hold,"May belong in partnership/case model rather than BusinessRelationship"
SCREL-DK-001,DK,Danish Arla farmer-owners,,DK,Arla Foods,,DK,supplier,meieri,"Arla is locally described as a farmer-owned cooperative processing more than 90 pct of Danish milk pool",research/norden/verdikjede/02-foredling.md,FS2026-VK-002 Foredling,2024,local_research,medium,needs_primary_check,hold,"Replace aggregate farmer-owner node with legal/cooperative structure if imported"
SCREL-DK-002,DK,Danish Crown cooperative members,,DK,Danish Crown,,DK,supplier,kjøtt,"Danish Crown is locally described as a cooperative with about 950 members and dominant pork processing/export role",research/norden/verdikjede/02-foredling.md,FS2026-VK-002 Foredling,2024,local_research,medium,needs_primary_check,hold,"Confirm latest member count and legal entity before import"
SCREL-DK-003,DK,Salling Group,,DK,Netto,,DK,self-dealing,dagligvare,"Netto is locally described as Salling Group's largest discount chain",public/data/food-systems/dk/value-chain.json,DK value-chain retail step,2024,local_json,low,needs_primary_check,hold,"Needs primary company source and legal entity ID"
SCREL-DK-004,DK,Salling Group,,DK,Bilka and føtex,,DK,self-dealing,dagligvare,"Salling Group is locally used as parent retail actor for Bilka and føtex formats",docs/project/forsyningskjede-country-packs/dk.md,DK country pack,2026,local_research,low,needs_primary_check,hold,"Split into separate legal entities if primary source supports it"
SCREL-DK-005,DK,Euro Cater / Dansk Cater,,DK,Danish HoReCa customers,,DK,distributor,horeca,"Euro Cater / Dansk Cater is locally described as Denmark's largest foodservice wholesaler",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Replace generic customer node with concrete customers only after primary source"
SCREL-DK-006,DK,Royal Greenland,,DK,EU seafood customers,,EU,supplier,seafood,"Royal Greenland is locally described as a leading cold-water shrimp and halibut supplier in the Danish seafood hub",research/norden/verdikjede/07-sjoemat.md,FS2026-VK-007 Sjømat,2024,local_research,low,needs_primary_check,hold,"Confirm Danish/Greenland legal structure and whether edge belongs to export flow model"
SCREL-FI-001,FI,Finnish dairy farms,,FI,Valio,,FI,supplier,meieri,"Valio is locally described as a cooperative processing about 85 pct of Finnish milk",research/norden/verdikjede/02-foredling.md,FS2026-VK-002 Foredling,2024,local_research,medium,needs_primary_check,hold,"Replace aggregate farm node with cooperative/legal structure if imported"
SCREL-FI-002,FI,Inex Partners,,FI,S Group,,FI,distributor,dagligvare,"Inex Partners is locally listed as S Group logistics/distribution actor",public/data/food-systems/fi/value-chain.json,FI value-chain distribution step,2024,local_json,low,needs_primary_check,hold,"Confirm legal entity and whether relation direction is distributor or self-dealing"
SCREL-FI-003,FI,Kesko Logistics,,FI,K Group,,FI,distributor,dagligvare,"Kesko Logistics is locally listed as K Group logistics/distribution actor",public/data/food-systems/fi/value-chain.json,FI value-chain distribution step,2024,local_json,low,needs_primary_check,hold,"Confirm legal entity and current operating name"
SCREL-FI-004,FI,Kespro,,FI,Finnish HoReCa customers,,FI,distributor,horeca,"Kespro is locally described as Finland's market-leading HoReCa wholesaler with about 49 pct share in PTY group",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Replace generic customer node with concrete customers only after primary source"
SCREL-FI-005,FI,Kalaneuvos,,FI,Nordic Trout,,FI,self-dealing,seafood,"Nordic Trout is locally described as part of Kalaneuvos in the Finnish seafood chain",research/norden/verdikjede/07-sjoemat.md,FS2026-VK-007 Sjømat,2024,local_research,low,needs_primary_check,hold,"Confirm ownership and legal entity IDs"
SCREL-FI-006,FI,S Group,,FI,Meira Nova,,FI,self-dealing,horeca,"Meira Nova is locally described as S Group's HoReCa arm",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Confirm legal structure and whether to model as distributor or self-dealing"
SCREL-IS-001,IS,Aðföng,,IS,Hagar / Bónus / Hagkaup,,IS,distributor,dagligvare,"Aðföng is locally described as purchasing warehousing and distribution for Hagar's retail formats",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Confirm Icelandic legal name and split retail nodes before import"
SCREL-IS-002,IS,Bakkinn vöruhótel,,IS,Festi / Krónan,,IS,distributor,dagligvare,"Bakkinn is locally used as Festi/Krónan logistics actor in Icelandic distribution",public/data/food-systems/is/value-chain.json,IS value-chain distribution step,2024,local_json,low,needs_primary_check,hold,"Needs primary source for ownership and logistics role"
SCREL-IS-003,IS,Garri ehf,,IS,Icelandic HoReCa customers,,IS,distributor,horeca,"Garri is locally described as a leading Icelandic importer and distributor for restaurants hotels institutions and industry",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Replace generic customer node with concrete customers only after primary source"
SCREL-IS-004,IS,Innnes,,IS,Icelandic HoReCa customers,,IS,distributor,horeca,"Innnes is locally described as a large Icelandic importer and wholesaler focused on quality products",research/norden/verdikjede/05-horeca.md,FS2026-RES-005 HoReCa,2024,local_research,medium,needs_primary_check,hold,"Replace generic customer node with concrete customers only after primary source"
