priority,country,source_type,source_name,owner,url,status,extract_targets,notes
P1,NO,authority_report,Produksjon og omsetning av okologiske jordbruksvarer 2025,Landbruksdirektoratet,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,downloaded_analyzed,market_value production categories area trend imports sales_channels,Official PDF downloaded via short filarkiv URL and used to upgrade Norway 2025 indicator rows.
P1,NO,control_report,Debios statistikk 2024,Debio,https://debio.no/content/uploads/2025/03/HEFTE-Debios-statistikk-2024.pdf,downloaded_analyzed,certified_operators farms processors importers turnover_control areas noncompliance,Certification and control layer
P2,NO,ngo_reports,Okologisk Norge articles and reports,Okologisk Norge,https://okologisknorge.no/,queued,policy_positions market_claims consumer_communication organization_priorities,Use as sector position source
P2,NO,research_reports,NORSOK knowledge base,NORSOK,https://www.norsok.no/,queued,research_reports organic_practices soil climate circularity,Use for qualitative and scientific depth
P1,DK,authority_statistics,Statistik over okologiske jordbrugsbedrifter,Landbrugsstyrelsen,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,downloaded_analyzed,area farms livestock crops regions operators,Official Danish organic farm statistics
P1,DK,sector_market_report,Organic Market Report 2025,Organic Denmark,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,downloaded_analyzed,retail_share retail_value retail_volume exports imports consumer_segments,Primary Danish market source
P2,DK,organization_report,Okologisk Landsforening arsrapport 2025,Okologisk Landsforening,https://okologi.dk/media/xloglr53/oekologisk-landsforening-aarsrapport-2025.pdf,downloaded_mapped,organization_strategy policy_advocacy project_portfolio,Use as actor and policy source
P2,DK,public_procurement_label,Det Okologiske Spisemaerke,Fodevarestyrelsen,https://foedevarestyrelsen.dk/,queued,public_kitchen_label bronze_silver_gold criteria kitchen_counts,Find exact current data page before import
P1,SE,authority_statistics,Ekologisk vaxtodling 2024,Jordbruksverket,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,downloaded_analyzed,area arable pasture conversion crops farms counties,Official Swedish crop and area statistics
P1,SE,authority_statistics,Ekologisk animalieproduktion 2024,Jordbruksverket,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,downloaded_analyzed,milk eggs cattle sheep pigs poultry organic_shares,Official Swedish animal production statistics
P1,SE,sector_market_report,Ekologiska Arsrapporten 2024,Ekologiska Lantbrukarna,https://www.ekolantbruk.se/rapporter/arsrapport-2024pdf,downloaded_analyzed,market_value market_share channels retail foodservice public_sector trend,Produced with Organic Sweden KRAV Ekomatcentrum
P2,SE,certification_reports,KRAV rapporter,KRAV,https://www.krav.se/om-oss/rapporter/,downloaded_analyzed_light,ekobarometer consumer_trust certification_effects market_indicators,"Index, Effektrapport 2025 and seven Ekobarometer PDFs are downloaded/text-extracted; key KRAV 2024 metrics and 2022 municipal public-procurement shares extracted."
P1,SE,public_procurement_market_report,Ekologiska marknadsrapporten 2024,Ekomatcentrum,https://ekomatcentrum.se/wp-content/uploads/2024/04/ekologiska_marknadsrapporten2024.pdf,downloaded_reconciled_light,public_procurement_share foodservice_share retail_channel value_volume_definitions,"Ekomatsligan 2024 page, public-sector context page, national reports index and EMC 2023/2022 PDFs downloaded; Ekomatligan 2025 checked as event page, not data report."
P2,SE,research_report,Beredskap inom ekologisk produktion,SLU Epok,https://www.slu.se/om-slu/organisation/framtidsplattformar/slu-future-food/temasidor/livsmedelsberedskap/beredskap-inom-ekologisk-produktion/,queued,resilience preparedness input_dependency research_gaps,Use for preparedness framing
P1,FI,sector_summary,Organics in Finland,Pro Luomu,https://proluomu.fi/en/organics-in-finland/,downloaded_analyzed,area farms market_value market_share public_kitchens summary_indicators,Annual Finnish summary
P1,FI,sector_market_update,The organic market is searching for direction,Pro Luomu,https://proluomu.fi/en/the-organic-market-is-searching-for-direction/,downloaded_analyzed,retail_value_2024 market_share_2024 category_trends consumer_context,2024 market value and share
P2,FI,sector_market_update,Sales of organic food in Finland returned to growth in 2025,Pro Luomu,https://proluomu.fi/en/sales-of-organic-food-in-finland-returned-to-growth-in-2025/,queued,retail_value_2025 market_share_2025 growth_categories consumer_survey,Use when 2025 series is added
P1,FI,control_report,Luomuvalvonta Suomessa 2024,Ruokavirasto,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,downloaded_analyzed,controlled_operators inspections noncompliance marketing_bans import_controls,Official Finnish organic control report
P2,FI,research_institute,Luomuinstituutti publications,Luomuinstituutti,https://luomuinstituutti.fi/,queued,research_reports production_environment market_society,Research depth source
P1,IS,control_system_profile,Iceland country profile organic control system,EFTA Surveillance Authority,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Country%20Profile%20Part%201%20-%20Iceland.pdf,downloaded_analyzed,competent_authority control_body operator_list sampling import_controls,Use to map MAST and Tun roles
P1,IS,official_controls_report,Annual report on official controls 2023,EFTA Surveillance Authority,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Annual%20report%20on%20the%20overall%20operation%20of%20official%20controls%20in%20the%20food%20and%20veterinary%20area%20-%202023_0.pdf,downloaded_analyzed,certified_operators controls unannounced_controls sampling_gaps,Contains 2023 organic operators in Iceland
P2,IS,authority_report,Arsskyrsla MAST 2024,MAST,https://www.mast.is/is/um-mast/utgefid-efni/skyrslur/arsskyrsla-mast-2024,downloaded_supporting,organic_mentions supervision_structure links_to_control_data,Use to find current MAST pathways
P1,Nordic,benchmark_report,The World of Organic Agriculture 2026,FiBL IFOAM,https://www.fibl.org/en/shop-en/1861-organic-world-2026,downloaded_analyzed,global_benchmark country_area retail_sales market_share operators,Use as cross-check and gap filler where national data is thin
P1,IS,,,Vottunarstofan Tun,https://www.tun.is/vottunarskra,downloaded_analyzed,,Direct Tún page plus TRACES API extracted
P1,IS,,,European Commission / TRACES NT,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/index,downloaded_analyzed,,59 issued and 75 public status certificate records retrieved 2026-04-29
P1,IS,,,European Environment Agency,https://www.eea.europa.eu/en/europe-environment-2025/countries/iceland/area-under-organic-farming,downloaded_analyzed,,Historical Iceland trend 2012-2020 only; no current area hectares
P1,IS,,,"Government of Iceland / Ministry of Food, Agriculture and Fisheries",https://www.stjornarradid.is/library/01--Frettatengt---myndir-og-skrar/MAR/Fylgiskjol/MAR_EflingLifraennarMatvaelaframleidslu_Lokautgafa.pdf,downloaded_analyzed,,10 percent organic agricultural land target and annual data collection action extracted
P1,IS,statistical_catalog,Statistics Iceland agriculture PxWeb catalog,Statistics Iceland / Hagstofa Islands,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur,checked_no_organic_series,agriculture_tables organic_area production_method market_value,26 agriculture tables crawled; no organic/lifraent/vott/certif terms found in table metadata.
P1,IS,statistical_news_pages,Statistics Iceland 2024 agriculture production/value news,Statistics Iceland / Hagstofa Islands,https://www.statice.is/statistics/business-sectors/agriculture/,downloaded_checked_supporting_only,production_2024 production_value_2024 organic_split,General agriculture 2024 pages downloaded; useful context but no organic split found.
P2,IS,sector_platform,Lifraent Island homepage and producer map,VOR / Lifraent Island,https://lifraentisland.is/,downloaded_actor_map_extracted,producer_map sector_actor_context organization_role,Embedded map exported with 23 entries; not an official operator count or area/market series.
