claim_id,theme,assessment,working_claim,publication_safe_language,supporting_sources,complicating_or_limiting_sources,notes
CF-01,market-structure,strongly-documented,"The decisive bottlenecks in the Norwegian food system sit in access infrastructure and coordination layers rather than in farm output alone.","The current evidence indicates that access to contracts, logistics, wholesale channels, store networks, and operational coordination is a more decisive bottleneck than farm output alone in several parts of the food system.","Konkurransetilsynets Dagligvarerapport 2024-25; NorgesGruppens års- og bærekraftsrapport 2024; Bærekraft i ASKO 2024; Matsikkerhet og beredskap på landbruksområdet; Livsmedelsberedskap för en ny tid","Finnish Grocery Trade 2024; Samkeppniseftirlitið Annual Report 2024","Core cross-track synthesis claim."
CF-02,market-structure,strongly-documented,"Retail concentration and vertical integration materially constrain supplier diversity, local producer access, and challenger entry.","The corpus strongly supports the view that high concentration and vertical integration in grocery retail materially shape supplier access, bargaining conditions, and the room for new or smaller actors to scale.","Konkurransetilsynets Dagligvarerapport 2024-25; Utredning av funksjonelt og regnskapsmessig skille i verdikjeden for mat og dagligvarer; Konkurransetilsynets marginstudie 2024 — Del 2; Samarbeidsklimaet i dagligvarebransjen for mindre lokalmat- og drikkeprodusenter 2025; Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert","Egne merkevarer (EMV) og innovasjon i dagligvare","Use EMV report as counterweight, not as disproof."
CF-03,governance,strongly-documented,"The current enforcement model has limited coercive reach and is now in institutional transition.","The evidence supports a cautious conclusion that the current enforcement regime has relied heavily on guidance and low-case-volume practice, and that 2026 marks a real institutional transition rather than a stable regulatory settlement.","Årsrapport for Dagligvaretilsynet 2024; Dagligvaretilsynet - tildelingsbrev for 2026; Nye tiltak for bedre konkurranse i dagligvarebransjen; Rapport om samarbeidsklimaet i dagligvarebransjen 2024","Forbyr praksis som motvirker konkurranse i dagligvaremarkedet","The policy package is active, but the impact of the new setup is not yet documented."
CF-04,producer-access,moderately-supported,"Smaller and place-based producers face systematically worse access conditions than larger suppliers.","Survey and governance material in this corpus indicates that smaller local food and drink producers face weaker contract clarity, lower system knowledge, and harder market access conditions than larger suppliers.","Samarbeidsklimaet i dagligvarebransjen for mindre lokalmat- og drikkeprodusenter 2025; Rapport om samarbeidsklimaet i dagligvarebransjen 2024; Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert; Utredning om prisjusteringsvinduer 2023","Egne merkevarer (EMV) og innovasjon i dagligvare","Strong within survey material, but still should be phrased as indicated by the evidence rather than universally proven."
CF-05,operator-power,strongly-documented,"Operator power in Nordic food systems is exercised through integrated retail-wholesale-logistics-data systems, not retail alone.","The strongest operator evidence in this corpus shows that power is exercised through integrated systems that combine stores, wholesale, logistics, supplier governance, and in some cases demand/data infrastructure.","NorgesGruppens års- og bærekraftsrapport 2024; Bærekraft i ASKO 2024; Reitan Retail Annual and Sustainability Report 2024; Salling Group Annual Report 2024; Kesko Annual Report 2024","Matsmart Års- och hållbarhetsredovisning 2024; Cheffelo Årsredovisning & Hållbarhetsrapport 2025","The last two illustrate alternative operating models rather than dominant system control."
CF-06,resilience,strongly-documented,"Headline self-sufficiency percentages are too crude to function as standalone resilience metrics.","The resilience material strongly supports the view that self-sufficiency percentages should not be used on their own, because preparedness also depends on feed, imported inputs, logistics, storage, and crisis-diet assumptions.","Ikkje lett å bli klok på sjølvforsyning; Matsikkerhet og beredskap på landbruksområdet; Livsmedelsberedskap för en ny tid; Scenarioanalyse av norsk jordbruk i 2050 med vekt på forholdet mellom kosthold, utslipp, import og matproduksjon","Milepæl for norsk beredskap","Grain reserves matter, but they do not solve the wider dependency picture."
CF-07,transition-tradeoffs,strongly-documented,"Climate, diet, import dependence, and production cannot be optimized separately; the trade-offs are structural.","The evidence base indicates that climate targets, dietary change, domestic production, and import dependence need to be treated as linked trade-offs rather than as separable policy goals.","Scenarioanalyse av norsk jordbruk i 2050 med vekt på forholdet mellom kosthold, utslipp, import og matproduksjon; Riksrevisjonens undersøking om reduksjon av klimagassutslepp frå jordbruket; Ikkje lett å bli klok på sjølvforsyning","Matkjedene skviser bonden","Advocacy material can illustrate incentives, but the claim should rest on the stronger audits and scenario work."
CF-08,marine-resilience,moderately-supported,"Norway's marine sector strengthens the resource base but does not automatically guarantee national food-system resilience.","The current corpus supports a cautious conclusion that the marine sector is strategically important, but that biological fragility, quota structure, export orientation, and governance challenges limit its use as a simple resilience guarantee.","Riksrevisjonens undersøkelse av kvotesystemet i kyst- og havfisket; Myndighetenes arbeid med fiskehelse og fiskevelferd i havbruksnæringen; Norsk sjømatnæring – fra subsidiesluk til pengemaskin","Norsk sjømatnæring – fra subsidiesluk til pengemaskin","Use careful language because one support source is contextual and local structured coverage is thinner."
CF-09,circularity-scope-control,strongly-documented,"After the first-wave P2 pull, this batch no longer has a hard circularity gap. It now supports side-streams, redistribution, nutrient-loop pathways, and parts of the alternative-feed field, but it still remains too thin for strong commercialization and fermentation-at-scale claims.","The current corpus now provides usable support for side-stream valorization, redistribution, nutrient-loop pathways, and parts of the alternative-feed field, but it remains thinner on Norwegian deployment data, system-scale commercialization, and fermentation-at-scale outcomes.","PROJECT-FIT-P2-SYNTHESIS-LAYER.md; project-fit-p2-synthesis-layer.csv; Food Redistribution in the Nordic Region; Matsvinnutvalgets anbefalinger; PROJECT-FIT-EVIDENCE-PACK","The Nordic alternative protein research ecosystem - GFI Europe; Danish Action Plan for Plant-based Foods; Enifer - Ingredients for a sustainable food chain","Use as a scope-control rule that allows a transition section without overstating system maturity."
CF-10A,circular-transition-layer,moderately-supported,"Redistribution, food-waste hierarchy, and supplier-retailer surplus mechanics now provide a defensible transition-layer subsection rather than a speculative pilot note.","The current corpus supports a cautious claim that redistribution and waste-hierarchy interventions should be treated as coordination and governance mechanisms within the food system, not only as isolated rescue or consumer-awareness initiatives.","Food Redistribution in the Nordic Region; Matsvinnutvalgets anbefalinger; Prevention and valorisation of surplus bread at the supplier-retailer interface; Managing waste in food supply chains with supply chain collaboration and integration; Sustainability Assessment of Food Waste Management","Environmental Footprint of the Food Saved by Too Good To Go; Bærekraft i ASKO 2024","Use as the strongest circularity subsection in a transition-layer chapter."
CF-10B,circular-scale-up,promising-but-weak,"Fermentation, mycoprotein, and alternative-feed commercialization belong in the transition narrative, but the current batch does not prove system-scale success or mature deployment.","The current evidence supports including fermentation, mycoprotein, and parts of the alternative-feed field as opportunity-and-barrier themes, but not as proof that large-scale commercial transition is already established.","Danish Action Plan for Plant-based Foods; The Nordic alternative protein research ecosystem - GFI Europe; Enifer - Ingredients for a sustainable food chain; BioMar | Powered by Partnership. Driven by Innovation.; Hailia - Enabling the Blue Food Revolution","The Nordic alternative protein research ecosystem - GFI Europe; Danish Action Plan for Plant-based Foods; Enifer - Ingredients for a sustainable food chain","Keep in an opportunity / barrier or future-transition section, not in the core diagnosis."
