priority,status,action,name,key,mentions,sources,score,context,source_examples
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Bent Hoeie,bent-hoie,8,5,65,utvalgsleder,ActorContact; research/bibliotek/nou/matsystemutvalget-status-2026.md; research/bibliotek/tenketanker-ngo.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md
HIGH,missing_candidate,manual_validate_then_promote,Michel Bajuk,michel-bajuk,9,7,54,into analysis - Contradictions flagged and investigated --- ### Mission 2: Nordic Partner Data Validation **Objective:** Send our Nordic comparison data to Michel Bajuk (Sweden/Cradlenet) and Betina Simonsen (Denmark/LDC,research/RESEARCH-MISSIONS.md; research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md; research/external/nch-contract/contract-201-2503-P25013.md; research/whitepaper/executive-brief.md; research/whitepaper/food-systems-2026-draft-v1-reviewed.md; research/whitepaper/food-systems-2026-draft-v1.md
HIGH,missing_candidate,manual_validate_then_promote,Betina Simonsen,betina-simonsen,8,7,53,"ged and investigated --- ### Mission 2: Nordic Partner Data Validation **Objective:** Send our Nordic comparison data to Michel Bajuk (Sweden/Cradlenet) and Betina Simonsen (Denmark/LDCluster) for confirmation, correctio",research/RESEARCH-MISSIONS.md; research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md; research/external/nch-contract/contract-201-2503-P25013.md; research/whitepaper/executive-brief.md; research/whitepaper/food-systems-2026-draft-v1-reviewed.md; research/whitepaper/food-systems-2026-draft-v1.md
HIGH,missing_candidate,manual_validate_then_promote,Frode Steen,frode-steen,8,7,53,"# Sammendrag: Frode Steen — Publikasjonsprofil **Full tittel:** Frode Steen — NorgesGruppen-professor i konkurranseøkonomi, NHH **Dato:** 25. mars 2026 (Analysert) **Kilde:** https://www.nhh.no/en/employees/faculty/frode","research/bibliotek/akademia/nhh-food/frode-steen-profil.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/ocr-output/arkiv-sortert__Food Research Process 20.04.26__07_Academic_Research_And_Theses__drager-og-vagene.md; research/ocr-output/evidence-pack__akademia__drager-vagene-2017.md; research/perpl-17-03/Food Access, Food Deserts og Lokal HHI  Metoder, Kilder og Datasett for Nordisk og Komparativ Analyse.md; research/perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md"
HIGH,missing_candidate,manual_validate_then_promote,Paola Federica Albizzati,paola-federica-albizzati,7,7,42,"--- title: ""Sustainability Assessment of Food Waste Management"" author: Paola Federica Albizzati institution: DTU year: 2021 degree: PhD tags: [matsvinn, håndtering, LCA, redistribusjon, dyrefôr, avfallshierarki] --- ## ",research/bibliotek/akademia/masteroppgaver/albizzati-phd-2021.md; research/intake/food-research-process-2026-04-20/promotion-candidates.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.first-wave-p2.csv; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.first-wave-p2.json; research/intake/food-research-process-2026-04-20/promotion-preview-thesis.json
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Hanne Fjerdingby Olsen,hanne-fjerdingby-olsen,4,2,34,"Professor, baerekraftige matsystemer",ActorContact; research/cathrine-ten-step-oppsummering.md
HIGH,missing_candidate,manual_validate_then_promote,Minna Kaljonen,minna-kaljonen,5,3,34,"institusjoner enn enkeltstående aktivister, med stor tillit til statlige forskningsorganer og sikkerhetsmyndigheter (HVK).* ### Forskere og Akademikere * **Minna Kaljonen (SYKE - Finlands miljøsentral):** Ledende ekspert",research/bibliotek/nordisk-mat-tenkere.md; research/interviews/nordisk-aktorkart-perplexity-2026.md; research/perpl-17-03/Nordisk aktørkart for matsystemkartlegging 2026.md
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Nils Kristen Sandtroen,nils-kristen-sandtroen,4,2,32,--- ## Nokkelpersoner ### Politiske beslutningstakere / Person / Tilknytning / Land / Relevans FS2026 / /--------/-------------/------/-----------------/ / Nils Kristen Sandtroen / LMD (statsraad) / NO / Politisk ansvarl,ActorContact; research/interviews/nordisk-aktorkart-perplexity-2026.md
HIGH,missing_candidate,manual_validate_then_promote,Antonia Ax:son Johnson,antonia-axson-johnson,4,4,32,"m.m., som viser metodikken for sirkulær innovasjon som også brukes i matsystemarbeidet.[^11][^1][^2] *** ## 3. Nøkkelpersoner og styring - **Grunnlegger:** Antonia Ax:son Johnson, som fortsatt er styremedlem og frontfigu",research/bibliotek/forskningsrunde-2026-04-20/ax-foundation-kartlegging-2026-04-20.md; research/bibliotek/forskningsrunde-2026-04-20-r2/p15-axel-johnson-systemet-2026-04-20.md; research/intake/perplexity-2026-04-20/new-actors.json; research/perplexity-20-04-26/ax-foundation-matsystem-program.md
HIGH,missing_candidate,manual_validate_then_promote,Carsten Lind Pedersen,carsten-lind-pedersen,4,4,32,"ght to full operation within a foreseeable timeframe. However, the market’s reluctance has made it difficult to secure adequate sales and financing,” said CEO, Carsten Lind Pedersen, in a press release. The board of dire",research/evidence-pack/sirkular-konkurser/enorm-biofactory/media-thefishsite-2025.md; research/exa-circular-actors-2026-04-21.md; research/perplexity-20-04-26/konkursanatomi-enorm-mycorena-infarm-v2.md; research/perplexity-20-04-26/konkursanatomi-enorm-mycorena-infarm.md
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Kristian S. Ottesen,kristian-s-ottesen,3,1,28,Director Process Optimization & Resource Utilization - Royal Greenland,Royal Greenland
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Alexandra Leeper,alexandra-leeper,3,1,28,CEO - Iceland Ocean Cluster,Iceland Ocean Cluster
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Michaela Lindstrom,michaela-lindstrom,3,1,28,CEO & Co-founder - Hailia Nordic,Hailia Nordic
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Karin Beukel,karin-beukel,3,1,28,Co-Founder - Agrain,Agrain
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Linn Indrestrand,linn-indrestrand,3,1,28,Head of Fishery & Maritime Services - Danish Ocean Cluster,Danish Ocean Cluster
HIGH,actor_contact_only,decide_promote_to_person_profile_or_keep_actor_contact,Monika Poulsen,monika-poulsen,3,1,28,Cluster Manager - Arctic Cluster Team,Arctic Cluster Team
