priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P0,missing_metadata_only,NORDIC,sirkular-konkurser,analysis,Food Research Process,Case-anker Nordiske sirkulaere konkurser 2023-2025,2026,,,not_downloaded,research/evidence-pack/sirkular-konkurser/_overview/case-anker-2026-04-20.md,draft_overview_synthesis_doc,track_kickoff
P0,url_only,EU,sirkular-konkurser,analysis,Green Queen,Industry Consolidation 40 major alt-protein companies shut 2024-2025,2025,https://www.greenqueen.com.hk/alternative-protein-plant-based-food-mergers-acquisitions-closures-bankruptcy/,landing_html,not_downloaded,research/evidence-pack/sirkular-konkurser/_overview/greenqueen-consolidation-2025.pdf,snapshot_html_article,sector_baseline
P0,downloaded,EU,sirkular-konkurser,analysis,AgFunderNews,Vertical farming bankruptcies 2023-2025 lessons,2025,https://www.verticalfarmdaily.com/article/9537965/lessons-from-vertical-farming-bankruptcies-layoffs-and-closures-in-2023/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/_overview/verticalfarmdaily-lessons-2023.pdf,snapshot_html_article,sector_baseline
P1,missing_metadata_only,NO,sirkular-konkurser,enhetsregister,Brønnøysundregistrene,Rest Restaurant AS - enhetsregister oppslag,2024,https://virksomhet.brreg.no/nb/oppslag/enheter,registry_api,not_downloaded,research/evidence-pack/sirkular-konkurser/rest-oslo/rest-brreg-enhet.json,lookup_orgnr_via_brreg_search,DB_confirmed_case
P1,missing_metadata_only,NO,sirkular-konkurser,konkursbehandling,Oslo byfogdembete,Konkursaapning Rest Restaurant AS 05.09.2024,2024,https://www.brreg.no/en/searching-our-registers/announcements/,landing_html,not_downloaded,research/evidence-pack/sirkular-konkurser/rest-oslo/konkursaapning-2024-09-05.pdf,fetch_kunngjoring_from_brreg,DB_confirmed_case
P1,missing_metadata_only,NO,sirkular-konkurser,annual_report,Regnskapsregisteret,Rest Restaurant AS siste aarsrapport 2023,2023,https://w2.brreg.no/kunngjoring/,registry_api,not_downloaded,research/evidence-pack/sirkular-konkurser/rest-oslo/rest-aarsregnskap-2023.pdf,download_from_regnskapsregisteret,DB_confirmed_case
P2,downloaded,NO,sirkular-konkurser,media,Anders Husa,Rest in Oslo - Zero Waste Restaurant (closure context),2024,https://andershusa.com/rest-in-oslo-zero-waste-restaurant-turns-trash-into-edible-treasures/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/rest-oslo/media-andershusa.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,MICHELIN Guide,Rest Oslo - Green Star profile,2023,https://guide.michelin.com/gb/en/oslo-region/oslo/restaurant/rest,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/rest-oslo/michelin-profile.pdf,snapshot_profile_page,forskningsrunde-2026-04-20
P2,missing_metadata_only,NO,sirkular-konkurser,media,Finansavisen,Konkurser i Oslo servering - Rest-kontekst,2024,https://www.finansavisen.no/mat-og-drikke/,paywalled,not_downloaded,research/evidence-pack/sirkular-konkurser/rest-oslo/finansavisen-konkurser-2024.pdf,locate_specific_article_or_paywalled,forskningsrunde-2026-04-20
P3,missing_metadata_only,NO,sirkular-konkurser,analysis,NRK,Rekordmange konkurser i serveringsbransjen stor-oslo 2024,2024,https://www.nrk.no/stor-oslo/venter-rekordmange-konkurser-i-serveringsbransjen-1.16689046,landing_html,not_downloaded,research/evidence-pack/sirkular-konkurser/rest-oslo/nrk-konkurs-servering-2024.pdf,archive_snapshot,sector_context
P1,url_only,DK,sirkular-konkurser,konkursbehandling,Sø- og Handelsretten,Enorm Biofactory konkursdekret 30.10.2025 - Henrik Selchau Poulsen,2025,https://www.domstol.dk/soe-og-handelsretten/,landing_html,not_downloaded,research/evidence-pack/sirkular-konkurser/enorm-biofactory/konkursdekret-2025-10-30.pdf,fetch_court_order_via_skifteretten,forskningsrunde-2026-04-20
P1,url_only,DK,sirkular-konkurser,enhetsregister,Erhvervsstyrelsen (CVR),Enorm Biofactory A/S CVR-registrering status,2025,https://datacvr.virk.dk/,registry_api,not_downloaded,research/evidence-pack/sirkular-konkurser/enorm-biofactory/cvr-oppslag.json,lookup_cvr_via_datacvr,forskningsrunde-2026-04-20
P1,url_only,DK,sirkular-konkurser,annual_report,Erhvervsstyrelsen (CVR),Enorm Biofactory A/S aarsrapport siste 2024,2024,https://regnskaber.virk.dk/,registry_api,not_downloaded,research/evidence-pack/sirkular-konkurser/enorm-biofactory/aarsrapport-2024.pdf,download_from_virk_regnskaber,forskningsrunde-2026-04-20
P1,downloaded,DK,sirkular-konkurser,annual_report,Enorm Biofactory,Enorm Biofactory selskaps-hjemmeside (arkiv pre-konkurs),2025,https://enormbiofactory.com/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/enorm-biofactory/website-archive-2025.pdf,wayback_snapshot_site,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,AgFunderNews,Danish insect ag firm ENORM declared bankrupt after failed reconstruction,2025,https://agfundernews.com/breaking-danish-insect-ag-firm-enorm-declared-bankrupt-after-failed-reconstruction-process,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/enorm-biofactory/media-agfundernews-2025.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,The Fish Site,Insect producer seeks reconstruction in face of bankruptcy (Enorm),2025,https://thefishsite.com/articles/insect-producer-seeks-reconstruction-in-the-face-of-bankruptcy,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/enorm-biofactory/media-thefishsite-2025.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P2,downloaded,DE,sirkular-konkurser,media,Feed Magazine (Agrarzeitung),Denmark Insect producer Enorm Biofactory insolvent,2025,https://feedmagazine.agrarzeitung.de/news/news/denmark-insect-producer-enorm-biofactory-insolvent-154350,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/enorm-biofactory/media-feedmagazine-2025.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P3,downloaded,INT,sirkular-konkurser,analysis,Sifted,Ynsect collapse - insect protein industry analysis,2025,https://sifted.eu/articles/ynsect-collapse-industry-analysis,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/enorm-biofactory/analysis-sifted-ynsect.pdf,snapshot_article,sector_analysis
P1,downloaded,SE,sirkular-konkurser,konkursbehandling,Bolagsverket,Mycorena AB konkurs 10.07.2024 - trustee Magnus Loefving (Lindahl KB),2024,https://bolagsverket.se/en/foretag/aktiebolag/avvecklaaktiebolag/konkursavaktiebolag.755.html,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/konkurs-bolagsverket.pdf,lookup_konkurs_via_bolagsverket,forskningsrunde-2026-04-20
P1,downloaded,SE,sirkular-konkurser,enhetsregister,Bolagsverket,Mycorena AB orgnr-oppslag,2024,https://www.allabolag.se/,registry_api,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/allabolag-orgnr.json,lookup_orgnr_via_allabolag,forskningsrunde-2026-04-20
P1,downloaded,SE,sirkular-konkurser,annual_report,Bolagsverket,Mycorena AB siste aarsredovisning 2023,2023,https://www.allabolag.se/,registry_api,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/aarsredovisning-2023.pdf,download_via_allabolag_premium_or_bolagsverket,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,vegconomist,Mycorena Files for Bankruptcy Seeks New Ownership,2024,https://vegconomist.com/company-news/mycorena-files-bankruptcy-seeks-new-ownership-mycoprotein-ingredients/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/media-vegconomist-2024.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P2,downloaded,FI,sirkular-konkurser,media,ArcticStartup,Swedish foodtech Mycorena restructures via Naplasol acquisition,2024,https://arcticstartup.com/mycorena-acquired-by-naplasol/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/media-arcticstartup-2024.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,Tech.eu,Naplasol acquires Mycorena to boost mycelium market,2024,https://tech.eu/2024/08/29/naplasol-acquires-mycorena-to-enhance-mycoprotein-portfolio/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/media-tech-eu-2024.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P3,downloaded,INT,sirkular-konkurser,analysis,MycoStories,Mycorena bankruptcy setback or fresh start,2024,https://www.mycostories.com/post/mycoprotein-producer-mycorena-s-bankruptcy-setback-or-fresh-start,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/mycorena/analysis-mycostories.pdf,snapshot_article,analytical_context
P1,downloaded,SE,sirkular-konkurser,enhetsregister,Bolagsverket,Stockeld Dreamery AB orgnr-oppslag & wind-down,2024,https://www.allabolag.se/,registry_api,local_md_available,research/evidence-pack/sirkular-konkurser/stockeld-dreamery/allabolag-orgnr.json,lookup_orgnr_via_allabolag,forskningsrunde-2026-04-20
P1,downloaded,SE,sirkular-konkurser,annual_report,Bolagsverket,Stockeld Dreamery AB aarsredovisning siste,2023,https://www.allabolag.se/,registry_api,local_md_available,research/evidence-pack/sirkular-konkurser/stockeld-dreamery/aarsredovisning-2023.pdf,download_via_allabolag,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,Green Queen,Stockeld Dreamery shuts - plant-based decline foils funding,2024,https://www.greenqueen.com.hk/stockeld-dreamery-vegan-cheese-shuts-down-plant-based-decline-funding/,landing_html,local_pdf_downloaded,research/evidence-pack/sirkular-konkurser/stockeld-dreamery/media-greenqueen.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P2,downloaded,INT,sirkular-konkurser,media,vegconomist,Stockeld Dreamery shuts down citing plant-based decline,2024,https://vegconomist.com/cheese-alternatives/stockeld-dreamery-shuts-down-citing-decline-plant-based/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/stockeld-dreamery/media-vegconomist.pdf,snapshot_full_article,forskningsrunde-2026-04-20
P1,downloaded,SE,sirkular-konkurser,konkursbehandling,Bolagsverket,Hooked Foods AB konkurs 15.01.2026,2026,https://bolagsverket.se/,landing_html,local_md_available,research/evidence-pack/sirkular-konkurser/hooked-foods/konkurs-bolagsverket.pdf,lookup_konkurs_via_bolagsverket,sector_recent
P1,downloaded,SE,sirkular-konkurser,enhetsregister,Bolagsverket,Hooked Foods AB orgnr-oppslag,2026,https://www.allabolag.se/,registry_api,local_md_available,research/evidence-pack/sirkular-konkurser/hooked-foods/allabolag-orgnr.json,lookup_orgnr_via_allabolag,sector_recent
