file,country,issue_type,severity,status,impact,recommended_action
downloads/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.pdf,NO,full_pdf_downloaded,info,closed,Norway 2025 rows can now point to the official report PDF instead of the press-page substitute.,Keep press HTML as supporting provenance; use the PDF text file for indicator rows and any table-level reconciliation.
downloads/se-ekomatcentrum-ekologiska-marknadsrapporten-2024.pdf,SE,title_year_mismatch,medium,superseded_by_reconciled_sources,The ambiguous Ekomatcentrum/Ekologiska marknadsrapport file is no longer the only Swedish public-procurement source.,Use Ekomatsligan 2024 page for 2023 public-sector share and EMC marknadsrapport 2023 PDF for 2022 share; keep this PDF as market context only.
text/is-mast-arsskyrsla-2024.txt,IS,html_entity_noise,low,open,Text is searchable but Icelandic characters/entities are noisy; no strong organic statistics extracted.,Use ESA profile/control reports as primary organic sources; improve HTML entity decoding only if MAST annual report becomes central.
text/fi-proluomu-market-2024.txt,FI,sector_estimate,low,known,"Retail market value/share are Pro Luomu estimates based on retailer data, not a formal public statistical register.",Mark market rows as sector_estimate and cross-check against official/retail group data if used for external claims.
text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,DK,minor_internal_number_discrepancy,low,open,"Summary says 295,233 ha; table appendix shows 295,223 ha. Both are within 10 ha but should not be silently merged.","Use the official summary value for narrative, but verify table cells before database import."
text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,DK,farm_share_discrepancy,low,open,Summary line says 11.4 percent of all farms; later table prose says 11.1 percent.,Check source table definition and denominator before importing farm-share field.
text/nordic-fibl-ifoam-organic-world-2026.txt,Nordic,method_comparability_caveat,medium,known,FiBL area and market values are not always directly comparable with national sources.,Use national sources as canonical Nordic imports and FiBL as benchmark/metadata only unless country source is missing.
downloads/se-krav-rapporter.html,SE,index_only,low,closed_individual_reports_downloaded,KRAV Effektrapport 2025 and seven Ekobarometer PDFs are now downloaded and text-extracted.,Keep remaining work as thematic coding only; source acquisition gate is closed.
research/norden/okologisk-source-queue-2026-04-29.csv,Nordic,queued_status_not_refreshed,low,open,Source queue still marks many rows queued even though this evidence pack downloaded/analyzed a subset.,"Use document_manifest.csv as current operational status, or refresh source_queue statuses in a later housekeeping pass."
downloads/is-tun-vottunarskra-2026.html,IS,direct_tun_register_path_found,info,closed,Tún direct source path to certified Iceland organic operators is now downloaded and paired with text.,Use Tún+TRACES as the operator-register path; do not infer area or market share from it.
downloads/is-traces-organic-operator-issued-2026.json,IS,traces_public_api_current_count,info,closed,Current public TRACES extract gives 59 issued Iceland organic operator certificate records and 59 unique operator names.,Use as current certificate-status evidence with retrieval date; keep ESA 2023 operator count separately for annual official-controls context.
research/data/nordic/core-series/organic_agriculture_annual.csv,IS,area_primary_check_still_open_after_eea,medium,open,"EEA provides historical Iceland organic share for 2012-2020 and a 2025 assessment, but not a current primary area/market series.",Keep Iceland organic area row flagged needs_primary_check until Statistics Iceland/MAST/Tún/government publishes a current area value or table.
exports/is_hagstofa_agriculture_pxweb_catalog_2026-04-29.csv,IS,current_area_market_primary_search_no_series,medium,open_confirmed_gap,"Hagstofa PxWeb agriculture catalog (26 tables), Statistics Iceland agriculture landing/news pages and Lifraent Island homepage were checked; no current organic area/market time series was found.",Keep Iceland area/market rows flagged needs_primary_check; next path is direct MAST/Tun/government request or Eurostat API extraction with country-specific metadata.
downloads/se-ekomatcentrum-ekomatligan-2025-page.html,SE,event_page_not_data_report,info,known,Ekomatligan 2025 page is current but only describes the September 2025 event/program.,Do not treat it as a 2024/2025 statistics report; wait for a published results/report page.
downloads/se-ekomatcentrum-ekomatsligan-2024-page.html,SE,definition_scope_mismatch,medium,known,"Ekomatcentrum public-sector percentages, KRAV municipal shares and narrative 39% meal/volume claims have different scopes.","Keep value-share, municipal-share, meal/volume and KRAV-label rows separate in public-procurement series."
